"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","493954811.51","bilanz","ktn_lu","CHF","fs"
"101","","2022","1473540905.55","bilanz","ktn_lu","CHF","fs"
"102","","2022","","bilanz","ktn_lu","CHF","fs"
"104","","2022","311645776.51","bilanz","ktn_lu","CHF","fs"
"106","","2022","4210483.77","bilanz","ktn_lu","CHF","fs"
"107","","2022","573779563.87","bilanz","ktn_lu","CHF","fs"
"108","","2022","155869093.53","bilanz","ktn_lu","CHF","fs"
"109","","2022","","bilanz","ktn_lu","CHF","fs"
"140","","2022","3243003259.26","bilanz","ktn_lu","CHF","fs"
"141","","2022","","bilanz","ktn_lu","CHF","fs"
"142","","2022","38688181.93","bilanz","ktn_lu","CHF","fs"
"143","","2022","","bilanz","ktn_lu","CHF","fs"
"144","","2022","323075480.01","bilanz","ktn_lu","CHF","fs"
"145","","2022","703157794.36","bilanz","ktn_lu","CHF","fs"
"146","","2022","363400621.88","bilanz","ktn_lu","CHF","fs"
"147","","2022","","bilanz","ktn_lu","CHF","fs"
"148","","2022","","bilanz","ktn_lu","CHF","fs"
"200","","2022","795988494.84","bilanz","ktn_lu","CHF","fs"
"201","","2022","189966127","bilanz","ktn_lu","CHF","fs"
"204","","2022","243666396.58","bilanz","ktn_lu","CHF","fs"
"205","","2022","97641857.94","bilanz","ktn_lu","CHF","fs"
"206","","2022","1637469831.06","bilanz","ktn_lu","CHF","fs"
"207","","2022","","bilanz","ktn_lu","CHF","fs"
"208","","2022","47559198.66","bilanz","ktn_lu","CHF","fs"
"209","","2022","56898996.89","bilanz","ktn_lu","CHF","fs"
"290","","2022","159141716.92","bilanz","ktn_lu","CHF","fs"
"292","","2022","","bilanz","ktn_lu","CHF","fs"
"293","","2022","","bilanz","ktn_lu","CHF","fs"
"294","","2022","","bilanz","ktn_lu","CHF","fs"
"295","","2022","2545037412.8","bilanz","ktn_lu","CHF","fs"
"296","","2022","598422235.43","bilanz","ktn_lu","CHF","fs"
"298","","2022","-353537.83","bilanz","ktn_lu","CHF","fs"
"299","","2022","1312887241.89","bilanz","ktn_lu","CHF","fs"
"empty","","2022","","er","ktn_lu","CHF","fs"
"empty","","2022","","er","ktn_lu","CHF","fs"
"empty","","2022","","er","ktn_lu","CHF","fs"
"empty","","2022","","er","ktn_lu","CHF","fs"
"300","","2022","26982145.41","aufwand","ktn_lu","CHF","fs"
"301","","2022","400163927.99","aufwand","ktn_lu","CHF","fs"
"302","","2022","234675732.32","aufwand","ktn_lu","CHF","fs"
"303","","2022","206114.03","aufwand","ktn_lu","CHF","fs"
"304","","2022","2206855.31","aufwand","ktn_lu","CHF","fs"
"305","","2022","126175296.31","aufwand","ktn_lu","CHF","fs"
"306","","2022","-152787","aufwand","ktn_lu","CHF","fs"
"309","","2022","11839417.59","aufwand","ktn_lu","CHF","fs"
"310","","2022","27965375.45","aufwand","ktn_lu","CHF","fs"
"311","","2022","17918267.41","aufwand","ktn_lu","CHF","fs"
"312","","2022","8704347.96","aufwand","ktn_lu","CHF","fs"
"313","","2022","110845823.15","aufwand","ktn_lu","CHF","fs"
"314","","2022","42321614.7","aufwand","ktn_lu","CHF","fs"
"315","","2022","24108170.2","aufwand","ktn_lu","CHF","fs"
"316","","2022","40784774.33","aufwand","ktn_lu","CHF","fs"
"317","","2022","7696931.43","aufwand","ktn_lu","CHF","fs"
"318","","2022","16904580.66","aufwand","ktn_lu","CHF","fs"
"319","","2022","2824975.03","aufwand","ktn_lu","CHF","fs"
"320","","2022","","aufwand","ktn_lu","CHF","fs"
"331","","2022","","aufwand","ktn_lu","CHF","fs"
"337","","2022","131681028.74","aufwand","ktn_lu","CHF","fs"
"338","","2022","506687.08","aufwand","ktn_lu","CHF","fs"
"340","","2022","7589742.52","aufwand","ktn_lu","CHF","fs"
"341","","2022","22481.71","aufwand","ktn_lu","CHF","fs"
"342","","2022","333992.87","aufwand","ktn_lu","CHF","fs"
"343","","2022","408381.3","aufwand","ktn_lu","CHF","fs"
"344","","2022","","aufwand","ktn_lu","CHF","fs"
"349","","2022","1557993.53","aufwand","ktn_lu","CHF","fs"
"350","","2022","14707685.79","aufwand","ktn_lu","CHF","fs"
"351","","2022","","aufwand","ktn_lu","CHF","fs"
"352","","2022","","aufwand","ktn_lu","CHF","fs"
"3600","","2022","","aufwand","ktn_lu","CHF","fs"
"36010","","2022","","aufwand","ktn_lu","CHF","fs"
"36011","","2022","","aufwand","ktn_lu","CHF","fs"
"36012","","2022","","aufwand","ktn_lu","CHF","fs"
"36013","","2022","","aufwand","ktn_lu","CHF","fs"
"36014","","2022","","aufwand","ktn_lu","CHF","fs"
"36015","","2022","","aufwand","ktn_lu","CHF","fs"
"36016","","2022","","aufwand","ktn_lu","CHF","fs"
"36017","","2022","","aufwand","ktn_lu","CHF","fs"
"36018","","2022","","aufwand","ktn_lu","CHF","fs"
"36019","","2022","","aufwand","ktn_lu","CHF","fs"
"36021","","2022","","aufwand","ktn_lu","CHF","fs"
"36022","","2022","","aufwand","ktn_lu","CHF","fs"
"36023","","2022","","aufwand","ktn_lu","CHF","fs"
"36029","","2022","","aufwand","ktn_lu","CHF","fs"
"3603","","2022","","aufwand","ktn_lu","CHF","fs"
"3604","","2022","","aufwand","ktn_lu","CHF","fs"
"3610","","2022","","aufwand","ktn_lu","CHF","fs"
"3611","","2022","22157659.05","aufwand","ktn_lu","CHF","fs"
"3612","","2022","2605374.7","aufwand","ktn_lu","CHF","fs"
"3613","","2022","","aufwand","ktn_lu","CHF","fs"
"3614","","2022","2153643.13","aufwand","ktn_lu","CHF","fs"
"3620","","2022","","aufwand","ktn_lu","CHF","fs"
"36211","","2022","","aufwand","ktn_lu","CHF","fs"
"36212","","2022","","aufwand","ktn_lu","CHF","fs"
"36213","","2022","","aufwand","ktn_lu","CHF","fs"
"36214","","2022","3625940","aufwand","ktn_lu","CHF","fs"
"36215","","2022","","aufwand","ktn_lu","CHF","fs"
"36216","","2022","","aufwand","ktn_lu","CHF","fs"
"36217","","2022","","aufwand","ktn_lu","CHF","fs"
"36219","","2022","","aufwand","ktn_lu","CHF","fs"
"36221","","2022","","aufwand","ktn_lu","CHF","fs"
"36222","","2022","","aufwand","ktn_lu","CHF","fs"
"36223","","2022","","aufwand","ktn_lu","CHF","fs"
"36224","","2022","","aufwand","ktn_lu","CHF","fs"
"36225","","2022","101438749","aufwand","ktn_lu","CHF","fs"
"36226","","2022","56379348","aufwand","ktn_lu","CHF","fs"
"36227","","2022","","aufwand","ktn_lu","CHF","fs"
"36228","","2022","","aufwand","ktn_lu","CHF","fs"
"3624","","2022","","aufwand","ktn_lu","CHF","fs"
"3629","","2022","","aufwand","ktn_lu","CHF","fs"
"3630","","2022","","aufwand","ktn_lu","CHF","fs"
"3631","","2022","142135962.58","aufwand","ktn_lu","CHF","fs"
