"arten","funk","jahr","value","dim","unit"
"100","","2015","83777221.95","bilanz","CHF"
"101","","2015","111913459.52","bilanz","CHF"
"102","","2015","11080602.21","bilanz","CHF"
"104","","2015","16250593.66","bilanz","CHF"
"106","","2015","687297.8","bilanz","CHF"
"107","","2015","73234818.75","bilanz","CHF"
"108","","2015","11031056.26","bilanz","CHF"
"109","","2015","","bilanz","CHF"
"140","","2015","215554827.51","bilanz","CHF"
"141","","2015","69514.32","bilanz","CHF"
"142","","2015","890950.2","bilanz","CHF"
"143","","2015","","bilanz","CHF"
"144","","2015","23716770.75","bilanz","CHF"
"145","","2015","27717261.9","bilanz","CHF"
"146","","2015","34029978.49","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","-786000.37","bilanz","CHF"
"200","","2015","52058633.46","bilanz","CHF"
"201","","2015","16039596.75","bilanz","CHF"
"204","","2015","15655266.35","bilanz","CHF"
"205","","2015","5049352.1","bilanz","CHF"
"206","","2015","149030709.4","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","13231881.77","bilanz","CHF"
"209","","2015","43321724.11","bilanz","CHF"
"290","","2015","21817695.64","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","32532636.93","bilanz","CHF"
"294","","2015","62700000","bilanz","CHF"
"295","","2015","-3971330.55","bilanz","CHF"
"296","","2015","4802228.88","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","196899958.11","bilanz","CHF"
"300","","2015","3738152.35","aufwand","CHF"
"301","","2015","59864446.94","aufwand","CHF"
"302","","2015","47109405.55","aufwand","CHF"
"303","","2015","80661","aufwand","CHF"
"304","","2015","1786791.8","aufwand","CHF"
"305","","2015","17364837.55","aufwand","CHF"
"306","","2015","589755.7","aufwand","CHF"
"309","","2015","1754188.42","aufwand","CHF"
"310","","2015","6886929.77","aufwand","CHF"
"311","","2015","3272687.76","aufwand","CHF"
"312","","2015","4174549.94","aufwand","CHF"
"313","","2015","29628452.16","aufwand","CHF"
"314","","2015","11687274.89","aufwand","CHF"
"315","","2015","2391083.33","aufwand","CHF"
"316","","2015","3567732.21","aufwand","CHF"
"317","","2015","1502538.86","aufwand","CHF"
"318","","2015","2538387.4","aufwand","CHF"
"319","","2015","6588813.79","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","22249673.27","aufwand","CHF"
"338","","2015","118200","aufwand","CHF"
"340","","2015","2845320.12","aufwand","CHF"
"341","","2015","696.67","aufwand","CHF"
"342","","2015","10508.95","aufwand","CHF"
"343","","2015","68861.91","aufwand","CHF"
"344","","2015","20473.85","aufwand","CHF"
"349","","2015","764451.9","aufwand","CHF"
"350","","2015","2496632.74","aufwand","CHF"
"351","","2015","1915583.48","aufwand","CHF"
"352","","2015","","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","","aufwand","CHF"
"36022","","2015","","aufwand","CHF"
"36023","","2015","","aufwand","CHF"
"36029","","2015","","aufwand","CHF"
"3603","","2015","","aufwand","CHF"
"3604","","2015","","aufwand","CHF"
"3610","","2015","","aufwand","CHF"
"3611","","2015","8155952.75","aufwand","CHF"
"3612","","2015","","aufwand","CHF"
"3613","","2015","","aufwand","CHF"
"3614","","2015","17794.85","aufwand","CHF"
"3620","","2015","","aufwand","CHF"
"36211","","2015","","aufwand","CHF"
"36212","","2015","","aufwand","CHF"
"36213","","2015","","aufwand","CHF"
"36214","","2015","533548","aufwand","CHF"
"36215","","2015","","aufwand","CHF"
"36216","","2015","","aufwand","CHF"
"36217","","2015","","aufwand","CHF"
"36219","","2015","","aufwand","CHF"
"36221","","2015","","aufwand","CHF"
"36222","","2015","","aufwand","CHF"
"36223","","2015","","aufwand","CHF"
"36224","","2015","","aufwand","CHF"
"36225","","2015","","aufwand","CHF"
"36226","","2015","","aufwand","CHF"
"36227","","2015","","aufwand","CHF"
"36228","","2015","","aufwand","CHF"
"3624","","2015","","aufwand","CHF"
"3629","","2015","","aufwand","CHF"
"3630","","2015","","aufwand","CHF"
"3631","","2015","15821175.32","aufwand","CHF"
"3632","","2015","","aufwand","CHF"
"3633","","2015","656795.6","aufwand","CHF"
"3634","","2015","44008002.21","aufwand","CHF"
"3635","","2015","45540900.85","aufwand","CHF"
"3636","","2015","31646866.92","aufwand","CHF"
"3637","","2015","37609370.89","aufwand","CHF"
"3638","","2015","20410.8","aufwand","CHF"
"3639","","2015","1050806.35","aufwand","CHF"
"364","","2015","213000","aufwand","CHF"
"365","","2015","","aufwand","CHF"
"366","","2015","9062400","aufwand","CHF"
"369","","2015","","aufwand","CHF"
"380","","2015","","aufwand","CHF"
"381","","2015","","aufwand","CHF"
"383","","2015","10727227","aufwand","CHF"
"384","","2015","","aufwand","CHF"
"3860","","2015","","aufwand","CHF"
"3861","","2015","","aufwand","CHF"
"3862","","2015","","aufwand","CHF"
"3863","","2015","","aufwand","CHF"
"3864","","2015","","aufwand","CHF"
"3865","","2015","","aufwand","CHF"
"3866","","2015","","aufwand","CHF"
"3867","","2015","","aufwand","CHF"
"3868","","2015","","aufwand","CHF"
"387","","2015","1317501.55","aufwand","CHF"
"389","","2015","58605463.35","aufwand","CHF"
"4000","","2015","215737444.3","ertrag","CHF"
"4001","","2015","17697023.3","ertrag","CHF"
"4002","","2015","5834891.61","ertrag","CHF"
"4008","","2015","","ertrag","CHF"
"4009","","2015","0.15","ertrag","CHF"
"4010","","2015","20159429.45","ertrag","CHF"
"4011","","2015","4608302.85","ertrag","CHF"
"4012","","2015","","ertrag","CHF"
"4019","","2015","","ertrag","CHF"
"4020","","2015","","ertrag","CHF"
"4021","","2015","","ertrag","CHF"
"4022","","2015","5909084.6","ertrag","CHF"
"4023","","2015","4941794.8","ertrag","CHF"
"4024","","2015","1968285","ertrag","CHF"
"4025","","2015","","ertrag","CHF"
"4030","","2015","10215686.9","ertrag","CHF"
"4031","","2015","340993","ertrag","CHF"
"4032","","2015","","ertrag","CHF"
"4033","","2015","143999.9","ertrag","CHF"
"4039","","2015","790774.45","ertrag","CHF"
"4040","","2015","","ertrag","CHF"
"4041","","2015","","ertrag","CHF"
"4042","","2015","","ertrag","CHF"
