"arten","funk","jahr","value","dim","unit"
"100","","2020","46331892.83","bilanz","CHF"
"101","","2020","45936635.17","bilanz","CHF"
"102","","2020","3002025","bilanz","CHF"
"104","","2020","11562976.1","bilanz","CHF"
"106","","2020","245693.99","bilanz","CHF"
"107","","2020","25976288.05","bilanz","CHF"
"108","","2020","19469342.83","bilanz","CHF"
"109","","2020","","bilanz","CHF"
"140","","2020","123024384.32","bilanz","CHF"
"141","","2020","51974.84","bilanz","CHF"
"142","","2020","132244.15","bilanz","CHF"
"143","","2020","","bilanz","CHF"
"144","","2020","12243657","bilanz","CHF"
"145","","2020","5787879","bilanz","CHF"
"146","","2020","6561510.12","bilanz","CHF"
"147","","2020","","bilanz","CHF"
"148","","2020","-12834430.79","bilanz","CHF"
"200","","2020","25229697.42","bilanz","CHF"
"201","","2020","13157521","bilanz","CHF"
"204","","2020","3728219.68","bilanz","CHF"
"205","","2020","852768.67","bilanz","CHF"
"206","","2020","66833627.95","bilanz","CHF"
"207","","2020","","bilanz","CHF"
"208","","2020","6099774.15","bilanz","CHF"
"209","","2020","799543.5","bilanz","CHF"
"290","","2020","26834052.82","bilanz","CHF"
"292","","2020","","bilanz","CHF"
"293","","2020","33833906.61","bilanz","CHF"
"294","","2020","33300000","bilanz","CHF"
"295","","2020","","bilanz","CHF"
"296","","2020","186800","bilanz","CHF"
"298","","2020","","bilanz","CHF"
"299","","2020","76636160.81","bilanz","CHF"
"300","","2020","1389812.65","aufwand","CHF"
"301","","2020","27886976.02","aufwand","CHF"
"302","","2020","39661985.65","aufwand","CHF"
"303","","2020","83523","aufwand","CHF"
"304","","2020","620435","aufwand","CHF"
"305","","2020","11191736.79","aufwand","CHF"
"306","","2020","164340.47","aufwand","CHF"
"309","","2020","1007152.12","aufwand","CHF"
"310","","2020","4572665.93","aufwand","CHF"
"311","","2020","3215909.7","aufwand","CHF"
"312","","2020","2496453.89","aufwand","CHF"
"313","","2020","14262014.95","aufwand","CHF"
"314","","2020","14009214.9","aufwand","CHF"
"315","","2020","1889647.06","aufwand","CHF"
"316","","2020","1800029.94","aufwand","CHF"
"317","","2020","774434.34","aufwand","CHF"
"318","","2020","1007913.55","aufwand","CHF"
"319","","2020","-229874.19","aufwand","CHF"
"320","","2020","","aufwand","CHF"
"331","","2020","","aufwand","CHF"
"337","","2020","8854023.6","aufwand","CHF"
"338","","2020","","aufwand","CHF"
"340","","2020","717946.24","aufwand","CHF"
"341","","2020","4729.53","aufwand","CHF"
"342","","2020","10238.3","aufwand","CHF"
"343","","2020","121181.57","aufwand","CHF"
"344","","2020","2571194.5","aufwand","CHF"
"349","","2020","98411.2","aufwand","CHF"
"350","","2020","2222","aufwand","CHF"
"351","","2020","5509838.95","aufwand","CHF"
"352","","2020","70000","aufwand","CHF"
"3600","","2020","","aufwand","CHF"
"36010","","2020","","aufwand","CHF"
"36011","","2020","","aufwand","CHF"
"36012","","2020","","aufwand","CHF"
"36013","","2020","","aufwand","CHF"
"36014","","2020","","aufwand","CHF"
"36015","","2020","","aufwand","CHF"
"36016","","2020","","aufwand","CHF"
"36017","","2020","","aufwand","CHF"
"36018","","2020","","aufwand","CHF"
"36019","","2020","","aufwand","CHF"
"36021","","2020","","aufwand","CHF"
"36022","","2020","","aufwand","CHF"
"36023","","2020","","aufwand","CHF"
"36029","","2020","","aufwand","CHF"
"3603","","2020","","aufwand","CHF"
"3604","","2020","","aufwand","CHF"
"3610","","2020","","aufwand","CHF"
"3611","","2020","1886630.3","aufwand","CHF"
"3612","","2020","","aufwand","CHF"
"3613","","2020","","aufwand","CHF"
"3614","","2020","","aufwand","CHF"
"3620","","2020","","aufwand","CHF"
"36211","","2020","","aufwand","CHF"
"36212","","2020","","aufwand","CHF"
"36213","","2020","","aufwand","CHF"
"36214","","2020","","aufwand","CHF"
"36215","","2020","5705726.61","aufwand","CHF"
"36216","","2020","","aufwand","CHF"
"36217","","2020","","aufwand","CHF"
"36219","","2020","","aufwand","CHF"
"36221","","2020","","aufwand","CHF"
"36222","","2020","","aufwand","CHF"
"36223","","2020","","aufwand","CHF"
"36224","","2020","","aufwand","CHF"
"36225","","2020","","aufwand","CHF"
"36226","","2020","","aufwand","CHF"
"36227","","2020","","aufwand","CHF"
"36228","","2020","","aufwand","CHF"
"3624","","2020","","aufwand","CHF"
"3629","","2020","","aufwand","CHF"
"3630","","2020","","aufwand","CHF"
"3631","","2020","3475308.35","aufwand","CHF"
"3632","","2020","","aufwand","CHF"
"3633","","2020","","aufwand","CHF"
"3634","","2020","5760976.9","aufwand","CHF"
"3635","","2020","3953498.35","aufwand","CHF"
"3636","","2020","11604508.21","aufwand","CHF"
"3637","","2020","6751737.33","aufwand","CHF"
"3638","","2020","","aufwand","CHF"
"3639","","2020","10400","aufwand","CHF"
"364","","2020","1401000","aufwand","CHF"
"365","","2020","","aufwand","CHF"
"366","","2020","616870.3","aufwand","CHF"
"369","","2020","","aufwand","CHF"
"380","","2020","","aufwand","CHF"
"381","","2020","45938.26","aufwand","CHF"
"383","","2020","5784548.81","aufwand","CHF"
"384","","2020","","aufwand","CHF"
"3860","","2020","","aufwand","CHF"
"3861","","2020","1067345.7","aufwand","CHF"
"3862","","2020","","aufwand","CHF"
"3863","","2020","","aufwand","CHF"
"3864","","2020","295000","aufwand","CHF"
"3865","","2020","288866.5","aufwand","CHF"
"3866","","2020","1500","aufwand","CHF"
"3867","","2020","","aufwand","CHF"
"3868","","2020","","aufwand","CHF"
"387","","2020","126200","aufwand","CHF"
"389","","2020","12297401.33","aufwand","CHF"
"4000","","2020","108367000","ertrag","CHF"
"4001","","2020","13887000","ertrag","CHF"
"4002","","2020","4580000","ertrag","CHF"
"4008","","2020","","ertrag","CHF"
"4009","","2020","","ertrag","CHF"
"4010","","2020","11992000","ertrag","CHF"
"4011","","2020","1772000","ertrag","CHF"
"4012","","2020","","ertrag","CHF"
"4019","","2020","","ertrag","CHF"
"4020","","2020","","ertrag","CHF"
"4021","","2020","","ertrag","CHF"
"4022","","2020","4003000","ertrag","CHF"
"4023","","2020","2418000","ertrag","CHF"
"4024","","2020","6000","ertrag","CHF"
"4025","","2020","","ertrag","CHF"
"4030","","2020","","ertrag","CHF"
"4031","","2020","","ertrag","CHF"
"4032","","2020","","ertrag","CHF"
"4033","","2020","161000","ertrag","CHF"
"4039","","2020","558625.4","ertrag","CHF"
"4040","","2020","","ertrag","CHF"
"4041","","2020","","ertrag","CHF"
"4042","","2020","","ertrag","CHF"
"4043","","2020","","ertrag","CHF"
"4044","","2020","","ertrag","CHF"
"4045","","2020","","ertrag","CHF"
"4046","","2020","","ertrag","CHF"
"4047","","2020","","ertrag","CHF"
"4049","","2020","","ertrag","CHF"
"4050","","2020","","ertrag","CHF"
"4051","","2020","","ertrag","CHF"
"4052","","2020","","ertrag","CHF"
"4053","","2020","","ertrag","CHF"
"4059","","2020","","ertrag","CHF"
"4060","","2020","","ertrag","CHF"
"4070","","2020","","ertrag","CHF"
"4071","","2020","","ertrag","CHF"
"4072","","2020","","ertrag","CHF"
"4079","","2020","","ertrag","CHF"
"410","","2020","","ertrag","CHF"
"411","","2020","","ertrag","CHF"
"412","","2020","1801717.15","ertrag","CHF"
"413","","2020","","ertrag","CHF"
"420","","2020","1066963.7","ertrag","CHF"
"421","","2020","1517352.81","ertrag","CHF"
"422","","2020","","ertrag","CHF"
"423","","2020","1552849.9","ertrag","CHF"
"424","","2020","16676773.44","ertrag","CHF"
"425","","2020","3505385.43","ertrag","CHF"
"426","","2020","11703308.82","ertrag","CHF"
"427","","2020","220918.4","ertrag","CHF"
"429","","2020","20112.92","ertrag","CHF"
"430","","2020","","ertrag","CHF"
"431","","2020","575872.05","ertrag","CHF"
"432","","2020","","ertrag","CHF"
"439","","2020","24000","ertrag","CHF"
"440","","2020","520463.58","ertrag","CHF"
"441","","2020","264580.01","ertrag","CHF"
"442","","2020","231709","ertrag","CHF"
"443","","2020","436362.86","ertrag","CHF"
"444","","2020","526920.3","ertrag","CHF"
"445","","2020","1000","ertrag","CHF"
"446","","2020","3272920.9","ertrag","CHF"
"447","","2020","981051.07","ertrag","CHF"
"448","","2020","167424.3","ertrag","CHF"
"449","","2020","","ertrag","CHF"
"450","","2020","155588.65","ertrag","CHF"
"451","","2020","1828753.3","ertrag","CHF"
"452","","2020","68047.83","ertrag","CHF"
"46000","","2020","","ertrag","CHF"
"46001","","2020","","ertrag","CHF"
"46002","","2020","","ertrag","CHF"
"46003","","2020","","ertrag","CHF"
"46004","","2020","","ertrag","CHF"
"46005","","2020","","ertrag","CHF"
"46006","","2020","","ertrag","CHF"
"46007","","2020","","ertrag","CHF"
"46008","","2020","","ertrag","CHF"
"46009","","2020","","ertrag","CHF"
"46010","","2020","","ertrag","CHF"
"46011","","2020","","ertrag","CHF"
"46012","","2020","","ertrag","CHF"
"46019","","2020","","ertrag","CHF"
"4603","","2020","","ertrag","CHF"
"4604","","2020","","ertrag","CHF"
"4610","","2020","","ertrag","CHF"
"4611","","2020","263478.75","ertrag","CHF"
"4612","","2020","","ertrag","CHF"
"4613","","2020","","ertrag","CHF"
"4614","","2020","57517.65","ertrag","CHF"
"46201","","2020","","ertrag","CHF"
"46202","","2020","","ertrag","CHF"
"46203","","2020","","ertrag","CHF"
"46204","","2020","","ertrag","CHF"
"46209","","2020","","ertrag","CHF"
"46211","","2020","","ertrag","CHF"
"46212","","2020","","ertrag","CHF"
"46213","","2020","","ertrag","CHF"
"46214","","2020","","ertrag","CHF"
"46215","","2020","1818718.22","ertrag","CHF"
"46216","","2020","3334440.8","ertrag","CHF"
"46217","","2020","","ertrag","CHF"
"46225","","2020","","ertrag","CHF"
"46226","","2020","","ertrag","CHF"
"46227","","2020","","ertrag","CHF"
"46228","","2020","","ertrag","CHF"
"4624","","2020","","ertrag","CHF"
"4629","","2020","","ertrag","CHF"
"4630","","2020","","ertrag","CHF"
"4631","","2020","4630268.78","ertrag","CHF"
"4632","","2020","","ertrag","CHF"
"4633","","2020","","ertrag","CHF"
"4634","","2020","94599.25","ertrag","CHF"
"4635","","2020","190000","ertrag","CHF"
"4636","","2020","","ertrag","CHF"
"4637","","2020","","ertrag","CHF"
"4638","","2020","","ertrag","CHF"
"466","","2020","","ertrag","CHF"
"469","","2020","33784.6","ertrag","CHF"
"481","","2020","","ertrag","CHF"
"482","","2020","","ertrag","CHF"
"483","","2020","41070.45","ertrag","CHF"
"484","","2020","","ertrag","CHF"
"485","","2020","","ertrag","CHF"
"4860","","2020","","ertrag","CHF"
"4861","","2020","","ertrag","CHF"
"4862","","2020","","ertrag","CHF"
"4863","","2020","","ertrag","CHF"
"4864","","2020","","ertrag","CHF"
"4865","","2020","","ertrag","CHF"
"4866","","2020","","ertrag","CHF"
"4867","","2020","","ertrag","CHF"
"4868","","2020","","ertrag","CHF"
"4870","","2020","","ertrag","CHF"
"489","","2020","8046358.45","ertrag","CHF"
