"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","189111900.79","bilanz","ktn_gdn_nw","CHF","fs"
"101","","2022","181635438.07","bilanz","ktn_gdn_nw","CHF","fs"
"102","","2022","28112422.71","bilanz","ktn_gdn_nw","CHF","fs"
"104","","2022","13816835.68","bilanz","ktn_gdn_nw","CHF","fs"
"106","","2022","2992396.06","bilanz","ktn_gdn_nw","CHF","fs"
"107","","2022","44067991.85","bilanz","ktn_gdn_nw","CHF","fs"
"108","","2022","36676311.75","bilanz","ktn_gdn_nw","CHF","fs"
"109","","2022","","bilanz","ktn_gdn_nw","CHF","fs"
"140","","2022","426211060.5","bilanz","ktn_gdn_nw","CHF","fs"
"141","","2022","1","bilanz","ktn_gdn_nw","CHF","fs"
"142","","2022","3254121.66","bilanz","ktn_gdn_nw","CHF","fs"
"143","","2022","","bilanz","ktn_gdn_nw","CHF","fs"
"144","","2022","32787946","bilanz","ktn_gdn_nw","CHF","fs"
"145","","2022","123882137.61","bilanz","ktn_gdn_nw","CHF","fs"
"146","","2022","95066433.98","bilanz","ktn_gdn_nw","CHF","fs"
"147","","2022","","bilanz","ktn_gdn_nw","CHF","fs"
"148","","2022","","bilanz","ktn_gdn_nw","CHF","fs"
"200","","2022","241995835.35","bilanz","ktn_gdn_nw","CHF","fs"
"201","","2022","10995896.5","bilanz","ktn_gdn_nw","CHF","fs"
"204","","2022","12772048.38","bilanz","ktn_gdn_nw","CHF","fs"
"205","","2022","883618.94","bilanz","ktn_gdn_nw","CHF","fs"
"206","","2022","261572378.72","bilanz","ktn_gdn_nw","CHF","fs"
"207","","2022","","bilanz","ktn_gdn_nw","CHF","fs"
"208","","2022","9235422.4","bilanz","ktn_gdn_nw","CHF","fs"
"209","","2022","1703491.5","bilanz","ktn_gdn_nw","CHF","fs"
"290","","2022","68680743.98","bilanz","ktn_gdn_nw","CHF","fs"
"292","","2022","","bilanz","ktn_gdn_nw","CHF","fs"
"293","","2022","31819000","bilanz","ktn_gdn_nw","CHF","fs"
"294","","2022","381946095.19","bilanz","ktn_gdn_nw","CHF","fs"
"295","","2022","","bilanz","ktn_gdn_nw","CHF","fs"
"296","","2022","11972153.1","bilanz","ktn_gdn_nw","CHF","fs"
"298","","2022","","bilanz","ktn_gdn_nw","CHF","fs"
"299","","2022","144038313.6","bilanz","ktn_gdn_nw","CHF","fs"
"empty","","2022","","er","ktn_gdn_nw","CHF","fs"
"empty","","2022","","er","ktn_gdn_nw","CHF","fs"
"empty","","2022","","er","ktn_gdn_nw","CHF","fs"
"empty","","2022","","er","ktn_gdn_nw","CHF","fs"
"300","","2022","5990082.4","aufwand","ktn_gdn_nw","CHF","fs"
"301","","2022","77817493.96","aufwand","ktn_gdn_nw","CHF","fs"
"302","","2022","58370225.38","aufwand","ktn_gdn_nw","CHF","fs"
"303","","2022","532811.5","aufwand","ktn_gdn_nw","CHF","fs"
"304","","2022","1398450.69","aufwand","ktn_gdn_nw","CHF","fs"
"305","","2022","25134985.96","aufwand","ktn_gdn_nw","CHF","fs"
"306","","2022","214066","aufwand","ktn_gdn_nw","CHF","fs"
"309","","2022","2720137.21","aufwand","ktn_gdn_nw","CHF","fs"
"310","","2022","6859274.6","aufwand","ktn_gdn_nw","CHF","fs"
"311","","2022","4509207.45","aufwand","ktn_gdn_nw","CHF","fs"
"312","","2022","3958303.36","aufwand","ktn_gdn_nw","CHF","fs"
"313","","2022","32406755.91","aufwand","ktn_gdn_nw","CHF","fs"
"314","","2022","14777890.53","aufwand","ktn_gdn_nw","CHF","fs"
"315","","2022","4724313.92","aufwand","ktn_gdn_nw","CHF","fs"
"316","","2022","4483357.88","aufwand","ktn_gdn_nw","CHF","fs"
"317","","2022","1855297.92","aufwand","ktn_gdn_nw","CHF","fs"
"318","","2022","3390992.28","aufwand","ktn_gdn_nw","CHF","fs"
"319","","2022","3296419.75","aufwand","ktn_gdn_nw","CHF","fs"
"320","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"331","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"337","","2022","37316563.95","aufwand","ktn_gdn_nw","CHF","fs"
"338","","2022","3781199.75","aufwand","ktn_gdn_nw","CHF","fs"
"340","","2022","2382036.93","aufwand","ktn_gdn_nw","CHF","fs"
"341","","2022","32500.93","aufwand","ktn_gdn_nw","CHF","fs"
"342","","2022","45000","aufwand","ktn_gdn_nw","CHF","fs"
"343","","2022","616279.79","aufwand","ktn_gdn_nw","CHF","fs"
"344","","2022","118209.75","aufwand","ktn_gdn_nw","CHF","fs"
"349","","2022","235600.42","aufwand","ktn_gdn_nw","CHF","fs"
"350","","2022","177986.21","aufwand","ktn_gdn_nw","CHF","fs"
"351","","2022","5129595.71","aufwand","ktn_gdn_nw","CHF","fs"
"352","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"3600","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36010","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36011","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36012","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36013","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36014","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36015","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36016","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36017","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36018","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36019","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36021","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36022","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36023","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36029","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"3603","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"3604","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"3610","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"3611","","2022","9318589.6","aufwand","ktn_gdn_nw","CHF","fs"
"3612","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"3613","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"3614","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"3620","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36211","","2022","40049604","aufwand","ktn_gdn_nw","CHF","fs"
"36212","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36213","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36214","","2022","387310","aufwand","ktn_gdn_nw","CHF","fs"
"36215","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
"36216","","2022","","aufwand","ktn_gdn_nw","CHF","fs"
