"arten","funk","jahr","value","dim","unit"
"100","","2019","96966942.14","bilanz","CHF"
"101","","2019","101693844.9","bilanz","CHF"
"102","","2019","20400000","bilanz","CHF"
"104","","2019","8208237.25","bilanz","CHF"
"106","","2019","19132.8","bilanz","CHF"
"107","","2019","48780562.3","bilanz","CHF"
"108","","2019","4393000","bilanz","CHF"
"109","","2019","","bilanz","CHF"
"140","","2019","91140559.88","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","2173509.71","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","18129808","bilanz","CHF"
"145","","2019","129013003","bilanz","CHF"
"146","","2019","84139040.18","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","141802451.08","bilanz","CHF"
"201","","2019","11030483.23","bilanz","CHF"
"204","","2019","10735915.87","bilanz","CHF"
"205","","2019","770000","bilanz","CHF"
"206","","2019","144337163.07","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","10760000","bilanz","CHF"
"209","","2019","845235.11","bilanz","CHF"
"290","","2019","7906700.89","bilanz","CHF"
"292","","2019","","bilanz","CHF"
"293","","2019","21821383.55","bilanz","CHF"
"294","","2019","209522605.48","bilanz","CHF"
"295","","2019","","bilanz","CHF"
"296","","2019","","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","45525701.88","bilanz","CHF"
"300","","2019","3404282.15","aufwand","CHF"
"301","","2019","46890991.81","aufwand","CHF"
"302","","2019","14122190","aufwand","CHF"
"303","","2019","","aufwand","CHF"
"304","","2019","797731.89","aufwand","CHF"
"305","","2019","11432716.95","aufwand","CHF"
"306","","2019","538843.5","aufwand","CHF"
"309","","2019","1112279.95","aufwand","CHF"
"310","","2019","2842429.11","aufwand","CHF"
"311","","2019","1531343.43","aufwand","CHF"
"312","","2019","1059455.25","aufwand","CHF"
"313","","2019","14395054.94","aufwand","CHF"
"314","","2019","5841800.41","aufwand","CHF"
"315","","2019","947735.94","aufwand","CHF"
"316","","2019","3752953.84","aufwand","CHF"
"317","","2019","872548.43","aufwand","CHF"
"318","","2019","2064269.15","aufwand","CHF"
"319","","2019","1216692.63","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","8294151.69","aufwand","CHF"
"338","","2019","","aufwand","CHF"
"340","","2019","2053829.94","aufwand","CHF"
"341","","2019","22293.09","aufwand","CHF"
"342","","2019","45000","aufwand","CHF"
"343","","2019","95383.15","aufwand","CHF"
"344","","2019","16289.3","aufwand","CHF"
"349","","2019","100372.02","aufwand","CHF"
"350","","2019","127548.5","aufwand","CHF"
"351","","2019","661930.67","aufwand","CHF"
"352","","2019","","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
"36015","","2019","","aufwand","CHF"
"36016","","2019","","aufwand","CHF"
"36017","","2019","","aufwand","CHF"
"36018","","2019","","aufwand","CHF"
"36019","","2019","","aufwand","CHF"
"36021","","2019","9728459.85","aufwand","CHF"
"36022","","2019","","aufwand","CHF"
"36023","","2019","","aufwand","CHF"
"36029","","2019","","aufwand","CHF"
"3603","","2019","","aufwand","CHF"
"3604","","2019","","aufwand","CHF"
"3610","","2019","","aufwand","CHF"
"3611","","2019","8477538.4","aufwand","CHF"
"3612","","2019","4040427.7","aufwand","CHF"
"3613","","2019","","aufwand","CHF"
"3614","","2019","","aufwand","CHF"
"3620","","2019","","aufwand","CHF"
"36211","","2019","46338194","aufwand","CHF"
"36212","","2019","","aufwand","CHF"
"36213","","2019","","aufwand","CHF"
"36214","","2019","476689","aufwand","CHF"
"36215","","2019","","aufwand","CHF"
"36216","","2019","","aufwand","CHF"
"36217","","2019","","aufwand","CHF"
"36219","","2019","","aufwand","CHF"
"36221","","2019","","aufwand","CHF"
"36222","","2019","","aufwand","CHF"
"36223","","2019","","aufwand","CHF"
"36224","","2019","","aufwand","CHF"
