"arten","funk","jahr","value","dim","unit"
"100","","2016","107415636.17","bilanz","CHF"
"101","","2016","108006663.01","bilanz","CHF"
"102","","2016","2385016.85","bilanz","CHF"
"104","","2016","31803913.97","bilanz","CHF"
"106","","2016","304131.44","bilanz","CHF"
"107","","2016","7034872.19","bilanz","CHF"
"108","","2016","158795685.73","bilanz","CHF"
"109","","2016","15678.4","bilanz","CHF"
"140","","2016","236099672.25","bilanz","CHF"
"141","","2016","","bilanz","CHF"
"142","","2016","3467861.35","bilanz","CHF"
"143","","2016","59707763.58","bilanz","CHF"
"144","","2016","","bilanz","CHF"
"145","","2016","","bilanz","CHF"
"146","","2016","4469889.3","bilanz","CHF"
"147","","2016","","bilanz","CHF"
"148","","2016","","bilanz","CHF"
"200","","2016","99422744.31","bilanz","CHF"
"201","","2016","31767066.3","bilanz","CHF"
"204","","2016","46347282.78","bilanz","CHF"
"205","","2016","1e+05","bilanz","CHF"
"206","","2016","296628397.6","bilanz","CHF"
"207","","2016","","bilanz","CHF"
"208","","2016","7794433.2","bilanz","CHF"
"209","","2016","116304123.02","bilanz","CHF"
"290","","2016","","bilanz","CHF"
"292","","2016","","bilanz","CHF"
"293","","2016","","bilanz","CHF"
"294","","2016","20700000","bilanz","CHF"
"295","","2016","","bilanz","CHF"
"296","","2016","","bilanz","CHF"
"298","","2016","","bilanz","CHF"
"299","","2016","100442737.03","bilanz","CHF"
"300","","2016","3527237.95","aufwand","CHF"
"301","","2016","69281058.74","aufwand","CHF"
"302","","2016","45150811.89","aufwand","CHF"
"303","","2016","","aufwand","CHF"
"304","","2016","219847.23","aufwand","CHF"
"305","","2016","23708293.28","aufwand","CHF"
"306","","2016","1904928.2","aufwand","CHF"
"309","","2016","2274559.94","aufwand","CHF"
"310","","2016","10565610.62","aufwand","CHF"
"311","","2016","4711381.62","aufwand","CHF"
"312","","2016","13208532.62","aufwand","CHF"
"313","","2016","35449496.92","aufwand","CHF"
"314","","2016","16000464.09","aufwand","CHF"
"315","","2016","7665558.68","aufwand","CHF"
"316","","2016","3242568.75","aufwand","CHF"
"317","","2016","1329478.02","aufwand","CHF"
"318","","2016","1937912.29","aufwand","CHF"
"319","","2016","3107176.74","aufwand","CHF"
"320","","2016","","aufwand","CHF"
"331","","2016","","aufwand","CHF"
"337","","2016","33892216.21","aufwand","CHF"
"338","","2016","2760207.37","aufwand","CHF"
"340","","2016","5959251.29","aufwand","CHF"
"341","","2016","57408.95","aufwand","CHF"
"342","","2016","","aufwand","CHF"
"343","","2016","1784688.14","aufwand","CHF"
"344","","2016","793696.4","aufwand","CHF"
"349","","2016","479392.68","aufwand","CHF"
"350","","2016","","aufwand","CHF"
"351","","2016","","aufwand","CHF"
"352","","2016","21735708.12","aufwand","CHF"
"3600","","2016","","aufwand","CHF"
"36010","","2016","","aufwand","CHF"
"36011","","2016","","aufwand","CHF"
"36012","","2016","","aufwand","CHF"
"36013","","2016","","aufwand","CHF"
"36014","","2016","","aufwand","CHF"
"36015","","2016","","aufwand","CHF"
"36016","","2016","","aufwand","CHF"
"36017","","2016","","aufwand","CHF"
"36018","","2016","","aufwand","CHF"
"36019","","2016","","aufwand","CHF"
"36021","","2016","","aufwand","CHF"
"36022","","2016","","aufwand","CHF"
"36023","","2016","","aufwand","CHF"
"36029","","2016","","aufwand","CHF"
"3603","","2016","","aufwand","CHF"
"3604","","2016","","aufwand","CHF"
"3610","","2016","","aufwand","CHF"
"3611","","2016","3629793.58","aufwand","CHF"
"3612","","2016","","aufwand","CHF"
"3613","","2016","","aufwand","CHF"
"3614","","2016","","aufwand","CHF"
"3620","","2016","","aufwand","CHF"
"36211","","2016","","aufwand","CHF"
"36212","","2016","","aufwand","CHF"
"36213","","2016","","aufwand","CHF"
"36214","","2016","","aufwand","CHF"
"36215","","2016","","aufwand","CHF"
"36216","","2016","","aufwand","CHF"
"36217","","2016","","aufwand","CHF"
"36219","","2016","","aufwand","CHF"
"36221","","2016","","aufwand","CHF"
"36222","","2016","","aufwand","CHF"
