"arten","funk","jahr","value","dim","unit"
"100","","2017","79812920.18","bilanz","CHF"
"101","","2017","487062719.75","bilanz","CHF"
"102","","2017","2e+07","bilanz","CHF"
"104","","2017","129281306.99","bilanz","CHF"
"106","","2017","3932388.24","bilanz","CHF"
"107","","2017","232463948.8","bilanz","CHF"
"108","","2017","172799947.52","bilanz","CHF"
"109","","2017","","bilanz","CHF"
"140","","2017","1322189377.4","bilanz","CHF"
"141","","2017","","bilanz","CHF"
"142","","2017","","bilanz","CHF"
"143","","2017","","bilanz","CHF"
"144","","2017","116915891.4","bilanz","CHF"
"145","","2017","177716259.45","bilanz","CHF"
"146","","2017","","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","","bilanz","CHF"
"200","","2017","226735808.42","bilanz","CHF"
"201","","2017","2e+08","bilanz","CHF"
"204","","2017","133041453","bilanz","CHF"
"205","","2017","","bilanz","CHF"
"206","","2017","1950941781.44","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","26101228.02","bilanz","CHF"
"209","","2017","88991849.51","bilanz","CHF"
"290","","2017","616963050.68","bilanz","CHF"
"292","","2017","73592434.21","bilanz","CHF"
"293","","2017","","bilanz","CHF"
"294","","2017","","bilanz","CHF"
"295","","2017","","bilanz","CHF"
"296","","2017","","bilanz","CHF"
"298","","2017","","bilanz","CHF"
"299","","2017","-574192845.55","bilanz","CHF"
"300","","2017","7463956.5","aufwand","CHF"
"301","","2017","276661455.74","aufwand","CHF"
"302","","2017","79922392.11","aufwand","CHF"
"303","","2017","98091.75","aufwand","CHF"
"304","","2017","121405.35","aufwand","CHF"
"305","","2017","72433336.24","aufwand","CHF"
"306","","2017","3215103.25","aufwand","CHF"
"309","","2017","3865665.41","aufwand","CHF"
"310","","2017","17563958.07","aufwand","CHF"
"311","","2017","8403791.84","aufwand","CHF"
"312","","2017","5142156.12","aufwand","CHF"
"313","","2017","89266546.9","aufwand","CHF"
"314","","2017","21714589.75","aufwand","CHF"
"315","","2017","10356096.28","aufwand","CHF"
"316","","2017","12306830.84","aufwand","CHF"
"317","","2017","3731598.36","aufwand","CHF"
"318","","2017","26066736.1","aufwand","CHF"
"319","","2017","5895912.4","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","50888158.55","aufwand","CHF"
"338","","2017","862852.71","aufwand","CHF"
"340","","2017","11775498.89","aufwand","CHF"
"341","","2017","20524.3","aufwand","CHF"
"342","","2017","252309.72","aufwand","CHF"
"343","","2017","1386751.76","aufwand","CHF"
"344","","2017","26830003.2","aufwand","CHF"
"349","","2017","4293094.13","aufwand","CHF"
"350","","2017","492173.83","aufwand","CHF"
"351","","2017","","aufwand","CHF"
"352","","2017","","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","","aufwand","CHF"
"36022","","2017","","aufwand","CHF"
"36023","","2017","","aufwand","CHF"
"36029","","2017","","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","26708302.63","aufwand","CHF"
"3612","","2017","2358258.55","aufwand","CHF"
"3613","","2017","","aufwand","CHF"
"3614","","2017","","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","3621638","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
"36217","","2017","","aufwand","CHF"
"36219","","2017","","aufwand","CHF"
"36221","","2017","","aufwand","CHF"
"36222","","2017","","aufwand","CHF"
"36223","","2017","","aufwand","CHF"
"36224","","2017","","aufwand","CHF"
"36225","","2017","16983300","aufwand","CHF"
"36226","","2017","20856300","aufwand","CHF"
"36227","","2017","","aufwand","CHF"
"36228","","2017","","aufwand","CHF"
"3624","","2017","","aufwand","CHF"
"3629","","2017","","aufwand","CHF"
"3630","","2017","","aufwand","CHF"
"3631","","2017","98446941.74","aufwand","CHF"
"3632","","2017","152098538.5","aufwand","CHF"
"3633","","2017","5908024.5","aufwand","CHF"
"3634","","2017","399313709.06","aufwand","CHF"
"3635","","2017","124793519.72","aufwand","CHF"
"3636","","2017","131406840.82","aufwand","CHF"
"3637","","2017","399690327.44","aufwand","CHF"
"3638","","2017","1e+05","aufwand","CHF"
"3639","","2017","7205760","aufwand","CHF"
"364","","2017","92941.99","aufwand","CHF"
"365","","2017","","aufwand","CHF"
"366","","2017","2490652.4","aufwand","CHF"
"369","","2017","","aufwand","CHF"
"380","","2017","-1991632.9","aufwand","CHF"
"381","","2017","","aufwand","CHF"
"383","","2017","27290828","aufwand","CHF"
"384","","2017","","aufwand","CHF"
"3860","","2017","","aufwand","CHF"
"3861","","2017","","aufwand","CHF"
"3862","","2017","","aufwand","CHF"
"3863","","2017","","aufwand","CHF"
"3864","","2017","","aufwand","CHF"
"3865","","2017","","aufwand","CHF"
"3866","","2017","","aufwand","CHF"
"3867","","2017","","aufwand","CHF"
"3868","","2017","","aufwand","CHF"
"387","","2017","","aufwand","CHF"
"389","","2017","","aufwand","CHF"
"4000","","2017","647636644.8","ertrag","CHF"
"4001","","2017","33398347","ertrag","CHF"
"4002","","2017","28435234.37","ertrag","CHF"
"4008","","2017","","ertrag","CHF"
"4009","","2017","","ertrag","CHF"
"4010","","2017","96808434.55","ertrag","CHF"
"4011","","2017","21596550","ertrag","CHF"
"4012","","2017","","ertrag","CHF"
"4019","","2017","","ertrag","CHF"
"4020","","2017","","ertrag","CHF"
"4021","","2017","","ertrag","CHF"
"4022","","2017","9465078.35","ertrag","CHF"
"4023","","2017","27316725.33","ertrag","CHF"
"4024","","2017","28589778","ertrag","CHF"
"4025","","2017","","ertrag","CHF"
"4030","","2017","72502261.29","ertrag","CHF"
"4031","","2017","180007.5","ertrag","CHF"
"4032","","2017","","ertrag","CHF"
"4033","","2017","","ertrag","CHF"
"4039","","2017","","ertrag","CHF"
"4040","","2017","","ertrag","CHF"
"4041","","2017","","ertrag","CHF"
"4042","","2017","","ertrag","CHF"
"4043","","2017","","ertrag","CHF"
"4044","","2017","","ertrag","CHF"
"4045","","2017","","ertrag","CHF"
"4046","","2017","","ertrag","CHF"
"4047","","2017","","ertrag","CHF"
"4049","","2017","","ertrag","CHF"
"4050","","2017","","ertrag","CHF"
"4051","","2017","","ertrag","CHF"
"4052","","2017","","ertrag","CHF"
"4053","","2017","","ertrag","CHF"
"4059","","2017","","ertrag","CHF"
"4060","","2017","","ertrag","CHF"
"4070","","2017","","ertrag","CHF"
"4071","","2017","","ertrag","CHF"
"4072","","2017","","ertrag","CHF"
"4079","","2017","","ertrag","CHF"
"410","","2017","1595074.8","ertrag","CHF"
"411","","2017","36905576","ertrag","CHF"
"412","","2017","8819250.65","ertrag","CHF"
"413","","2017","17377334","ertrag","CHF"
"420","","2017","1775500","ertrag","CHF"
"421","","2017","84817999.96","ertrag","CHF"
"422","","2017","14097395.8","ertrag","CHF"
"423","","2017","3104783.22","ertrag","CHF"
"424","","2017","13920170.51","ertrag","CHF"
"425","","2017","7306239.01","ertrag","CHF"
"426","","2017","9194309.95","ertrag","CHF"
"427","","2017","36561746.57","ertrag","CHF"
"429","","2017","3138204.85","ertrag","CHF"
"430","","2017","16153409.6","ertrag","CHF"
"431","","2017","14652","ertrag","CHF"
"432","","2017","","ertrag","CHF"
"439","","2017","2434629.52","ertrag","CHF"
"440","","2017","8241234.65","ertrag","CHF"
"441","","2017","377206.04","ertrag","CHF"
"442","","2017","","ertrag","CHF"
"443","","2017","5630989.4","ertrag","CHF"
"444","","2017","","ertrag","CHF"
"445","","2017","472110","ertrag","CHF"
"446","","2017","355605","ertrag","CHF"
"447","","2017","12802283.58","ertrag","CHF"
"448","","2017","","ertrag","CHF"
"449","","2017","662419.63","ertrag","CHF"
"450","","2017","10363594.04","ertrag","CHF"
"451","","2017","","ertrag","CHF"
"452","","2017","","ertrag","CHF"
"46000","","2017","57586145","ertrag","CHF"
"46001","","2017","30571020.08","ertrag","CHF"
"46002","","2017","1050355","ertrag","CHF"
"46003","","2017","797540","ertrag","CHF"
"46004","","2017","","ertrag","CHF"
"46005","","2017","8575217.3","ertrag","CHF"
"46006","","2017","","ertrag","CHF"
"46007","","2017","59860","ertrag","CHF"
"46008","","2017","13640506.5","ertrag","CHF"
"46009","","2017","21100","ertrag","CHF"
"46010","","2017","","ertrag","CHF"
"46011","","2017","","ertrag","CHF"
"46012","","2017","","ertrag","CHF"
"46019","","2017","","ertrag","CHF"
"4603","","2017","","ertrag","CHF"
"4604","","2017","","ertrag","CHF"
"4610","","2017","60700738.71","ertrag","CHF"
"4611","","2017","14362893.18","ertrag","CHF"
"4612","","2017","4766319.71","ertrag","CHF"
"4613","","2017","12582530.94","ertrag","CHF"
"4614","","2017","","ertrag","CHF"
"46201","","2017","182598365.86","ertrag","CHF"
"46202","","2017","2490009.3","ertrag","CHF"
"46203","","2017","","ertrag","CHF"
"46204","","2017","","ertrag","CHF"
"46209","","2017","","ertrag","CHF"
"46211","","2017","124205837.57","ertrag","CHF"
"46212","","2017","","ertrag","CHF"
"46213","","2017","","ertrag","CHF"
"46214","","2017","","ertrag","CHF"
"46215","","2017","","ertrag","CHF"
"46216","","2017","","ertrag","CHF"
"46217","","2017","","ertrag","CHF"
"46225","","2017","","ertrag","CHF"
"46226","","2017","","ertrag","CHF"
"46227","","2017","","ertrag","CHF"
"46228","","2017","","ertrag","CHF"
"4624","","2017","","ertrag","CHF"
"4629","","2017","","ertrag","CHF"
"4630","","2017","239022855.43","ertrag","CHF"
"4631","","2017","1819503.33","ertrag","CHF"
"4632","","2017","140876723.02","ertrag","CHF"
"4633","","2017","","ertrag","CHF"
"4634","","2017","390695.44","ertrag","CHF"
"4635","","2017","541999.45","ertrag","CHF"
"4636","","2017","","ertrag","CHF"
"4637","","2017","","ertrag","CHF"
"4638","","2017","","ertrag","CHF"
"466","","2017","","ertrag","CHF"
"469","","2017","282559.3","ertrag","CHF"
"481","","2017","","ertrag","CHF"
"482","","2017","","ertrag","CHF"
"483","","2017","","ertrag","CHF"
"484","","2017","","ertrag","CHF"
"485","","2017","","ertrag","CHF"
"4860","","2017","","ertrag","CHF"
"4861","","2017","","ertrag","CHF"
"4862","","2017","","ertrag","CHF"
"4863","","2017","","ertrag","CHF"
"4864","","2017","","ertrag","CHF"
"4865","","2017","","ertrag","CHF"
"4866","","2017","","ertrag","CHF"
"4867","","2017","","ertrag","CHF"
"4868","","2017","","ertrag","CHF"
"4870","","2017","","ertrag","CHF"
"489","","2017","","ertrag","CHF"
