"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","1217851557.49","bilanz","ktn_gdn_be","CHF","fs"
"101","","2021","5192792999.99","bilanz","ktn_gdn_be","CHF","fs"
"102","","2021","84537961.06","bilanz","ktn_gdn_be","CHF","fs"
"104","","2021","2174353874.26","bilanz","ktn_gdn_be","CHF","fs"
"106","","2021","36504836.66","bilanz","ktn_gdn_be","CHF","fs"
"107","","2021","1401154080.59","bilanz","ktn_gdn_be","CHF","fs"
"108","","2021","4027183474.21","bilanz","ktn_gdn_be","CHF","fs"
"109","","2021","432326.14","bilanz","ktn_gdn_be","CHF","fs"
"140","","2021","8877927799.01","bilanz","ktn_gdn_be","CHF","fs"
"141","","2021","","bilanz","ktn_gdn_be","CHF","fs"
"142","","2021","310726653.28","bilanz","ktn_gdn_be","CHF","fs"
"143","","2021","","bilanz","ktn_gdn_be","CHF","fs"
"144","","2021","860868905.25","bilanz","ktn_gdn_be","CHF","fs"
"145","","2021","1287506451.65","bilanz","ktn_gdn_be","CHF","fs"
"146","","2021","1366856518.58","bilanz","ktn_gdn_be","CHF","fs"
"147","","2021","","bilanz","ktn_gdn_be","CHF","fs"
"148","","2021","","bilanz","ktn_gdn_be","CHF","fs"
"200","","2021","1634932986.88","bilanz","ktn_gdn_be","CHF","fs"
"201","","2021","1628525979.25","bilanz","ktn_gdn_be","CHF","fs"
"204","","2021","2617363805.77","bilanz","ktn_gdn_be","CHF","fs"
"205","","2021","775344786.93","bilanz","ktn_gdn_be","CHF","fs"
"206","","2021","10570977601.11","bilanz","ktn_gdn_be","CHF","fs"
"207","","2021","","bilanz","ktn_gdn_be","CHF","fs"
"208","","2021","1665921333.34","bilanz","ktn_gdn_be","CHF","fs"
"209","","2021","455748588.71","bilanz","ktn_gdn_be","CHF","fs"
"290","","2021","1126898278.37","bilanz","ktn_gdn_be","CHF","fs"
"292","","2021","3818315.84","bilanz","ktn_gdn_be","CHF","fs"
"293","","2021","2880411348.74","bilanz","ktn_gdn_be","CHF","fs"
"294","","2021","578572589.32","bilanz","ktn_gdn_be","CHF","fs"
"295","","2021","","bilanz","ktn_gdn_be","CHF","fs"
"296","","2021","835894393.94","bilanz","ktn_gdn_be","CHF","fs"
"298","","2021","444035120.41","bilanz","ktn_gdn_be","CHF","fs"
"299","","2021","1620252309.56","bilanz","ktn_gdn_be","CHF","fs"
"empty","","2021","","er","ktn_gdn_be","CHF","fs"
"empty","","2021","","er","ktn_gdn_be","CHF","fs"
"empty","","2021","","er","ktn_gdn_be","CHF","fs"
"empty","","2021","","er","ktn_gdn_be","CHF","fs"
"300","","2021","93625858.84","aufwand","ktn_gdn_be","CHF","fs"
"301","","2021","2325982427.67","aufwand","ktn_gdn_be","CHF","fs"
"302","","2021","1993387511.19","aufwand","ktn_gdn_be","CHF","fs"
"303","","2021","16875960","aufwand","ktn_gdn_be","CHF","fs"
"304","","2021","11546459.56","aufwand","ktn_gdn_be","CHF","fs"
"305","","2021","868637384.26","aufwand","ktn_gdn_be","CHF","fs"
"306","","2021","3724819.56","aufwand","ktn_gdn_be","CHF","fs"
"309","","2021","39631332.28","aufwand","ktn_gdn_be","CHF","fs"
"310","","2021","275374223.14","aufwand","ktn_gdn_be","CHF","fs"
"311","","2021","100640554.29","aufwand","ktn_gdn_be","CHF","fs"
"312","","2021","167285895.71","aufwand","ktn_gdn_be","CHF","fs"
"313","","2021","833494171.28","aufwand","ktn_gdn_be","CHF","fs"
"314","","2021","286317843.53","aufwand","ktn_gdn_be","CHF","fs"
"315","","2021","91148672","aufwand","ktn_gdn_be","CHF","fs"
"316","","2021","145874140.88","aufwand","ktn_gdn_be","CHF","fs"
"317","","2021","41113138.29","aufwand","ktn_gdn_be","CHF","fs"
"318","","2021","129367850.38","aufwand","ktn_gdn_be","CHF","fs"
"319","","2021","210258581.79","aufwand","ktn_gdn_be","CHF","fs"
"320","","2021","","aufwand","ktn_gdn_be","CHF","fs"
"331","","2021","","aufwand","ktn_gdn_be","CHF","fs"
"337","","2021","606592782.04","aufwand","ktn_gdn_be","CHF","fs"
"338","","2021","20312033.34","aufwand","ktn_gdn_be","CHF","fs"
"340","","2021","136499546.08","aufwand","ktn_gdn_be","CHF","fs"
"341","","2021","5768630.11","aufwand","ktn_gdn_be","CHF","fs"
"342","","2021","4595243.14","aufwand","ktn_gdn_be","CHF","fs"
