"arten","funk","jahr","value","dim","unit"
"100","","2022","1471784891.79","bilanz","CHF"
"101","","2022","5547966809.98","bilanz","CHF"
"102","","2022","78873138.89","bilanz","CHF"
"104","","2022","1365672406.66","bilanz","CHF"
"106","","2022","40558475.52","bilanz","CHF"
"107","","2022","1499974479.32","bilanz","CHF"
"108","","2022","4134747223.3","bilanz","CHF"
"109","","2022","215000","bilanz","CHF"
"140","","2022","9172431559.27","bilanz","CHF"
"141","","2022","","bilanz","CHF"
"142","","2022","339922491.55","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","866862384.29","bilanz","CHF"
"145","","2022","1286695585.48","bilanz","CHF"
"146","","2022","1296616893.6","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","1636527617.26","bilanz","CHF"
"201","","2022","1193972126.36","bilanz","CHF"
"204","","2022","2825795703.19","bilanz","CHF"
"205","","2022","694900658.97","bilanz","CHF"
"206","","2022","10498703075.68","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","1582811971.14","bilanz","CHF"
"209","","2022","500676267.77","bilanz","CHF"
"290","","2022","1114967260.01","bilanz","CHF"
"292","","2022","4484638.74","bilanz","CHF"
"293","","2022","3078776032.59","bilanz","CHF"
"294","","2022","649993851.37","bilanz","CHF"
"295","","2022","","bilanz","CHF"
"296","","2022","761441939.03","bilanz","CHF"
"298","","2022","499328321.53","bilanz","CHF"
"299","","2022","2059941876.01","bilanz","CHF"
"300","","2022","95843761.57","aufwand","CHF"
"301","","2022","2347458898.9","aufwand","CHF"
"302","","2022","2050256639.5","aufwand","CHF"
"303","","2022","17676192.1","aufwand","CHF"
"304","","2022","11434807","aufwand","CHF"
"305","","2022","864540202.28","aufwand","CHF"
"306","","2022","2169972.65","aufwand","CHF"
"309","","2022","45903411.59","aufwand","CHF"
"310","","2022","274177941.78","aufwand","CHF"
"311","","2022","107032593.32","aufwand","CHF"
"312","","2022","196336046.49","aufwand","CHF"
"313","","2022","864380676.68","aufwand","CHF"
"314","","2022","250653540.17","aufwand","CHF"
"315","","2022","94712008.69","aufwand","CHF"
"316","","2022","151945321.61","aufwand","CHF"
"317","","2022","55976369.84","aufwand","CHF"
"318","","2022","116364552.68","aufwand","CHF"
"319","","2022","192895892.71","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","631533759.75","aufwand","CHF"
"338","","2022","14467850.56","aufwand","CHF"
"340","","2022","127824367.85","aufwand","CHF"
"341","","2022","12368003.7","aufwand","CHF"
"342","","2022","3983860.49","aufwand","CHF"
"343","","2022","49505979.66","aufwand","CHF"
"344","","2022","31740921.07","aufwand","CHF"
"349","","2022","2457855.63","aufwand","CHF"
"350","","2022","36637036.04","aufwand","CHF"
"351","","2022","159170911.21","aufwand","CHF"
"352","","2022","","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","30992612.6","aufwand","CHF"
"3612","","2022","","aufwand","CHF"
"3613","","2022","","aufwand","CHF"
"3614","","2022","85566607.45","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
