"arten","funk","jahr","value","dim","unit"
"100","","2015","520439023.03","bilanz","CHF"
"101","","2015","1137072281.13","bilanz","CHF"
"102","","2015","153598250.05","bilanz","CHF"
"104","","2015","340463567.74","bilanz","CHF"
"106","","2015","5810008.18","bilanz","CHF"
"107","","2015","535037872.85","bilanz","CHF"
"108","","2015","582458411.44","bilanz","CHF"
"109","","2015","931151.32","bilanz","CHF"
"140","","2015","4884968927.81","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","40772438.81","bilanz","CHF"
"143","","2015","151139188.33","bilanz","CHF"
"144","","2015","337879724","bilanz","CHF"
"145","","2015","677129194","bilanz","CHF"
"146","","2015","477314284.79","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","1310589860.27","bilanz","CHF"
"201","","2015","74721368.54","bilanz","CHF"
"204","","2015","308870045.15","bilanz","CHF"
"205","","2015","27759098","bilanz","CHF"
"206","","2015","3096749398.08","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","97863213.43","bilanz","CHF"
"209","","2015","526821385.03","bilanz","CHF"
"290","","2015","36700316","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","232560096.24","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","2522846961","bilanz","CHF"
"296","","2015","513859161","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","1095673420.73","bilanz","CHF"
"300","","2015","48551977.42","aufwand","CHF"
"301","","2015","654703606.29","aufwand","CHF"
"302","","2015","635806521.5","aufwand","CHF"
"303","","2015","1230180.47","aufwand","CHF"
"304","","2015","2940063.59","aufwand","CHF"
"305","","2015","240482118.09","aufwand","CHF"
"306","","2015","6210811.59","aufwand","CHF"
"309","","2015","19517010.83","aufwand","CHF"
"310","","2015","64318339.23","aufwand","CHF"
"311","","2015","34917209.44","aufwand","CHF"
"312","","2015","37125217.23","aufwand","CHF"
"313","","2015","174860082.17","aufwand","CHF"
"314","","2015","84070496.88","aufwand","CHF"
"315","","2015","35204999.46","aufwand","CHF"
"316","","2015","64370289.31","aufwand","CHF"
"317","","2015","11246588.63","aufwand","CHF"
"318","","2015","22559384.22","aufwand","CHF"
"319","","2015","12634269.99","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","215191023.88","aufwand","CHF"
"338","","2015","126328730.8","aufwand","CHF"
"340","","2015","52747313.4","aufwand","CHF"
"341","","2015","20300920.01","aufwand","CHF"
"342","","2015","329795.75","aufwand","CHF"
"343","","2015","5942744.04","aufwand","CHF"
"344","","2015","3769216.48","aufwand","CHF"
"349","","2015","4203038.24","aufwand","CHF"
"350","","2015","8826308.01","aufwand","CHF"
"351","","2015","","aufwand","CHF"
"352","","2015","81206664.46","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","","aufwand","CHF"
"36022","","2015","","aufwand","CHF"
"36023","","2015","","aufwand","CHF"
"36029","","2015","","aufwand","CHF"
"3603","","2015","","aufwand","CHF"
"3604","","2015","","aufwand","CHF"
"3610","","2015","","aufwand","CHF"
"3611","","2015","26669335.35","aufwand","CHF"
"3612","","2015","","aufwand","CHF"
"3613","","2015","","aufwand","CHF"
"3614","","2015","2000","aufwand","CHF"
"3620","","2015","","aufwand","CHF"
"36211","","2015","","aufwand","CHF"
"36212","","2015","","aufwand","CHF"
"36213","","2015","","aufwand","CHF"
"36214","","2015","5729068","aufwand","CHF"
"36215","","2015","","aufwand","CHF"
"36216","","2015","","aufwand","CHF"
"36217","","2015","","aufwand","CHF"
"36219","","2015","","aufwand","CHF"
"36221","","2015","","aufwand","CHF"
"36222","","2015","","aufwand","CHF"
"36223","","2015","","aufwand","CHF"
"36224","","2015","","aufwand","CHF"
"36225","","2015","","aufwand","CHF"
"36226","","2015","","aufwand","CHF"
"36227","","2015","","aufwand","CHF"
"36228","","2015","","aufwand","CHF"
"3624","","2015","","aufwand","CHF"
"3629","","2015","","aufwand","CHF"
"3630","","2015","","aufwand","CHF"
"3631","","2015","129222251.79","aufwand","CHF"
"3632","","2015","","aufwand","CHF"
"3633","","2015","8391402.8","aufwand","CHF"
"3634","","2015","424496587.8","aufwand","CHF"
"3635","","2015","333244553.03","aufwand","CHF"
"3636","","2015","387320806.05","aufwand","CHF"
"3637","","2015","617351220.21","aufwand","CHF"
"3638","","2015","445498.17","aufwand","CHF"
"3639","","2015","13736058.72","aufwand","CHF"
"364","","2015","","aufwand","CHF"
"365","","2015","","aufwand","CHF"
"366","","2015","23188456.13","aufwand","CHF"
"369","","2015","","aufwand","CHF"
"380","","2015","","aufwand","CHF"
"381","","2015","","aufwand","CHF"
"383","","2015","","aufwand","CHF"
"384","","2015","","aufwand","CHF"
"3860","","2015","","aufwand","CHF"
"3861","","2015","","aufwand","CHF"
"3862","","2015","","aufwand","CHF"
"3863","","2015","","aufwand","CHF"
"3864","","2015","","aufwand","CHF"
"3865","","2015","","aufwand","CHF"
"3866","","2015","","aufwand","CHF"
"3867","","2015","","aufwand","CHF"
"3868","","2015","","aufwand","CHF"
"387","","2015","","aufwand","CHF"
"389","","2015","4217609.29","aufwand","CHF"
"4000","","2015","1583118197.07","ertrag","CHF"
"4001","","2015","178569176.12","ertrag","CHF"
"4002","","2015","60522131.82","ertrag","CHF"
"4008","","2015","11322010","ertrag","CHF"
"4009","","2015","53550014.79","ertrag","CHF"
"4010","","2015","185111787.13","ertrag","CHF"
"4011","","2015","44535487.24","ertrag","CHF"
"4012","","2015","","ertrag","CHF"
"4019","","2015","","ertrag","CHF"
"4020","","2015","","ertrag","CHF"
"4021","","2015","400584.79","ertrag","CHF"
"4022","","2015","96412181.09","ertrag","CHF"
"4023","","2015","58877330.64","ertrag","CHF"
"4024","","2015","39654638.7","ertrag","CHF"
"4025","","2015","","ertrag","CHF"
"4030","","2015","99027678","ertrag","CHF"
"4031","","2015","2140710","ertrag","CHF"
"4032","","2015","6970368.75","ertrag","CHF"
"4033","","2015","1648879.78","ertrag","CHF"
"4039","","2015","1061693.4","ertrag","CHF"
"4040","","2015","","ertrag","CHF"
"4041","","2015","","ertrag","CHF"
"4042","","2015","","ertrag","CHF"
"4043","","2015","","ertrag","CHF"
"4044","","2015","","ertrag","CHF"
"4045","","2015","","ertrag","CHF"
"4046","","2015","","ertrag","CHF"
"4047","","2015","","ertrag","CHF"
"4049","","2015","","ertrag","CHF"
"4050","","2015","","ertrag","CHF"
"4051","","2015","","ertrag","CHF"
"4052","","2015","","ertrag","CHF"
"4053","","2015","","ertrag","CHF"
"4059","","2015","","ertrag","CHF"
"4060","","2015","","ertrag","CHF"
"4070","","2015","","ertrag","CHF"
"4071","","2015","","ertrag","CHF"
"4072","","2015","","ertrag","CHF"
"4079","","2015","","ertrag","CHF"
"410","","2015","1898450.82","ertrag","CHF"
"411","","2015","63987954","ertrag","CHF"
"412","","2015","23660421.46","ertrag","CHF"
"413","","2015","22552016","ertrag","CHF"
"420","","2015","21677530.27","ertrag","CHF"
"421","","2015","117633451.13","ertrag","CHF"
"422","","2015","9414568.64","ertrag","CHF"
"423","","2015","32404101.32","ertrag","CHF"
"424","","2015","166267837.1","ertrag","CHF"
"425","","2015","40640604.2","ertrag","CHF"
"426","","2015","182035195.13","ertrag","CHF"
"427","","2015","41787551.05","ertrag","CHF"
"429","","2015","12897633.38","ertrag","CHF"
"430","","2015","292747.6","ertrag","CHF"
"431","","2015","1824499.72","ertrag","CHF"
"432","","2015","38870","ertrag","CHF"
"439","","2015","631590.64","ertrag","CHF"
"440","","2015","11703746.58","ertrag","CHF"
"441","","2015","90198354.83","ertrag","CHF"
"442","","2015","10049961.75","ertrag","CHF"
"443","","2015","28224050.86","ertrag","CHF"
"444","","2015","4880012.62","ertrag","CHF"
"445","","2015","4665767.45","ertrag","CHF"
"446","","2015","100417885.52","ertrag","CHF"
"447","","2015","41452377.09","ertrag","CHF"
"448","","2015","1781765.15","ertrag","CHF"
"449","","2015","","ertrag","CHF"
"450","","2015","8775086.2","ertrag","CHF"
"451","","2015","","ertrag","CHF"
"452","","2015","68004620.75","ertrag","CHF"
"46000","","2015","128476142","ertrag","CHF"
"46001","","2015","30882380","ertrag","CHF"
"46002","","2015","1551687","ertrag","CHF"
"46003","","2015","1225952","ertrag","CHF"
"46004","","2015","","ertrag","CHF"
"46005","","2015","11086772.23","ertrag","CHF"
"46006","","2015","","ertrag","CHF"
"46007","","2015","380062","ertrag","CHF"
"46008","","2015","16885274.5","ertrag","CHF"
"46009","","2015","120017","ertrag","CHF"
"46010","","2015","","ertrag","CHF"
"46011","","2015","","ertrag","CHF"
"46012","","2015","","ertrag","CHF"
"46019","","2015","","ertrag","CHF"
"4603","","2015","","ertrag","CHF"
"4604","","2015","","ertrag","CHF"
"4610","","2015","85551430.41","ertrag","CHF"
"4611","","2015","22408174.1","ertrag","CHF"
"4612","","2015","","ertrag","CHF"
"4613","","2015","19231967.38","ertrag","CHF"
