"arten","funk","jahr","value","dim","unit"
"100","","2019","723914415.82","bilanz","CHF"
"101","","2019","612457604.96","bilanz","CHF"
"102","","2019","10291325.12","bilanz","CHF"
"104","","2019","75859802.57","bilanz","CHF"
"106","","2019","2842817.5","bilanz","CHF"
"107","","2019","270478611.25","bilanz","CHF"
"108","","2019","1123253123.01","bilanz","CHF"
"109","","2019","","bilanz","CHF"
"140","","2019","3334816137.64","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","25248459.13","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","29849086.91","bilanz","CHF"
"145","","2019","271675021.86","bilanz","CHF"
"146","","2019","261077028.85","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","1004818589.33","bilanz","CHF"
"201","","2019","239065982.47","bilanz","CHF"
"204","","2019","111796389.37","bilanz","CHF"
"205","","2019","16870735.13","bilanz","CHF"
"206","","2019","1627384893.49","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","43231682.07","bilanz","CHF"
"209","","2019","47769677.73","bilanz","CHF"
"290","","2019","919028030.24","bilanz","CHF"
"292","","2019","","bilanz","CHF"
"293","","2019","124840","bilanz","CHF"
"294","","2019","","bilanz","CHF"
"295","","2019","1275588610.45","bilanz","CHF"
"296","","2019","11424531.34","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","1444659473","bilanz","CHF"
"300","","2019","26321670.09","aufwand","CHF"
"301","","2019","320733401.43","aufwand","CHF"
"302","","2019","416858117.06","aufwand","CHF"
"303","","2019","634227.35","aufwand","CHF"
"304","","2019","5901174.81","aufwand","CHF"
"305","","2019","139953576.57","aufwand","CHF"
"306","","2019","2384146.8","aufwand","CHF"
"309","","2019","10157514.2","aufwand","CHF"
"310","","2019","39223050.13","aufwand","CHF"
"311","","2019","17537977.42","aufwand","CHF"
"312","","2019","29843392.23","aufwand","CHF"
"313","","2019","121623171.9","aufwand","CHF"
"314","","2019","45044753.49","aufwand","CHF"
"315","","2019","14949606.16","aufwand","CHF"
"316","","2019","17275490.42","aufwand","CHF"
"317","","2019","6384963.18","aufwand","CHF"
"318","","2019","14052820.84","aufwand","CHF"
"319","","2019","7303751.98","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","129437108.48","aufwand","CHF"
"338","","2019","2913042.13","aufwand","CHF"
"340","","2019","19174051.54","aufwand","CHF"
"341","","2019","156800.67","aufwand","CHF"
"342","","2019","97422.72","aufwand","CHF"
"343","","2019","11453043.74","aufwand","CHF"
"344","","2019","2535963.31","aufwand","CHF"
"349","","2019","187893.68","aufwand","CHF"
"350","","2019","1293748.17","aufwand","CHF"
"351","","2019","43517491.26","aufwand","CHF"
"352","","2019","1798","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
"36015","","2019","","aufwand","CHF"
"36016","","2019","","aufwand","CHF"
"36017","","2019","","aufwand","CHF"
"36018","","2019","","aufwand","CHF"
"36019","","2019","","aufwand","CHF"
"36021","","2019","","aufwand","CHF"
"36022","","2019","","aufwand","CHF"
"36023","","2019","","aufwand","CHF"
"36029","","2019","","aufwand","CHF"
"3603","","2019","","aufwand","CHF"
"3604","","2019","","aufwand","CHF"
"3610","","2019","","aufwand","CHF"
"3611","","2019","55596283.7","aufwand","CHF"
"3612","","2019","","aufwand","CHF"
"3613","","2019","","aufwand","CHF"
"3614","","2019","","aufwand","CHF"
"3620","","2019","","aufwand","CHF"
"36211","","2019","","aufwand","CHF"
"36212","","2019","","aufwand","CHF"
"36213","","2019","","aufwand","CHF"
"36214","","2019","","aufwand","CHF"
"36215","","2019","22777318","aufwand","CHF"
"36216","","2019","","aufwand","CHF"
"36217","","2019","","aufwand","CHF"
"36219","","2019","","aufwand","CHF"
"36221","","2019","","aufwand","CHF"
"36222","","2019","","aufwand","CHF"
"36223","","2019","","aufwand","CHF"
"36224","","2019","","aufwand","CHF"
"36225","","2019","","aufwand","CHF"
"36226","","2019","","aufwand","CHF"
"36227","","2019","","aufwand","CHF"
"36228","","2019","","aufwand","CHF"
"3624","","2019","","aufwand","CHF"
"3629","","2019","","aufwand","CHF"
"3630","","2019","","aufwand","CHF"
"3631","","2019","317909632.67","aufwand","CHF"
"3632","","2019","","aufwand","CHF"
"3633","","2019","","aufwand","CHF"
"3634","","2019","134530506.46","aufwand","CHF"
"3635","","2019","14228708.74","aufwand","CHF"
"3636","","2019","86851095.96","aufwand","CHF"
"3637","","2019","153927274.47","aufwand","CHF"
"3638","","2019","72510","aufwand","CHF"
"3639","","2019","44282.2","aufwand","CHF"
"364","","2019","","aufwand","CHF"
"365","","2019","","aufwand","CHF"
"366","","2019","9467388.92","aufwand","CHF"
"369","","2019","1000","aufwand","CHF"
"380","","2019","","aufwand","CHF"
"381","","2019","9102.55","aufwand","CHF"
"383","","2019","","aufwand","CHF"
"384","","2019","25.2","aufwand","CHF"
"3860","","2019","","aufwand","CHF"
"3861","","2019","","aufwand","CHF"
"3862","","2019","","aufwand","CHF"
"3863","","2019","","aufwand","CHF"
"3864","","2019","","aufwand","CHF"
"3865","","2019","","aufwand","CHF"
"3866","","2019","","aufwand","CHF"
"3867","","2019","","aufwand","CHF"
"3868","","2019","","aufwand","CHF"
"387","","2019","","aufwand","CHF"
"389","","2019","","aufwand","CHF"
"4000","","2019","987110852.35","ertrag","CHF"
"4001","","2019","123711597.95","ertrag","CHF"
"4002","","2019","36038062.05","ertrag","CHF"
"4008","","2019","5840320","ertrag","CHF"
"4009","","2019","44874678.31","ertrag","CHF"
"4010","","2019","105533791.8","ertrag","CHF"
"4011","","2019","35296854.1","ertrag","CHF"
"4012","","2019","","ertrag","CHF"
"4019","","2019","215454.7","ertrag","CHF"
"4020","","2019","","ertrag","CHF"
"4021","","2019","","ertrag","CHF"
"4022","","2019","65596009.85","ertrag","CHF"
"4023","","2019","26639405.6","ertrag","CHF"
"4024","","2019","20753875.45","ertrag","CHF"
"4025","","2019","","ertrag","CHF"
"4030","","2019","","ertrag","CHF"
"4031","","2019","","ertrag","CHF"
"4032","","2019","6605983.05","ertrag","CHF"
"4033","","2019","1930374.7","ertrag","CHF"
"4039","","2019","","ertrag","CHF"
"4040","","2019","","ertrag","CHF"
"4041","","2019","","ertrag","CHF"
"4042","","2019","","ertrag","CHF"
"4043","","2019","","ertrag","CHF"
"4044","","2019","","ertrag","CHF"
"4045","","2019","","ertrag","CHF"
"4046","","2019","","ertrag","CHF"
"4047","","2019","","ertrag","CHF"
"4049","","2019","","ertrag","CHF"
"4050","","2019","","ertrag","CHF"
"4051","","2019","","ertrag","CHF"
"4052","","2019","","ertrag","CHF"
"4053","","2019","","ertrag","CHF"
"4059","","2019","","ertrag","CHF"
"4060","","2019","","ertrag","CHF"
"4070","","2019","","ertrag","CHF"
"4071","","2019","","ertrag","CHF"
"4072","","2019","","ertrag","CHF"
"4079","","2019","3466606.5","ertrag","CHF"
"410","","2019","764723.07","ertrag","CHF"
"411","","2019","","ertrag","CHF"
"412","","2019","21799499.18","ertrag","CHF"
