"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","874827241.56","bilanz","gdn_vd","CHF","fs"
"101","","2020","1179749679.92","bilanz","gdn_vd","CHF","fs"
"102","","2020","","bilanz","gdn_vd","CHF","fs"
"104","","2020","310328853.94","bilanz","gdn_vd","CHF","fs"
"106","","2020","4.28","bilanz","gdn_vd","CHF","fs"
"107","","2020","250434922.91","bilanz","gdn_vd","CHF","fs"
"108","","2020","1488071937.18","bilanz","gdn_vd","CHF","fs"
"109","","2020","8039478.22","bilanz","gdn_vd","CHF","fs"
"140","","2020","4827940908.27","bilanz","gdn_vd","CHF","fs"
"141","","2020","12805899.72","bilanz","gdn_vd","CHF","fs"
"142","","2020","7452355.67","bilanz","gdn_vd","CHF","fs"
"143","","2020","271375095","bilanz","gdn_vd","CHF","fs"
"144","","2020","272677.88","bilanz","gdn_vd","CHF","fs"
"145","","2020","","bilanz","gdn_vd","CHF","fs"
"146","","2020","24524842.03","bilanz","gdn_vd","CHF","fs"
"147","","2020","","bilanz","gdn_vd","CHF","fs"
"148","","2020","","bilanz","gdn_vd","CHF","fs"
"200","","2020","489966609.16","bilanz","gdn_vd","CHF","fs"
"201","","2020","1043408645.37","bilanz","gdn_vd","CHF","fs"
"204","","2020","493386881.55","bilanz","gdn_vd","CHF","fs"
"205","","2020","","bilanz","gdn_vd","CHF","fs"
"206","","2020","5443559421.61","bilanz","gdn_vd","CHF","fs"
"207","","2020","","bilanz","gdn_vd","CHF","fs"
"208","","2020","178982751.43","bilanz","gdn_vd","CHF","fs"
"209","","2020","1118265155.76","bilanz","gdn_vd","CHF","fs"
"290","","2020","","bilanz","gdn_vd","CHF","fs"
"292","","2020","","bilanz","gdn_vd","CHF","fs"
"293","","2020","1164582542.3","bilanz","gdn_vd","CHF","fs"
"294","","2020","","bilanz","gdn_vd","CHF","fs"
"295","","2020","","bilanz","gdn_vd","CHF","fs"
"296","","2020","","bilanz","gdn_vd","CHF","fs"
"298","","2020","","bilanz","gdn_vd","CHF","fs"
"299","","2020","-676328110.6","bilanz","gdn_vd","CHF","fs"
"empty","","2020","","er","gdn_vd","CHF","fs"
"empty","","2020","","er","gdn_vd","CHF","fs"
"empty","","2020","","er","gdn_vd","CHF","fs"
"empty","","2020","","er","gdn_vd","CHF","fs"
"300","","2020","41597815.62","aufwand","gdn_vd","CHF","fs"
"301","","2020","1080608492.31","aufwand","gdn_vd","CHF","fs"
"302","","2020","3207318.24","aufwand","gdn_vd","CHF","fs"
"303","","2020","4330907.11","aufwand","gdn_vd","CHF","fs"
"304","","2020","15084036.73","aufwand","gdn_vd","CHF","fs"
"305","","2020","266156680.24","aufwand","gdn_vd","CHF","fs"
"306","","2020","4257754.81","aufwand","gdn_vd","CHF","fs"
"309","","2020","11959326.3","aufwand","gdn_vd","CHF","fs"
