"arten","funk","jahr","value","dim","unit"
"100","","2015","58366094","bilanz","CHF"
"101","","2015","405345853","bilanz","CHF"
"102","","2015","3.19e+08","bilanz","CHF"
"104","","2015","1648455262","bilanz","CHF"
"106","","2015","1692308","bilanz","CHF"
"107","","2015","1.4e+08","bilanz","CHF"
"108","","2015","1371791","bilanz","CHF"
"109","","2015","437011231","bilanz","CHF"
"140","","2015","823984725","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","684000","bilanz","CHF"
"143","","2015","416463705","bilanz","CHF"
"144","","2015","","bilanz","CHF"
"145","","2015","","bilanz","CHF"
"146","","2015","231938000","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","424407192","bilanz","CHF"
"201","","2015","653236586","bilanz","CHF"
"204","","2015","1054568438","bilanz","CHF"
"205","","2015","24344109","bilanz","CHF"
"206","","2015","2593187551","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","54672529","bilanz","CHF"
"209","","2015","102043779","bilanz","CHF"
"290","","2015","","bilanz","CHF"
"292","","2015","8896771","bilanz","CHF"
"293","","2015","","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","","bilanz","CHF"
"296","","2015","-706320","bilanz","CHF"
"298","","2015","16118627","bilanz","CHF"
"299","","2015","-446456293","bilanz","CHF"
"300","","2015","21758938.05","aufwand","CHF"
"301","","2015","495301078.6","aufwand","CHF"
"302","","2015","396445503.96","aufwand","CHF"
"303","","2015","","aufwand","CHF"
"304","","2015","322221.85","aufwand","CHF"
"305","","2015","193975950.14","aufwand","CHF"
"306","","2015","9798304","aufwand","CHF"
"309","","2015","7657378.21","aufwand","CHF"
"310","","2015","32017243.51","aufwand","CHF"
"311","","2015","26514747.8","aufwand","CHF"
"312","","2015","17760362.49","aufwand","CHF"
"313","","2015","131225777.36","aufwand","CHF"
"314","","2015","49152619.89","aufwand","CHF"
"315","","2015","21933423.75","aufwand","CHF"
"316","","2015","18891084.15","aufwand","CHF"
"317","","2015","10682379.31","aufwand","CHF"
"318","","2015","20138249.14","aufwand","CHF"
"319","","2015","9417419.59","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","96300803.86","aufwand","CHF"
"338","","2015","","aufwand","CHF"
"340","","2015","34993404.3","aufwand","CHF"
"341","","2015","275276.09","aufwand","CHF"
"342","","2015","324742.68","aufwand","CHF"
"343","","2015","1124.3","aufwand","CHF"
"344","","2015","","aufwand","CHF"
"349","","2015","3880377.61","aufwand","CHF"
"350","","2015","22272317.03","aufwand","CHF"
"351","","2015","","aufwand","CHF"
"352","","2015","","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","33197928.78","aufwand","CHF"
"36022","","2015","106551.81","aufwand","CHF"
"36023","","2015","73931.62","aufwand","CHF"
"36029","","2015","","aufwand","CHF"
"3603","","2015","","aufwand","CHF"
"3604","","2015","10553","aufwand","CHF"
"3610","","2015","","aufwand","CHF"
"3611","","2015","1363464.95","aufwand","CHF"
"3612","","2015","1192640.05","aufwand","CHF"
"3613","","2015","","aufwand","CHF"
"3614","","2015","","aufwand","CHF"
"3620","","2015","","aufwand","CHF"
"36211","","2015","","aufwand","CHF"
"36212","","2015","","aufwand","CHF"
"36213","","2015","","aufwand","CHF"
"36214","","2015","5092382","aufwand","CHF"
"36215","","2015","","aufwand","CHF"
"36216","","2015","","aufwand","CHF"
"36217","","2015","","aufwand","CHF"
"36219","","2015","","aufwand","CHF"
"36221","","2015","","aufwand","CHF"
"36222","","2015","","aufwand","CHF"
"36223","","2015","16922000","aufwand","CHF"
"36224","","2015","","aufwand","CHF"
"36225","","2015","","aufwand","CHF"
"36226","","2015","","aufwand","CHF"
"36227","","2015","","aufwand","CHF"
"36228","","2015","","aufwand","CHF"
"3624","","2015","","aufwand","CHF"
"3629","","2015","","aufwand","CHF"
"3630","","2015","","aufwand","CHF"
"3631","","2015","58803155.97","aufwand","CHF"
"3632","","2015","57162600.53","aufwand","CHF"
"3633","","2015","9159226.9","aufwand","CHF"
"3634","","2015","473858820.69","aufwand","CHF"
"3635","","2015","52070254.39","aufwand","CHF"
"3636","","2015","246343135.08","aufwand","CHF"
"3637","","2015","675366800.46","aufwand","CHF"
"3638","","2015","62543427.65","aufwand","CHF"
"3639","","2015","23384977.41","aufwand","CHF"
"364","","2015","-41100","aufwand","CHF"
"365","","2015","524700","aufwand","CHF"
"366","","2015","76218519.19","aufwand","CHF"
"369","","2015","","aufwand","CHF"
"380","","2015","15506487","aufwand","CHF"
"381","","2015","","aufwand","CHF"
"383","","2015","","aufwand","CHF"
"384","","2015","","aufwand","CHF"
"3860","","2015","","aufwand","CHF"
"3861","","2015","","aufwand","CHF"
"3862","","2015","","aufwand","CHF"
"3863","","2015","","aufwand","CHF"
"3864","","2015","","aufwand","CHF"
"3865","","2015","","aufwand","CHF"
"3866","","2015","","aufwand","CHF"
"3867","","2015","","aufwand","CHF"
"3868","","2015","","aufwand","CHF"
"387","","2015","","aufwand","CHF"
"389","","2015","335805","aufwand","CHF"
"4000","","2015","799436371.92","ertrag","CHF"
"4001","","2015","104800000","ertrag","CHF"
"4002","","2015","188495591.47","ertrag","CHF"
"4008","","2015","","ertrag","CHF"
"4009","","2015","55115561.5","ertrag","CHF"
"4010","","2015","252931193.66","ertrag","CHF"
"4011","","2015","31700000","ertrag","CHF"
"4012","","2015","","ertrag","CHF"
"4019","","2015","","ertrag","CHF"
"4020","","2015","","ertrag","CHF"
"4021","","2015","34100000","ertrag","CHF"
"4022","","2015","98621736.1","ertrag","CHF"
"4023","","2015","95417093.62","ertrag","CHF"
"4024","","2015","44724021.5","ertrag","CHF"
"4025","","2015","12762604.72","ertrag","CHF"
"4030","","2015","130672734.39","ertrag","CHF"
"4031","","2015","3362597","ertrag","CHF"
"4032","","2015","362416","ertrag","CHF"
"4033","","2015","856292.5","ertrag","CHF"
"4039","","2015","11003793.42","ertrag","CHF"
"4040","","2015","","ertrag","CHF"
"4041","","2015","","ertrag","CHF"
"4042","","2015","","ertrag","CHF"
"4043","","2015","","ertrag","CHF"
"4044","","2015","","ertrag","CHF"
"4045","","2015","","ertrag","CHF"
"4046","","2015","","ertrag","CHF"
"4047","","2015","","ertrag","CHF"
"4049","","2015","","ertrag","CHF"
"4050","","2015","","ertrag","CHF"
"4051","","2015","","ertrag","CHF"
