"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","117258391.33","bilanz","ktn_gdn_ar","CHF","fs"
"101","","2022","165330130.25","bilanz","ktn_gdn_ar","CHF","fs"
"102","","2022","10085001","bilanz","ktn_gdn_ar","CHF","fs"
"104","","2022","33985266.24","bilanz","ktn_gdn_ar","CHF","fs"
"106","","2022","243921.86","bilanz","ktn_gdn_ar","CHF","fs"
"107","","2022","22318761.76","bilanz","ktn_gdn_ar","CHF","fs"
"108","","2022","140874759.25","bilanz","ktn_gdn_ar","CHF","fs"
"109","","2022","461896.42","bilanz","ktn_gdn_ar","CHF","fs"
"140","","2022","429911429.64","bilanz","ktn_gdn_ar","CHF","fs"
"141","","2022","","bilanz","ktn_gdn_ar","CHF","fs"
"142","","2022","6001509.31","bilanz","ktn_gdn_ar","CHF","fs"
"143","","2022","","bilanz","ktn_gdn_ar","CHF","fs"
"144","","2022","11272913.08","bilanz","ktn_gdn_ar","CHF","fs"
"145","","2022","33087186.39","bilanz","ktn_gdn_ar","CHF","fs"
"146","","2022","73372243.72","bilanz","ktn_gdn_ar","CHF","fs"
"147","","2022","","bilanz","ktn_gdn_ar","CHF","fs"
"148","","2022","-34101273.66","bilanz","ktn_gdn_ar","CHF","fs"
"200","","2022","137206800.68","bilanz","ktn_gdn_ar","CHF","fs"
"201","","2022","27524331.84","bilanz","ktn_gdn_ar","CHF","fs"
"204","","2022","43937686.52","bilanz","ktn_gdn_ar","CHF","fs"
"205","","2022","5449191.43","bilanz","ktn_gdn_ar","CHF","fs"
"206","","2022","273932412.65","bilanz","ktn_gdn_ar","CHF","fs"
"207","","2022","","bilanz","ktn_gdn_ar","CHF","fs"
"208","","2022","8825578.6","bilanz","ktn_gdn_ar","CHF","fs"
"209","","2022","17177232.52","bilanz","ktn_gdn_ar","CHF","fs"
"290","","2022","81859247.75","bilanz","ktn_gdn_ar","CHF","fs"
"292","","2022","1223452.29","bilanz","ktn_gdn_ar","CHF","fs"
"293","","2022","47607031.86","bilanz","ktn_gdn_ar","CHF","fs"
"294","","2022","","bilanz","ktn_gdn_ar","CHF","fs"
"295","","2022","11151912.72","bilanz","ktn_gdn_ar","CHF","fs"
"296","","2022","26238643.87","bilanz","ktn_gdn_ar","CHF","fs"
"298","","2022","","bilanz","ktn_gdn_ar","CHF","fs"
"299","","2022","327968613.86","bilanz","ktn_gdn_ar","CHF","fs"
"empty","","2022","","er","ktn_gdn_ar","CHF","fs"
"empty","","2022","","er","ktn_gdn_ar","CHF","fs"
"empty","","2022","","er","ktn_gdn_ar","CHF","fs"
"empty","","2022","","er","ktn_gdn_ar","CHF","fs"
"300","","2022","6900650.2","aufwand","ktn_gdn_ar","CHF","fs"
"301","","2022","118528094.66","aufwand","ktn_gdn_ar","CHF","fs"
"302","","2022","76015532.95","aufwand","ktn_gdn_ar","CHF","fs"
"303","","2022","381806.5","aufwand","ktn_gdn_ar","CHF","fs"
"304","","2022","985261.55","aufwand","ktn_gdn_ar","CHF","fs"
"305","","2022","35512330.44","aufwand","ktn_gdn_ar","CHF","fs"
"306","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"309","","2022","3060861.74","aufwand","ktn_gdn_ar","CHF","fs"
"310","","2022","11647997.17","aufwand","ktn_gdn_ar","CHF","fs"
"311","","2022","5326546.84","aufwand","ktn_gdn_ar","CHF","fs"
"312","","2022","7575076.31","aufwand","ktn_gdn_ar","CHF","fs"
"313","","2022","54933705.37","aufwand","ktn_gdn_ar","CHF","fs"
"314","","2022","32161404.68","aufwand","ktn_gdn_ar","CHF","fs"
"315","","2022","4426162.11","aufwand","ktn_gdn_ar","CHF","fs"
"316","","2022","7365378.45","aufwand","ktn_gdn_ar","CHF","fs"
"317","","2022","2900251.83","aufwand","ktn_gdn_ar","CHF","fs"
"318","","2022","3365818.28","aufwand","ktn_gdn_ar","CHF","fs"
"319","","2022","2692654.05","aufwand","ktn_gdn_ar","CHF","fs"
"320","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"331","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"337","","2022","32142890.59","aufwand","ktn_gdn_ar","CHF","fs"
"338","","2022","216551.65","aufwand","ktn_gdn_ar","CHF","fs"
"340","","2022","1741492.52","aufwand","ktn_gdn_ar","CHF","fs"
"341","","2022","118270.82","aufwand","ktn_gdn_ar","CHF","fs"
"342","","2022","26712.82","aufwand","ktn_gdn_ar","CHF","fs"
"343","","2022","1945929.54","aufwand","ktn_gdn_ar","CHF","fs"
"344","","2022","-233.94","aufwand","ktn_gdn_ar","CHF","fs"
"349","","2022","409029.17","aufwand","ktn_gdn_ar","CHF","fs"
"350","","2022","937976.37","aufwand","ktn_gdn_ar","CHF","fs"
"351","","2022","4230662.01","aufwand","ktn_gdn_ar","CHF","fs"
"352","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"3600","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36010","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36011","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36012","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36013","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36014","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36015","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36016","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36017","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36018","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36019","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36021","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36022","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36023","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36029","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"3603","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"3604","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"3610","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"3611","","2022","11847399.56","aufwand","ktn_gdn_ar","CHF","fs"
"3612","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"3613","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"3614","","2022","16016.65","aufwand","ktn_gdn_ar","CHF","fs"
"3620","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36211","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36212","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36213","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36214","","2022","560509","aufwand","ktn_gdn_ar","CHF","fs"
"36215","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
"36216","","2022","","aufwand","ktn_gdn_ar","CHF","fs"
