"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","3450605","bilanz","sv_mat_ge","CHF","fs"
"101","","2017","2754825","bilanz","sv_mat_ge","CHF","fs"
"102","","2017","","bilanz","sv_mat_ge","CHF","fs"
"104","","2017","19278","bilanz","sv_mat_ge","CHF","fs"
"106","","2017","","bilanz","sv_mat_ge","CHF","fs"
"107","","2017","5502060","bilanz","sv_mat_ge","CHF","fs"
"108","","2017","","bilanz","sv_mat_ge","CHF","fs"
"109","","2017","","bilanz","sv_mat_ge","CHF","fs"
"140","","2017","","bilanz","sv_mat_ge","CHF","fs"
"141","","2017","","bilanz","sv_mat_ge","CHF","fs"
"142","","2017","","bilanz","sv_mat_ge","CHF","fs"
"143","","2017","","bilanz","sv_mat_ge","CHF","fs"
"144","","2017","","bilanz","sv_mat_ge","CHF","fs"
"145","","2017","","bilanz","sv_mat_ge","CHF","fs"
"146","","2017","","bilanz","sv_mat_ge","CHF","fs"
"147","","2017","","bilanz","sv_mat_ge","CHF","fs"
"148","","2017","","bilanz","sv_mat_ge","CHF","fs"
"200","","2017","304819","bilanz","sv_mat_ge","CHF","fs"
"201","","2017","","bilanz","sv_mat_ge","CHF","fs"
"204","","2017","79014","bilanz","sv_mat_ge","CHF","fs"
"205","","2017","91000","bilanz","sv_mat_ge","CHF","fs"
"206","","2017","","bilanz","sv_mat_ge","CHF","fs"
"207","","2017","","bilanz","sv_mat_ge","CHF","fs"
"208","","2017","","bilanz","sv_mat_ge","CHF","fs"
"209","","2017","","bilanz","sv_mat_ge","CHF","fs"
"290","","2017","","bilanz","sv_mat_ge","CHF","fs"
"292","","2017","","bilanz","sv_mat_ge","CHF","fs"
"293","","2017","","bilanz","sv_mat_ge","CHF","fs"
"294","","2017","","bilanz","sv_mat_ge","CHF","fs"
"295","","2017","","bilanz","sv_mat_ge","CHF","fs"
"296","","2017","","bilanz","sv_mat_ge","CHF","fs"
"298","","2017","","bilanz","sv_mat_ge","CHF","fs"
"299","","2017","11251935","bilanz","sv_mat_ge","CHF","fs"
"empty","","2017","","er","sv_mat_ge","CHF","fs"
"empty","","2017","","er","sv_mat_ge","CHF","fs"
"empty","","2017","","er","sv_mat_ge","CHF","fs"
"empty","","2017","","er","sv_mat_ge","CHF","fs"
"300","","2017","","aufwand","sv_mat_ge","CHF","fs"
"301","","2017","164498.31","aufwand","sv_mat_ge","CHF","fs"
"302","","2017","","aufwand","sv_mat_ge","CHF","fs"
"303","","2017","","aufwand","sv_mat_ge","CHF","fs"
"304","","2017","","aufwand","sv_mat_ge","CHF","fs"
"305","","2017","29029.11","aufwand","sv_mat_ge","CHF","fs"
"306","","2017","","aufwand","sv_mat_ge","CHF","fs"
"309","","2017","","aufwand","sv_mat_ge","CHF","fs"
"310","","2017","","aufwand","sv_mat_ge","CHF","fs"
"311","","2017","","aufwand","sv_mat_ge","CHF","fs"
"312","","2017","","aufwand","sv_mat_ge","CHF","fs"
"313","","2017","55162.83","aufwand","sv_mat_ge","CHF","fs"
"314","","2017","","aufwand","sv_mat_ge","CHF","fs"
