"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","413633480.18","bilanz","ktn_bl","CHF","fs"
"101","","2022","1143009762.89","bilanz","ktn_bl","CHF","fs"
"102","","2022","","bilanz","ktn_bl","CHF","fs"
"104","","2022","456480755.73","bilanz","ktn_bl","CHF","fs"
"106","","2022","6008538.8","bilanz","ktn_bl","CHF","fs"
"107","","2022","86788402.7","bilanz","ktn_bl","CHF","fs"
"108","","2022","442548194.45","bilanz","ktn_bl","CHF","fs"
"109","","2022","","bilanz","ktn_bl","CHF","fs"
"140","","2022","1876706512.74","bilanz","ktn_bl","CHF","fs"
"141","","2022","","bilanz","ktn_bl","CHF","fs"
"142","","2022","","bilanz","ktn_bl","CHF","fs"
"143","","2022","","bilanz","ktn_bl","CHF","fs"
"144","","2022","183677551","bilanz","ktn_bl","CHF","fs"
"145","","2022","430086732.99","bilanz","ktn_bl","CHF","fs"
"146","","2022","165650374.98","bilanz","ktn_bl","CHF","fs"
"147","","2022","","bilanz","ktn_bl","CHF","fs"
"148","","2022","","bilanz","ktn_bl","CHF","fs"
"200","","2022","1647466414.39","bilanz","ktn_bl","CHF","fs"
"201","","2022","6939.14","bilanz","ktn_bl","CHF","fs"
"204","","2022","357704868.5","bilanz","ktn_bl","CHF","fs"
"205","","2022","25498051.77","bilanz","ktn_bl","CHF","fs"
"206","","2022","2351120205.69","bilanz","ktn_bl","CHF","fs"
"207","","2022","","bilanz","ktn_bl","CHF","fs"
"208","","2022","407736442.28","bilanz","ktn_bl","CHF","fs"
"209","","2022","50060214.2","bilanz","ktn_bl","CHF","fs"
"290","","2022","105885963.76","bilanz","ktn_bl","CHF","fs"
"292","","2022","","bilanz","ktn_bl","CHF","fs"
"293","","2022","","bilanz","ktn_bl","CHF","fs"
"294","","2022","","bilanz","ktn_bl","CHF","fs"
"295","","2022","","bilanz","ktn_bl","CHF","fs"
"296","","2022","","bilanz","ktn_bl","CHF","fs"
"298","","2022","","bilanz","ktn_bl","CHF","fs"
"299","","2022","259111206.73","bilanz","ktn_bl","CHF","fs"
"empty","","2022","","er","ktn_bl","CHF","fs"
"empty","","2022","","er","ktn_bl","CHF","fs"
"empty","","2022","","er","ktn_bl","CHF","fs"
"empty","","2022","","er","ktn_bl","CHF","fs"
"300","","2022","5957687.73","aufwand","ktn_bl","CHF","fs"
"301","","2022","333885299.06","aufwand","ktn_bl","CHF","fs"
"302","","2022","192575393.87","aufwand","ktn_bl","CHF","fs"
"303","","2022","210607.86","aufwand","ktn_bl","CHF","fs"
"304","","2022","12177103.37","aufwand","ktn_bl","CHF","fs"
"305","","2022","96932516.44","aufwand","ktn_bl","CHF","fs"
"306","","2022","","aufwand","ktn_bl","CHF","fs"
"309","","2022","5319081.89","aufwand","ktn_bl","CHF","fs"
"310","","2022","24035817.58","aufwand","ktn_bl","CHF","fs"
"311","","2022","24590301.01","aufwand","ktn_bl","CHF","fs"
"312","","2022","12411137.22","aufwand","ktn_bl","CHF","fs"
"313","","2022","102246372.07","aufwand","ktn_bl","CHF","fs"
"314","","2022","32747142.61","aufwand","ktn_bl","CHF","fs"
"315","","2022","15204453.65","aufwand","ktn_bl","CHF","fs"
"316","","2022","18261429.2","aufwand","ktn_bl","CHF","fs"
"317","","2022","8392389.08","aufwand","ktn_bl","CHF","fs"
"318","","2022","32777471.9","aufwand","ktn_bl","CHF","fs"
"319","","2022","29851163.6","aufwand","ktn_bl","CHF","fs"
"320","","2022","","aufwand","ktn_bl","CHF","fs"
"331","","2022","","aufwand","ktn_bl","CHF","fs"
"337","","2022","93976981.31","aufwand","ktn_bl","CHF","fs"
"338","","2022","7715505.42","aufwand","ktn_bl","CHF","fs"
"340","","2022","28747670.43","aufwand","ktn_bl","CHF","fs"
"341","","2022","129769.86","aufwand","ktn_bl","CHF","fs"
"342","","2022","857623.13","aufwand","ktn_bl","CHF","fs"
"343","","2022","2328865.2","aufwand","ktn_bl","CHF","fs"
"344","","2022","358040.18","aufwand","ktn_bl","CHF","fs"
"349","","2022","1545194.76","aufwand","ktn_bl","CHF","fs"
"350","","2022","8981308.58","aufwand","ktn_bl","CHF","fs"
"351","","2022","","aufwand","ktn_bl","CHF","fs"
"352","","2022","","aufwand","ktn_bl","CHF","fs"
"3600","","2022","","aufwand","ktn_bl","CHF","fs"
"36010","","2022","","aufwand","ktn_bl","CHF","fs"
"36011","","2022","","aufwand","ktn_bl","CHF","fs"
"36012","","2022","","aufwand","ktn_bl","CHF","fs"
"36013","","2022","","aufwand","ktn_bl","CHF","fs"
"36014","","2022","","aufwand","ktn_bl","CHF","fs"
"36015","","2022","","aufwand","ktn_bl","CHF","fs"
"36016","","2022","","aufwand","ktn_bl","CHF","fs"
"36017","","2022","","aufwand","ktn_bl","CHF","fs"
"36018","","2022","","aufwand","ktn_bl","CHF","fs"
"36019","","2022","","aufwand","ktn_bl","CHF","fs"
"36021","","2022","","aufwand","ktn_bl","CHF","fs"
"36022","","2022","","aufwand","ktn_bl","CHF","fs"
"36023","","2022","2162994.1","aufwand","ktn_bl","CHF","fs"
"36029","","2022","12043155.9","aufwand","ktn_bl","CHF","fs"
"3603","","2022","","aufwand","ktn_bl","CHF","fs"
"3604","","2022","","aufwand","ktn_bl","CHF","fs"
"3610","","2022","","aufwand","ktn_bl","CHF","fs"
"3611","","2022","2207162.2","aufwand","ktn_bl","CHF","fs"
"3612","","2022","40730691.68","aufwand","ktn_bl","CHF","fs"
"3613","","2022","","aufwand","ktn_bl","CHF","fs"
"3614","","2022","405642382.41","aufwand","ktn_bl","CHF","fs"
"3620","","2022","","aufwand","ktn_bl","CHF","fs"
"36211","","2022","","aufwand","ktn_bl","CHF","fs"
"36212","","2022","","aufwand","ktn_bl","CHF","fs"
"36213","","2022","","aufwand","ktn_bl","CHF","fs"
"36214","","2022","2698859","aufwand","ktn_bl","CHF","fs"
"36215","","2022","","aufwand","ktn_bl","CHF","fs"
"36216","","2022","","aufwand","ktn_bl","CHF","fs"
"36217","","2022","","aufwand","ktn_bl","CHF","fs"
"36219","","2022","","aufwand","ktn_bl","CHF","fs"
"36221","","2022","","aufwand","ktn_bl","CHF","fs"
"36222","","2022","","aufwand","ktn_bl","CHF","fs"
"36223","","2022","","aufwand","ktn_bl","CHF","fs"
"36224","","2022","","aufwand","ktn_bl","CHF","fs"
"36225","","2022","","aufwand","ktn_bl","CHF","fs"
"36226","","2022","71870000","aufwand","ktn_bl","CHF","fs"
"36227","","2022","","aufwand","ktn_bl","CHF","fs"
"36228","","2022","","aufwand","ktn_bl","CHF","fs"
"3624","","2022","","aufwand","ktn_bl","CHF","fs"
"3629","","2022","","aufwand","ktn_bl","CHF","fs"
"3630","","2022","","aufwand","ktn_bl","CHF","fs"
"3631","","2022","307179433.64","aufwand","ktn_bl","CHF","fs"
"3632","","2022","7813926.5","aufwand","ktn_bl","CHF","fs"
"3633","","2022","5719936.9","aufwand","ktn_bl","CHF","fs"
"3634","","2022","82047920.98","aufwand","ktn_bl","CHF","fs"
"3635","","2022","69011076.44","aufwand","ktn_bl","CHF","fs"
"3636","","2022","346761176.4","aufwand","ktn_bl","CHF","fs"
"3637","","2022","327420439.7","aufwand","ktn_bl","CHF","fs"
"3638","","2022","1844996.58","aufwand","ktn_bl","CHF","fs"
"3639","","2022","7339393.28","aufwand","ktn_bl","CHF","fs"
"364","","2022","11680608.55","aufwand","ktn_bl","CHF","fs"
"365","","2022","","aufwand","ktn_bl","CHF","fs"
"366","","2022","7479013.6","aufwand","ktn_bl","CHF","fs"
"369","","2022","","aufwand","ktn_bl","CHF","fs"
"380","","2022","2690936","aufwand","ktn_bl","CHF","fs"
"381","","2022","46395846","aufwand","ktn_bl","CHF","fs"
"383","","2022","","aufwand","ktn_bl","CHF","fs"
"384","","2022","","aufwand","ktn_bl","CHF","fs"
"3860","","2022","","aufwand","ktn_bl","CHF","fs"
"3861","","2022","","aufwand","ktn_bl","CHF","fs"
"3862","","2022","25855269","aufwand","ktn_bl","CHF","fs"
"3863","","2022","","aufwand","ktn_bl","CHF","fs"
"3864","","2022","","aufwand","ktn_bl","CHF","fs"
"3865","","2022","","aufwand","ktn_bl","CHF","fs"
"3866","","2022","4319767","aufwand","ktn_bl","CHF","fs"
"3867","","2022","","aufwand","ktn_bl","CHF","fs"
"3868","","2022","","aufwand","ktn_bl","CHF","fs"
"387","","2022","","aufwand","ktn_bl","CHF","fs"
"389","","2022","195144000","aufwand","ktn_bl","CHF","fs"
"4000","","2022","1273381093.15","ertrag","ktn_bl","CHF","fs"
"4001","","2022","172400000","ertrag","ktn_bl","CHF","fs"
"4002","","2022","48796529.75","ertrag","ktn_bl","CHF","fs"
"4008","","2022","","ertrag","ktn_bl","CHF","fs"
"4009","","2022","","ertrag","ktn_bl","CHF","fs"
"4010","","2022","227450000","ertrag","ktn_bl","CHF","fs"
"4011","","2022","31500000","ertrag","ktn_bl","CHF","fs"
"4012","","2022","","ertrag","ktn_bl","CHF","fs"
"4019","","2022","","ertrag","ktn_bl","CHF","fs"
"4020","","2022","","ertrag","ktn_bl","CHF","fs"
"4021","","2022","","ertrag","ktn_bl","CHF","fs"
"4022","","2022","95888256","ertrag","ktn_bl","CHF","fs"
"4023","","2022","44211422.5","ertrag","ktn_bl","CHF","fs"
