"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","2033507472.02","bilanz","sv","CHF","fs"
"101","","2019","4350680336.45","bilanz","sv","CHF","fs"
"102","","2019","583063177.21","bilanz","sv","CHF","fs"
"104","","2019","988434343.62","bilanz","sv","CHF","fs"
"106","","2019","","bilanz","sv","CHF","fs"
"107","","2019","33919116346.59","bilanz","sv","CHF","fs"
"108","","2019","166400000","bilanz","sv","CHF","fs"
"109","","2019","","bilanz","sv","CHF","fs"
"140","","2019","57175303.75","bilanz","sv","CHF","fs"
"141","","2019","","bilanz","sv","CHF","fs"
"142","","2019","2300122.42","bilanz","sv","CHF","fs"
"143","","2019","","bilanz","sv","CHF","fs"
"144","","2019","85740.3","bilanz","sv","CHF","fs"
"145","","2019","","bilanz","sv","CHF","fs"
"146","","2019","","bilanz","sv","CHF","fs"
"147","","2019","1677446228.72","bilanz","sv","CHF","fs"
"148","","2019","","bilanz","sv","CHF","fs"
"200","","2019","398678861.18","bilanz","sv","CHF","fs"
"201","","2019","259238087.01","bilanz","sv","CHF","fs"
"204","","2019","11381438","bilanz","sv","CHF","fs"
"205","","2019","349788905.41","bilanz","sv","CHF","fs"
"206","","2019","","bilanz","sv","CHF","fs"
"207","","2019","101835211.85","bilanz","sv","CHF","fs"
"208","","2019","","bilanz","sv","CHF","fs"
"209","","2019","","bilanz","sv","CHF","fs"
"290","","2019","39038397726.69","bilanz","sv","CHF","fs"
"292","","2019","","bilanz","sv","CHF","fs"
"293","","2019","","bilanz","sv","CHF","fs"
"294","","2019","","bilanz","sv","CHF","fs"
"295","","2019","","bilanz","sv","CHF","fs"
"296","","2019","","bilanz","sv","CHF","fs"
"298","","2019","","bilanz","sv","CHF","fs"
"299","","2019","3618888840.94","bilanz","sv","CHF","fs"
"empty","","2019","","er","sv","CHF","fs"
"empty","","2019","","er","sv","CHF","fs"
"empty","","2019","","er","sv","CHF","fs"
"empty","","2019","","er","sv","CHF","fs"
"300","","2019","18250","aufwand","sv","CHF","fs"
"301","","2019","364343770.39","aufwand","sv","CHF","fs"
"302","","2019","","aufwand","sv","CHF","fs"
"303","","2019","","aufwand","sv","CHF","fs"
"304","","2019","","aufwand","sv","CHF","fs"
"305","","2019","69113573.52","aufwand","sv","CHF","fs"
"306","","2019","","aufwand","sv","CHF","fs"
"309","","2019","148725.94","aufwand","sv","CHF","fs"
"310","","2019","1830681.69","aufwand","sv","CHF","fs"
"311","","2019","585940.6","aufwand","sv","CHF","fs"
"312","","2019","1542885.32","aufwand","sv","CHF","fs"
"313","","2019","952518685","aufwand","sv","CHF","fs"
"314","","2019","1278843.18","aufwand","sv","CHF","fs"
"315","","2019","54328459.02","aufwand","sv","CHF","fs"
"316","","2019","11259985.55","aufwand","sv","CHF","fs"
"317","","2019","934699.56","aufwand","sv","CHF","fs"
"318","","2019","167225800.86","aufwand","sv","CHF","fs"
"319","","2019","8462164.09","aufwand","sv","CHF","fs"
"320","","2019","","aufwand","sv","CHF","fs"
"331","","2019","","aufwand","sv","CHF","fs"
"337","","2019","6103324.7","aufwand","sv","CHF","fs"
"338","","2019","","aufwand","sv","CHF","fs"
"340","","2019","53286913.5","aufwand","sv","CHF","fs"
"341","","2019","74659724.64","aufwand","sv","CHF","fs"
"342","","2019","3045","aufwand","sv","CHF","fs"
"343","","2019","741347.89","aufwand","sv","CHF","fs"
"344","","2019","","aufwand","sv","CHF","fs"
"349","","2019","","aufwand","sv","CHF","fs"
"350","","2019","","aufwand","sv","CHF","fs"
"351","","2019","","aufwand","sv","CHF","fs"
"352","","2019","","aufwand","sv","CHF","fs"
"3600","","2019","","aufwand","sv","CHF","fs"
"36010","","2019","","aufwand","sv","CHF","fs"
"36011","","2019","","aufwand","sv","CHF","fs"
"36012","","2019","","aufwand","sv","CHF","fs"
"36013","","2019","","aufwand","sv","CHF","fs"
"36014","","2019","","aufwand","sv","CHF","fs"
"36015","","2019","","aufwand","sv","CHF","fs"
"36016","","2019","","aufwand","sv","CHF","fs"
"36017","","2019","","aufwand","sv","CHF","fs"
"36018","","2019","","aufwand","sv","CHF","fs"
"36019","","2019","","aufwand","sv","CHF","fs"
"36021","","2019","","aufwand","sv","CHF","fs"
"36022","","2019","","aufwand","sv","CHF","fs"
"36023","","2019","","aufwand","sv","CHF","fs"
"36029","","2019","","aufwand","sv","CHF","fs"
"3603","","2019","","aufwand","sv","CHF","fs"
"3604","","2019","","aufwand","sv","CHF","fs"
"3610","","2019","21280543.26","aufwand","sv","CHF","fs"
"3611","","2019","482510463.96","aufwand","sv","CHF","fs"
"3612","","2019","","aufwand","sv","CHF","fs"
"3613","","2019","","aufwand","sv","CHF","fs"
"3614","","2019","4953248.34","aufwand","sv","CHF","fs"
"3620","","2019","","aufwand","sv","CHF","fs"
"36211","","2019","","aufwand","sv","CHF","fs"
"36212","","2019","","aufwand","sv","CHF","fs"
"36213","","2019","","aufwand","sv","CHF","fs"
"36214","","2019","","aufwand","sv","CHF","fs"
"36215","","2019","","aufwand","sv","CHF","fs"
"36216","","2019","","aufwand","sv","CHF","fs"
"36217","","2019","","aufwand","sv","CHF","fs"
"36219","","2019","","aufwand","sv","CHF","fs"
"36221","","2019","","aufwand","sv","CHF","fs"
"36222","","2019","","aufwand","sv","CHF","fs"
"36223","","2019","","aufwand","sv","CHF","fs"
"36224","","2019","","aufwand","sv","CHF","fs"
"36225","","2019","","aufwand","sv","CHF","fs"
"36226","","2019","","aufwand","sv","CHF","fs"
"36227","","2019","","aufwand","sv","CHF","fs"
"36228","","2019","","aufwand","sv","CHF","fs"
"3624","","2019","","aufwand","sv","CHF","fs"
"3629","","2019","","aufwand","sv","CHF","fs"
"3630","","2019","","aufwand","sv","CHF","fs"
"3631","","2019","","aufwand","sv","CHF","fs"
"3632","","2019","","aufwand","sv","CHF","fs"
"3633","","2019","","aufwand","sv","CHF","fs"
"3634","","2019","12484584","aufwand","sv","CHF","fs"
"3635","","2019","62686177.57","aufwand","sv","CHF","fs"
"3636","","2019","255400058","aufwand","sv","CHF","fs"
"3637","","2019","61426041493.05","aufwand","sv","CHF","fs"
"3638","","2019","12542680.45","aufwand","sv","CHF","fs"
"3639","","2019","","aufwand","sv","CHF","fs"
"364","","2019","","aufwand","sv","CHF","fs"
"365","","2019","","aufwand","sv","CHF","fs"
"366","","2019","","aufwand","sv","CHF","fs"
"369","","2019","","aufwand","sv","CHF","fs"
"380","","2019","","aufwand","sv","CHF","fs"
"381","","2019","17","aufwand","sv","CHF","fs"
"383","","2019","","aufwand","sv","CHF","fs"
"384","","2019","","aufwand","sv","CHF","fs"
"3860","","2019","","aufwand","sv","CHF","fs"
"3861","","2019","","aufwand","sv","CHF","fs"
"3862","","2019","","aufwand","sv","CHF","fs"
"3863","","2019","","aufwand","sv","CHF","fs"
"3864","","2019","","aufwand","sv","CHF","fs"
"3865","","2019","","aufwand","sv","CHF","fs"
"3866","","2019","","aufwand","sv","CHF","fs"
"3867","","2019","","aufwand","sv","CHF","fs"
"3868","","2019","","aufwand","sv","CHF","fs"
"387","","2019","","aufwand","sv","CHF","fs"
"389","","2019","","aufwand","sv","CHF","fs"
"4000","","2019","","ertrag","sv","CHF","fs"
"4001","","2019","","ertrag","sv","CHF","fs"
"4002","","2019","","ertrag","sv","CHF","fs"
"4008","","2019","","ertrag","sv","CHF","fs"
"4009","","2019","","ertrag","sv","CHF","fs"
"4010","","2019","","ertrag","sv","CHF","fs"
"4011","","2019","","ertrag","sv","CHF","fs"
"4012","","2019","","ertrag","sv","CHF","fs"
"4019","","2019","","ertrag","sv","CHF","fs"
"4020","","2019","","ertrag","sv","CHF","fs"
"4021","","2019","","ertrag","sv","CHF","fs"
"4022","","2019","","ertrag","sv","CHF","fs"
"4023","","2019","","ertrag","sv","CHF","fs"
"4024","","2019","","ertrag","sv","CHF","fs"
"4025","","2019","","ertrag","sv","CHF","fs"
"4030","","2019","","ertrag","sv","CHF","fs"
"4031","","2019","","ertrag","sv","CHF","fs"
"4032","","2019","","ertrag","sv","CHF","fs"
"4033","","2019","","ertrag","sv","CHF","fs"
"4039","","2019","","ertrag","sv","CHF","fs"
"4040","","2019","","ertrag","sv","CHF","fs"
"4041","","2019","","ertrag","sv","CHF","fs"
"4042","","2019","","ertrag","sv","CHF","fs"
"4043","","2019","","ertrag","sv","CHF","fs"
"4044","","2019","","ertrag","sv","CHF","fs"
"4045","","2019","","ertrag","sv","CHF","fs"
"4046","","2019","","ertrag","sv","CHF","fs"
"4047","","2019","","ertrag","sv","CHF","fs"
"4049","","2019","","ertrag","sv","CHF","fs"
"4050","","2019","","ertrag","sv","CHF","fs"
"4051","","2019","","ertrag","sv","CHF","fs"
"4052","","2019","","ertrag","sv","CHF","fs"
"4053","","2019","","ertrag","sv","CHF","fs"
"4059","","2019","","ertrag","sv","CHF","fs"
"4060","","2019","","ertrag","sv","CHF","fs"
"4070","","2019","","ertrag","sv","CHF","fs"
"4071","","2019","","ertrag","sv","CHF","fs"
"4072","","2019","47234159220.55","ertrag","sv","CHF","fs"
"4079","","2019","","ertrag","sv","CHF","fs"
"410","","2019","","ertrag","sv","CHF","fs"
"411","","2019","","ertrag","sv","CHF","fs"
"412","","2019","","ertrag","sv","CHF","fs"
"413","","2019","","ertrag","sv","CHF","fs"
"420","","2019","","ertrag","sv","CHF","fs"
"421","","2019","","ertrag","sv","CHF","fs"
"422","","2019","","ertrag","sv","CHF","fs"
"423","","2019","","ertrag","sv","CHF","fs"
"424","","2019","","ertrag","sv","CHF","fs"
"425","","2019","1136","ertrag","sv","CHF","fs"
"426","","2019","706392832.67","ertrag","sv","CHF","fs"
"427","","2019","51073488.29","ertrag","sv","CHF","fs"
"429","","2019","8536133.7","ertrag","sv","CHF","fs"
"430","","2019","1893369.25","ertrag","sv","CHF","fs"
"431","","2019","","ertrag","sv","CHF","fs"
"432","","2019","","ertrag","sv","CHF","fs"
"439","","2019","35169.25","ertrag","sv","CHF","fs"
"440","","2019","432909314.34","ertrag","sv","CHF","fs"
