"arten","funk","jahr","value","dim","unit"
"100","","2021","457622341.71","bilanz","CHF"
"101","","2021","670928609.62","bilanz","CHF"
"102","","2021","118618529.3","bilanz","CHF"
"104","","2021","207791818.8","bilanz","CHF"
"106","","2021","3963795.75","bilanz","CHF"
"107","","2021","254903088.83","bilanz","CHF"
"108","","2021","597387727.37","bilanz","CHF"
"109","","2021","204029.09","bilanz","CHF"
"140","","2021","1808624713.4","bilanz","CHF"
"141","","2021","4500","bilanz","CHF"
"142","","2021","12517327.76","bilanz","CHF"
"143","","2021","","bilanz","CHF"
"144","","2021","240106352.11","bilanz","CHF"
"145","","2021","598509498.01","bilanz","CHF"
"146","","2021","71250764.53","bilanz","CHF"
"147","","2021","","bilanz","CHF"
"148","","2021","-14727310.77","bilanz","CHF"
"200","","2021","668279387.26","bilanz","CHF"
"201","","2021","158733233.23","bilanz","CHF"
"204","","2021","105009331.49","bilanz","CHF"
"205","","2021","115772050.28","bilanz","CHF"
"206","","2021","1310236876","bilanz","CHF"
"207","","2021","","bilanz","CHF"
"208","","2021","42541529.3","bilanz","CHF"
"209","","2021","416375657.25","bilanz","CHF"
"290","","2021","432822981.86","bilanz","CHF"
"292","","2021","11959995.78","bilanz","CHF"
"293","","2021","134068035.78","bilanz","CHF"
"294","","2021","380366995.08","bilanz","CHF"
"295","","2021","","bilanz","CHF"
"296","","2021","148458231.8","bilanz","CHF"
"298","","2021","11740845.44","bilanz","CHF"
"299","","2021","1091340634.96","bilanz","CHF"
"300","","2021","32505535.35","aufwand","CHF"
"301","","2021","476947259.62","aufwand","CHF"
"302","","2021","382759224.95","aufwand","CHF"
"303","","2021","3992777.35","aufwand","CHF"
"304","","2021","4889289.2","aufwand","CHF"
"305","","2021","169014502.46","aufwand","CHF"
"306","","2021","1693700.35","aufwand","CHF"
"309","","2021","13604105.75","aufwand","CHF"
"310","","2021","109247859.8","aufwand","CHF"
"311","","2021","37171060.4","aufwand","CHF"
"312","","2021","55765005.53","aufwand","CHF"
"313","","2021","198505767.42","aufwand","CHF"
"314","","2021","107652904.62","aufwand","CHF"
"315","","2021","42861620.23","aufwand","CHF"
"316","","2021","38904885.7","aufwand","CHF"
"317","","2021","12541477.18","aufwand","CHF"
"318","","2021","4975622.82","aufwand","CHF"
"319","","2021","16042245.28","aufwand","CHF"
"320","","2021","","aufwand","CHF"
"331","","2021","","aufwand","CHF"
"337","","2021","142682017.23","aufwand","CHF"
"338","","2021","2233964.22","aufwand","CHF"
"340","","2021","7924519.12","aufwand","CHF"
"341","","2021","308236.56","aufwand","CHF"
"342","","2021","1284750.18","aufwand","CHF"
"343","","2021","3769341.85","aufwand","CHF"
"344","","2021","2826534.44","aufwand","CHF"
"349","","2021","1266373.02","aufwand","CHF"
"350","","2021","33347936.46","aufwand","CHF"
"351","","2021","40837787.45","aufwand","CHF"
"352","","2021","","aufwand","CHF"
"3600","","2021","","aufwand","CHF"
"36010","","2021","","aufwand","CHF"
"36011","","2021","","aufwand","CHF"
"36012","","2021","","aufwand","CHF"
"36013","","2021","","aufwand","CHF"
"36014","","2021","","aufwand","CHF"
"36015","","2021","","aufwand","CHF"
"36016","","2021","","aufwand","CHF"
"36017","","2021","","aufwand","CHF"
"36018","","2021","","aufwand","CHF"
"36019","","2021","","aufwand","CHF"
"36021","","2021","","aufwand","CHF"
"36022","","2021","","aufwand","CHF"
"36023","","2021","","aufwand","CHF"
"36029","","2021","","aufwand","CHF"
"3603","","2021","","aufwand","CHF"
"3604","","2021","","aufwand","CHF"
"3610","","2021","","aufwand","CHF"
"3611","","2021","","aufwand","CHF"
"3612","","2021","","aufwand","CHF"
"3613","","2021","","aufwand","CHF"
"3614","","2021","66387.68","aufwand","CHF"
"3620","","2021","","aufwand","CHF"
"36211","","2021","","aufwand","CHF"
"36212","","2021","","aufwand","CHF"
"36213","","2021","","aufwand","CHF"
"36214","","2021","2571458","aufwand","CHF"
"36215","","2021","","aufwand","CHF"
"36216","","2021","","aufwand","CHF"
"36217","","2021","","aufwand","CHF"
"36219","","2021","","aufwand","CHF"
"36221","","2021","","aufwand","CHF"
"36222","","2021","","aufwand","CHF"
"36223","","2021","","aufwand","CHF"
"36224","","2021","","aufwand","CHF"
"36225","","2021","","aufwand","CHF"
"36226","","2021","","aufwand","CHF"
"36227","","2021","","aufwand","CHF"
"36228","","2021","","aufwand","CHF"
"3624","","2021","","aufwand","CHF"
"3629","","2021","","aufwand","CHF"
"3630","","2021","","aufwand","CHF"
"3631","","2021","70553439.33","aufwand","CHF"
"3632","","2021","","aufwand","CHF"
"3633","","2021","7291577.2","aufwand","CHF"
"3634","","2021","421778156.24","aufwand","CHF"
"3635","","2021","282348553.94","aufwand","CHF"
"3636","","2021","260679607.52","aufwand","CHF"
"3637","","2021","233172799.19","aufwand","CHF"
"3638","","2021","101302.06","aufwand","CHF"
"3639","","2021","7030605","aufwand","CHF"
"364","","2021","40000","aufwand","CHF"
"365","","2021","5079.85","aufwand","CHF"
"366","","2021","4022259.63","aufwand","CHF"
"369","","2021","62276.79","aufwand","CHF"
"380","","2021","408826.13","aufwand","CHF"
"381","","2021","24139509.28","aufwand","CHF"
"383","","2021","5256020.01","aufwand","CHF"
"384","","2021","","aufwand","CHF"
"3860","","2021","885714","aufwand","CHF"
"3861","","2021","","aufwand","CHF"
