"arten","funk","jahr","value","dim","unit"
"100","","2021","409294486.29","bilanz","CHF"
"101","","2021","334694797.71","bilanz","CHF"
"102","","2021","3618529.3","bilanz","CHF"
"104","","2021","52984747.11","bilanz","CHF"
"106","","2021","304658.49","bilanz","CHF"
"107","","2021","69521535.93","bilanz","CHF"
"108","","2021","509825861.65","bilanz","CHF"
"109","","2021","204029.09","bilanz","CHF"
"140","","2021","1499149547.52","bilanz","CHF"
"141","","2021","4500","bilanz","CHF"
"142","","2021","10783319.6","bilanz","CHF"
"143","","2021","","bilanz","CHF"
"144","","2021","30225155.87","bilanz","CHF"
"145","","2021","17588346.1","bilanz","CHF"
"146","","2021","63488350.53","bilanz","CHF"
"147","","2021","","bilanz","CHF"
"148","","2021","-14727310.77","bilanz","CHF"
"200","","2021","402044259.22","bilanz","CHF"
"201","","2021","127577016.23","bilanz","CHF"
"204","","2021","30405806.68","bilanz","CHF"
"205","","2021","8102569.32","bilanz","CHF"
"206","","2021","963981496.82","bilanz","CHF"
"207","","2021","","bilanz","CHF"
"208","","2021","18045238.68","bilanz","CHF"
"209","","2021","17836284.77","bilanz","CHF"
"290","","2021","432822981.86","bilanz","CHF"
"292","","2021","528219.23","bilanz","CHF"
"293","","2021","102783900.63","bilanz","CHF"
"294","","2021","","bilanz","CHF"
"295","","2021","","bilanz","CHF"
"296","","2021","148458231.8","bilanz","CHF"
"298","","2021","11740845.44","bilanz","CHF"
"299","","2021","722633703.74","bilanz","CHF"
"300","","2021","17170132.88","aufwand","CHF"
"301","","2021","202618990.81","aufwand","CHF"
"302","","2021","293196012.97","aufwand","CHF"
"303","","2021","438808.35","aufwand","CHF"
"304","","2021","4869611.3","aufwand","CHF"
"305","","2021","95795053.4","aufwand","CHF"
"306","","2021","651973.15","aufwand","CHF"
"309","","2021","7862658.55","aufwand","CHF"
"310","","2021","77748086.1","aufwand","CHF"
"311","","2021","23200403.97","aufwand","CHF"
"312","","2021","51195459.37","aufwand","CHF"
"313","","2021","140584653.65","aufwand","CHF"
"314","","2021","77245662.94","aufwand","CHF"
"315","","2021","14765757.26","aufwand","CHF"
"316","","2021","10781509.46","aufwand","CHF"
"317","","2021","8960881.74","aufwand","CHF"
"318","","2021","5931875.3","aufwand","CHF"
"319","","2021","8444866.38","aufwand","CHF"
"320","","2021","","aufwand","CHF"
"331","","2021","","aufwand","CHF"
"337","","2021","91274239.04","aufwand","CHF"
"338","","2021","2296189.3","aufwand","CHF"
"340","","2021","6612066.73","aufwand","CHF"
"341","","2021","96207.71","aufwand","CHF"
"342","","2021","49880.04","aufwand","CHF"
"343","","2021","3535660.27","aufwand","CHF"
"344","","2021","2782709.09","aufwand","CHF"
"349","","2021","69017.67","aufwand","CHF"
"350","","2021","1563018.61","aufwand","CHF"
"351","","2021","40837787.45","aufwand","CHF"
"352","","2021","","aufwand","CHF"
"3600","","2021","","aufwand","CHF"
"36010","","2021","","aufwand","CHF"
"36011","","2021","","aufwand","CHF"
"36012","","2021","","aufwand","CHF"
"36013","","2021","","aufwand","CHF"
"36014","","2021","","aufwand","CHF"
"36015","","2021","","aufwand","CHF"
"36016","","2021","","aufwand","CHF"
"36017","","2021","","aufwand","CHF"
"36018","","2021","","aufwand","CHF"
"36019","","2021","","aufwand","CHF"
"36021","","2021","","aufwand","CHF"
"36022","","2021","","aufwand","CHF"
"36023","","2021","","aufwand","CHF"
"36029","","2021","","aufwand","CHF"
"3603","","2021","","aufwand","CHF"
"3604","","2021","","aufwand","CHF"
"3610","","2021","","aufwand","CHF"
"3611","","2021","204302","aufwand","CHF"
"3612","","2021","","aufwand","CHF"
"3613","","2021","","aufwand","CHF"
"3614","","2021","66387.68","aufwand","CHF"
"3620","","2021","","aufwand","CHF"
"36211","","2021","","aufwand","CHF"
"36212","","2021","","aufwand","CHF"
"36213","","2021","","aufwand","CHF"
"36214","","2021","","aufwand","CHF"
"36215","","2021","","aufwand","CHF"
"36216","","2021","","aufwand","CHF"
"36217","","2021","","aufwand","CHF"
"36219","","2021","","aufwand","CHF"
"36221","","2021","","aufwand","CHF"
"36222","","2021","","aufwand","CHF"
"36223","","2021","","aufwand","CHF"
"36224","","2021","","aufwand","CHF"
"36225","","2021","","aufwand","CHF"
"36226","","2021","","aufwand","CHF"
"36227","","2021","","aufwand","CHF"
"36228","","2021","","aufwand","CHF"
"3624","","2021","","aufwand","CHF"
"3629","","2021","","aufwand","CHF"
"3630","","2021","","aufwand","CHF"
"3631","","2021","96317263.99","aufwand","CHF"
"3632","","2021","","aufwand","CHF"
"3633","","2021","","aufwand","CHF"
"3634","","2021","4000201.94","aufwand","CHF"
"3635","","2021","3186768.56","aufwand","CHF"
"3636","","2021","50122521.19","aufwand","CHF"
"3637","","2021","91869931.61","aufwand","CHF"
"3638","","2021","101302.06","aufwand","CHF"
"3639","","2021","","aufwand","CHF"
"364","","2021","","aufwand","CHF"
"365","","2021","5079.85","aufwand","CHF"
"366","","2021","4022259.63","aufwand","CHF"
"369","","2021","62276.79","aufwand","CHF"
"380","","2021","119928.26","aufwand","CHF"
"381","","2021","1459411.22","aufwand","CHF"
"383","","2021","5256020.01","aufwand","CHF"
"384","","2021","","aufwand","CHF"
"3860","","2021","","aufwand","CHF"
"3861","","2021","","aufwand","CHF"
"3862","","2021","","aufwand","CHF"
"3863","","2021","","aufwand","CHF"
"3864","","2021","","aufwand","CHF"
"3865","","2021","334940","aufwand","CHF"
"3866","","2021","","aufwand","CHF"
"3867","","2021","","aufwand","CHF"
"3868","","2021","","aufwand","CHF"
"387","","2021","","aufwand","CHF"
"389","","2021","23298032.34","aufwand","CHF"
"4000","","2021","680245000","ertrag","CHF"
"4001","","2021","94189000","ertrag","CHF"
"4002","","2021","45101000","ertrag","CHF"
"4008","","2021","","ertrag","CHF"
"4009","","2021","","ertrag","CHF"
"4010","","2021","89705000","ertrag","CHF"
"4011","","2021","11868000","ertrag","CHF"
"4012","","2021","","ertrag","CHF"
"4019","","2021","","ertrag","CHF"
"4020","","2021","","ertrag","CHF"
"4021","","2021","","ertrag","CHF"
"4022","","2021","","ertrag","CHF"
"4023","","2021","","ertrag","CHF"
"4024","","2021","","ertrag","CHF"
"4025","","2021","","ertrag","CHF"
"4030","","2021","","ertrag","CHF"
"4031","","2021","","ertrag","CHF"
"4032","","2021","","ertrag","CHF"
"4033","","2021","2018582.94","ertrag","CHF"
"4039","","2021","","ertrag","CHF"
"4040","","2021","","ertrag","CHF"
"4041","","2021","","ertrag","CHF"
"4042","","2021","","ertrag","CHF"
"4043","","2021","","ertrag","CHF"
"4044","","2021","","ertrag","CHF"
"4045","","2021","","ertrag","CHF"
"4046","","2021","","ertrag","CHF"
"4047","","2021","","ertrag","CHF"
"4049","","2021","","ertrag","CHF"
"4050","","2021","","ertrag","CHF"
"4051","","2021","","ertrag","CHF"
"4052","","2021","","ertrag","CHF"
"4053","","2021","","ertrag","CHF"
"4059","","2021","","ertrag","CHF"
"4060","","2021","","ertrag","CHF"
"4070","","2021","","ertrag","CHF"
"4071","","2021","","ertrag","CHF"
"4072","","2021","","ertrag","CHF"
"4079","","2021","","ertrag","CHF"
"410","","2021","295930.7","ertrag","CHF"
"411","","2021","","ertrag","CHF"
"412","","2021","2155734.84","ertrag","CHF"
"413","","2021","","ertrag","CHF"
"420","","2021","20781127.2","ertrag","CHF"
"421","","2021","10852300.07","ertrag","CHF"
"422","","2021","46710.02","ertrag","CHF"
"423","","2021","1685830.57","ertrag","CHF"
"424","","2021","160650851.8","ertrag","CHF"
"425","","2021","52176305.34","ertrag","CHF"
"426","","2021","87158218.61","ertrag","CHF"
"427","","2021","1828509.57","ertrag","CHF"
"429","","2021","1363534.32","ertrag","CHF"
"430","","2021","239384.74","ertrag","CHF"
"431","","2021","122241.95","ertrag","CHF"
"432","","2021","300","ertrag","CHF"
"439","","2021","4362119.03","ertrag","CHF"
"440","","2021","2051630.8","ertrag","CHF"
"441","","2021","1459787.49","ertrag","CHF"
"442","","2021","890599.21","ertrag","CHF"
"443","","2021","9638600.71","ertrag","CHF"
"444","","2021","7134393.41","ertrag","CHF"
"445","","2021","141280.38","ertrag","CHF"
"446","","2021","4743105","ertrag","CHF"
"447","","2021","13606603.55","ertrag","CHF"
"448","","2021","234902.59","ertrag","CHF"
"449","","2021","42390.92","ertrag","CHF"
"450","","2021","648152.72","ertrag","CHF"
"451","","2021","34834571.23","ertrag","CHF"
"452","","2021","2715877.71","ertrag","CHF"
"46000","","2021","","ertrag","CHF"
"46001","","2021","","ertrag","CHF"
"46002","","2021","","ertrag","CHF"
"46003","","2021","","ertrag","CHF"
"46004","","2021","","ertrag","CHF"
"46005","","2021","","ertrag","CHF"
"46006","","2021","","ertrag","CHF"
"46007","","2021","","ertrag","CHF"
"46008","","2021","","ertrag","CHF"
"46009","","2021","","ertrag","CHF"
"46010","","2021","83635427.4","ertrag","CHF"
"46011","","2021","142650","ertrag","CHF"
"46012","","2021","108879.53","ertrag","CHF"
"46019","","2021","","ertrag","CHF"
"4603","","2021","","ertrag","CHF"
"4604","","2021","","ertrag","CHF"
"4610","","2021","","ertrag","CHF"
"4611","","2021","15175605.62","ertrag","CHF"
"4612","","2021","","ertrag","CHF"
"4613","","2021","","ertrag","CHF"
"4614","","2021","534163.58","ertrag","CHF"
"46201","","2021","","ertrag","CHF"
"46202","","2021","","ertrag","CHF"
"46203","","2021","","ertrag","CHF"
"46204","","2021","","ertrag","CHF"
"46209","","2021","","ertrag","CHF"
"46211","","2021","","ertrag","CHF"
"46212","","2021","","ertrag","CHF"
"46213","","2021","","ertrag","CHF"
"46214","","2021","","ertrag","CHF"
"46215","","2021","13261603","ertrag","CHF"
"46216","","2021","","ertrag","CHF"
"46217","","2021","","ertrag","CHF"
"46225","","2021","","ertrag","CHF"
"46226","","2021","","ertrag","CHF"
"46227","","2021","","ertrag","CHF"
"46228","","2021","","ertrag","CHF"
"4624","","2021","","ertrag","CHF"
"4629","","2021","","ertrag","CHF"
"4630","","2021","","ertrag","CHF"
"4631","","2021","73820291.74","ertrag","CHF"
"4632","","2021","","ertrag","CHF"
"4633","","2021","","ertrag","CHF"
"4634","","2021","5170536.51","ertrag","CHF"
"4635","","2021","25000","ertrag","CHF"
"4636","","2021","","ertrag","CHF"
"4637","","2021","","ertrag","CHF"
"4638","","2021","5185.75","ertrag","CHF"
"466","","2021","1243706.15","ertrag","CHF"
"469","","2021","140936.8","ertrag","CHF"
"481","","2021","","ertrag","CHF"
"482","","2021","103926.85","ertrag","CHF"
"483","","2021","3173306.98","ertrag","CHF"
"484","","2021","21356.26","ertrag","CHF"
"485","","2021","","ertrag","CHF"
"4860","","2021","","ertrag","CHF"
"4861","","2021","","ertrag","CHF"
"4862","","2021","","ertrag","CHF"
"4863","","2021","","ertrag","CHF"
"4864","","2021","","ertrag","CHF"
"4865","","2021","","ertrag","CHF"
"4866","","2021","","ertrag","CHF"
"4867","","2021","","ertrag","CHF"
"4868","","2021","","ertrag","CHF"
"4870","","2021","","ertrag","CHF"
"489","","2021","5398618.18","ertrag","CHF"
