"arten","funk","jahr","value","dim","unit"
"100","","2019","31767977.38","bilanz","CHF"
"101","","2019","249238451.03","bilanz","CHF"
"102","","2019","7913.9","bilanz","CHF"
"104","","2019","52914542.56","bilanz","CHF"
"106","","2019","121588.85","bilanz","CHF"
"107","","2019","8334810","bilanz","CHF"
"108","","2019","4811709.6","bilanz","CHF"
"109","","2019","","bilanz","CHF"
"140","","2019","259337446.05","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","100502860.35","bilanz","CHF"
"145","","2019","27646570","bilanz","CHF"
"146","","2019","82231654.33","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","144735126.11","bilanz","CHF"
"201","","2019","175538927.9","bilanz","CHF"
"204","","2019","42376266.67","bilanz","CHF"
"205","","2019","2395287.8","bilanz","CHF"
"206","","2019","287056660.65","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","46812606.25","bilanz","CHF"
"209","","2019","11858797.93","bilanz","CHF"
"290","","2019","13239111.42","bilanz","CHF"
"292","","2019","","bilanz","CHF"
"293","","2019","","bilanz","CHF"
"294","","2019","30500000","bilanz","CHF"
"295","","2019","","bilanz","CHF"
"296","","2019","","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","62402739.32","bilanz","CHF"
"300","","2019","5585773.9","aufwand","CHF"
"301","","2019","101435228.45","aufwand","CHF"
"302","","2019","111008441.12","aufwand","CHF"
"303","","2019","542260","aufwand","CHF"
"304","","2019","574426.9","aufwand","CHF"
"305","","2019","43142006.66","aufwand","CHF"
"306","","2019","1670094.9","aufwand","CHF"
"309","","2019","1220719.75","aufwand","CHF"
"310","","2019","5558011.49","aufwand","CHF"
"311","","2019","1020835.75","aufwand","CHF"
"312","","2019","3417669.75","aufwand","CHF"
"313","","2019","36000660.97","aufwand","CHF"
"314","","2019","11750103.34","aufwand","CHF"
"315","","2019","6210370.2","aufwand","CHF"
"316","","2019","4583603.6","aufwand","CHF"
"317","","2019","2140721.44","aufwand","CHF"
"318","","2019","7568275.65","aufwand","CHF"
"319","","2019","2643791.59","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","17274870.84","aufwand","CHF"
"338","","2019","","aufwand","CHF"
"340","","2019","5398872.5","aufwand","CHF"
"341","","2019","","aufwand","CHF"
"342","","2019","7435.8","aufwand","CHF"
"343","","2019","97174.77","aufwand","CHF"
"344","","2019","","aufwand","CHF"
"349","","2019","458089.77","aufwand","CHF"
"350","","2019","162952.84","aufwand","CHF"
"351","","2019","11019878.5","aufwand","CHF"
"352","","2019","","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
"36015","","2019","","aufwand","CHF"
"36016","","2019","","aufwand","CHF"
"36017","","2019","","aufwand","CHF"
"36018","","2019","","aufwand","CHF"
"36019","","2019","","aufwand","CHF"
"36021","","2019","677971.45","aufwand","CHF"
"36022","","2019","","aufwand","CHF"
"36023","","2019","","aufwand","CHF"
"36029","","2019","","aufwand","CHF"
"3603","","2019","","aufwand","CHF"
"3604","","2019","","aufwand","CHF"
"3610","","2019","","aufwand","CHF"
"3611","","2019","4993114.65","aufwand","CHF"
"3612","","2019","640168.05","aufwand","CHF"
"3613","","2019","","aufwand","CHF"
"3614","","2019","5770761.34","aufwand","CHF"
"3620","","2019","","aufwand","CHF"
"36211","","2019","","aufwand","CHF"
"36212","","2019","","aufwand","CHF"
"36213","","2019","","aufwand","CHF"
"36214","","2019","872381","aufwand","CHF"
"36215","","2019","","aufwand","CHF"
"36216","","2019","","aufwand","CHF"
"36217","","2019","","aufwand","CHF"
"36219","","2019","","aufwand","CHF"
"36221","","2019","","aufwand","CHF"
"36222","","2019","","aufwand","CHF"
"36223","","2019","","aufwand","CHF"
"36224","","2019","","aufwand","CHF"
"36225","","2019","","aufwand","CHF"
"36226","","2019","8499720","aufwand","CHF"
"36227","","2019","","aufwand","CHF"
"36228","","2019","","aufwand","CHF"
"3624","","2019","","aufwand","CHF"
"3629","","2019","","aufwand","CHF"
"3630","","2019","","aufwand","CHF"
"3631","","2019","34960352.26","aufwand","CHF"
"3632","","2019","24650086.21","aufwand","CHF"
