"arten","funk","jahr","value","dim","unit"
"100","","2019","90406873.46","bilanz","CHF"
"101","","2019","156091071.98","bilanz","CHF"
"102","","2019","2.1e+07","bilanz","CHF"
"104","","2019","92145126.1","bilanz","CHF"
"106","","2019","66571.75","bilanz","CHF"
"107","","2019","272489942.89","bilanz","CHF"
"108","","2019","56698099","bilanz","CHF"
"109","","2019","","bilanz","CHF"
"140","","2019","65208290.72","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","2886757.15","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","7492074.35","bilanz","CHF"
"145","","2019","152565189.29","bilanz","CHF"
"146","","2019","50480989.76","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","116627029.93","bilanz","CHF"
"201","","2019","89567.05","bilanz","CHF"
"204","","2019","117434686.18","bilanz","CHF"
"205","","2019","1536357.37","bilanz","CHF"
"206","","2019","125100000","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","4234155","bilanz","CHF"
"209","","2019","21697626.42","bilanz","CHF"
"290","","2019","62659206.52","bilanz","CHF"
"292","","2019","","bilanz","CHF"
"293","","2019","5189869","bilanz","CHF"
"294","","2019","175100000","bilanz","CHF"
"295","","2019","8956730.33","bilanz","CHF"
"296","","2019","92910651.54","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","235995107.11","bilanz","CHF"
"300","","2019","4754949.25","aufwand","CHF"
"301","","2019","88460300.95","aufwand","CHF"
"302","","2019","55392333.35","aufwand","CHF"
"303","","2019","","aufwand","CHF"
"304","","2019","1708487","aufwand","CHF"
"305","","2019","32301166.75","aufwand","CHF"
"306","","2019","613532.5","aufwand","CHF"
"309","","2019","1988643.83","aufwand","CHF"
"310","","2019","4369724.48","aufwand","CHF"
"311","","2019","4774826.91","aufwand","CHF"
"312","","2019","1800502.58","aufwand","CHF"
"313","","2019","32445403.26","aufwand","CHF"
"314","","2019","7622905.38","aufwand","CHF"
"315","","2019","3955790.68","aufwand","CHF"
"316","","2019","3068411.92","aufwand","CHF"
"317","","2019","1193984.11","aufwand","CHF"
"318","","2019","6953677.75","aufwand","CHF"
"319","","2019","2126135.15","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","8146166.56","aufwand","CHF"
"338","","2019","","aufwand","CHF"
"340","","2019","1174514.73","aufwand","CHF"
"341","","2019","35048.86","aufwand","CHF"
"342","","2019","250622.85","aufwand","CHF"
"343","","2019","1598738.4","aufwand","CHF"
"344","","2019","50085.48","aufwand","CHF"
"349","","2019","385407.35","aufwand","CHF"
"350","","2019","2468635.69","aufwand","CHF"
"351","","2019","12224805.46","aufwand","CHF"
"352","","2019","","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
"36015","","2019","","aufwand","CHF"
"36016","","2019","","aufwand","CHF"
"36017","","2019","","aufwand","CHF"
"36018","","2019","","aufwand","CHF"
"36019","","2019","","aufwand","CHF"
"36021","","2019","4335764.79","aufwand","CHF"
"36022","","2019","","aufwand","CHF"
"36023","","2019","","aufwand","CHF"
"36029","","2019","18720","aufwand","CHF"
"3603","","2019","","aufwand","CHF"
"3604","","2019","337861.25","aufwand","CHF"
"3610","","2019","","aufwand","CHF"
"3611","","2019","11292276.83","aufwand","CHF"
"3612","","2019","2420704.63","aufwand","CHF"
"3613","","2019","","aufwand","CHF"
"3614","","2019","4304341.15","aufwand","CHF"
"3620","","2019","","aufwand","CHF"
"36211","","2019","","aufwand","CHF"
"36212","","2019","","aufwand","CHF"
"36213","","2019","","aufwand","CHF"
"36214","","2019","946822","aufwand","CHF"
"36215","","2019","","aufwand","CHF"
"36216","","2019","","aufwand","CHF"
"36217","","2019","","aufwand","CHF"
"36219","","2019","","aufwand","CHF"
"36221","","2019","","aufwand","CHF"
"36222","","2019","","aufwand","CHF"
"36223","","2019","","aufwand","CHF"
"36224","","2019","","aufwand","CHF"
"36225","","2019","1586441","aufwand","CHF"
"36226","","2019","1015191","aufwand","CHF"
"36227","","2019","","aufwand","CHF"
"36228","","2019","","aufwand","CHF"
"3624","","2019","","aufwand","CHF"
"3629","","2019","","aufwand","CHF"
"3630","","2019","","aufwand","CHF"
"3631","","2019","23243514.83","aufwand","CHF"
"3632","","2019","25132551.78","aufwand","CHF"
"3633","","2019","2100779.7","aufwand","CHF"
"3634","","2019","109974308.87","aufwand","CHF"
"3635","","2019","35832050.56","aufwand","CHF"
"3636","","2019","72378552.67","aufwand","CHF"
"3637","","2019","128081008.86","aufwand","CHF"
"3638","","2019","2690803.27","aufwand","CHF"
"3639","","2019","2227878","aufwand","CHF"
"364","","2019","","aufwand","CHF"
"365","","2019","","aufwand","CHF"
"366","","2019","6771056.1","aufwand","CHF"
"369","","2019","","aufwand","CHF"
"380","","2019","","aufwand","CHF"
"381","","2019","","aufwand","CHF"
"383","","2019","","aufwand","CHF"
"384","","2019","","aufwand","CHF"
"3860","","2019","","aufwand","CHF"
"3861","","2019","","aufwand","CHF"
"3862","","2019","","aufwand","CHF"
"3863","","2019","","aufwand","CHF"
"3864","","2019","","aufwand","CHF"
"3865","","2019","","aufwand","CHF"
"3866","","2019","","aufwand","CHF"
"3867","","2019","","aufwand","CHF"
"3868","","2019","","aufwand","CHF"
"387","","2019","","aufwand","CHF"
"389","","2019","8e+07","aufwand","CHF"
"4000","","2019","198896595.02","ertrag","CHF"
"4001","","2019","32696108.7","ertrag","CHF"
"4002","","2019","29679069.43","ertrag","CHF"
"4008","","2019","1451733.45","ertrag","CHF"
"4009","","2019","","ertrag","CHF"
"4010","","2019","67227058.25","ertrag","CHF"
"4011","","2019","12345732.75","ertrag","CHF"
"4012","","2019","","ertrag","CHF"
"4019","","2019","","ertrag","CHF"
"4020","","2019","","ertrag","CHF"
"4021","","2019","","ertrag","CHF"
"4022","","2019","10232250.5","ertrag","CHF"
"4023","","2019","","ertrag","CHF"
"4024","","2019","7045616.95","ertrag","CHF"
"4025","","2019","2091945.53","ertrag","CHF"
"4030","","2019","15445295.25","ertrag","CHF"
"4031","","2019","187644","ertrag","CHF"
"4032","","2019","","ertrag","CHF"
"4033","","2019","","ertrag","CHF"
"4039","","2019","31374.25","ertrag","CHF"
"4040","","2019","","ertrag","CHF"
"4041","","2019","","ertrag","CHF"
"4042","","2019","","ertrag","CHF"
"4043","","2019","","ertrag","CHF"
"4044","","2019","","ertrag","CHF"
"4045","","2019","","ertrag","CHF"
"4046","","2019","","ertrag","CHF"
"4047","","2019","","ertrag","CHF"
"4049","","2019","","ertrag","CHF"
"4050","","2019","","ertrag","CHF"
"4051","","2019","","ertrag","CHF"
"4052","","2019","","ertrag","CHF"
"4053","","2019","","ertrag","CHF"
"4059","","2019","","ertrag","CHF"
"4060","","2019","","ertrag","CHF"
"4070","","2019","","ertrag","CHF"
"4071","","2019","","ertrag","CHF"
"4072","","2019","","ertrag","CHF"
"4079","","2019","","ertrag","CHF"
"410","","2019","186738.35","ertrag","CHF"
"411","","2019","12787748","ertrag","CHF"
"412","","2019","4449538.65","ertrag","CHF"
"413","","2019","4277269","ertrag","CHF"
"420","","2019","424000","ertrag","CHF"
"421","","2019","33953908.18","ertrag","CHF"
"422","","2019","","ertrag","CHF"
"423","","2019","751805","ertrag","CHF"
"424","","2019","4736560.41","ertrag","CHF"
"425","","2019","2270414","ertrag","CHF"
"426","","2019","14277935.45","ertrag","CHF"
"427","","2019","9195717.44","ertrag","CHF"
"429","","2019","410846.62","ertrag","CHF"
"430","","2019","467615.15","ertrag","CHF"
"431","","2019","429935.6","ertrag","CHF"
"432","","2019","","ertrag","CHF"
"439","","2019","567612.65","ertrag","CHF"
"440","","2019","1051450.36","ertrag","CHF"
"441","","2019","350000","ertrag","CHF"
"442","","2019","","ertrag","CHF"
"443","","2019","4041633.9","ertrag","CHF"
"444","","2019","2789583.88","ertrag","CHF"
"445","","2019","111145.35","ertrag","CHF"
"446","","2019","36634250.4","ertrag","CHF"
"447","","2019","2210649.85","ertrag","CHF"
"448","","2019","","ertrag","CHF"
"449","","2019","","ertrag","CHF"
"450","","2019","270094.7","ertrag","CHF"
"451","","2019","512825.7","ertrag","CHF"
"452","","2019","","ertrag","CHF"
"46000","","2019","69681188.78","ertrag","CHF"
"46001","","2019","9309480","ertrag","CHF"
"46002","","2019","438344.04","ertrag","CHF"
"46003","","2019","241692","ertrag","CHF"
"46004","","2019","","ertrag","CHF"
"46005","","2019","3824854.98","ertrag","CHF"
"46006","","2019","","ertrag","CHF"
"46007","","2019","","ertrag","CHF"
"46008","","2019","4065384","ertrag","CHF"
"46009","","2019","34780","ertrag","CHF"
"46010","","2019","","ertrag","CHF"
"46011","","2019","","ertrag","CHF"
"46012","","2019","","ertrag","CHF"
"46019","","2019","","ertrag","CHF"
"4603","","2019","","ertrag","CHF"
"4604","","2019","","ertrag","CHF"
"4610","","2019","20168218.45","ertrag","CHF"
"4611","","2019","8028560.45","ertrag","CHF"
"4612","","2019","9754636.4","ertrag","CHF"
"4613","","2019","5788756.25","ertrag","CHF"
"4614","","2019","117926.4","ertrag","CHF"
"46201","","2019","10938722","ertrag","CHF"
"46202","","2019","1718527","ertrag","CHF"
"46203","","2019","","ertrag","CHF"
"46204","","2019","","ertrag","CHF"
"46209","","2019","","ertrag","CHF"
"46211","","2019","7480063","ertrag","CHF"
"46212","","2019","","ertrag","CHF"
"46213","","2019","","ertrag","CHF"
"46214","","2019","","ertrag","CHF"
"46215","","2019","","ertrag","CHF"
"46216","","2019","","ertrag","CHF"
"46217","","2019","","ertrag","CHF"
"46225","","2019","","ertrag","CHF"
"46226","","2019","","ertrag","CHF"
