"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","","bilanz","sv_fl","CHF","fs"
"101","","2021","","bilanz","sv_fl","CHF","fs"
"102","","2021","","bilanz","sv_fl","CHF","fs"
"104","","2021","","bilanz","sv_fl","CHF","fs"
"106","","2021","","bilanz","sv_fl","CHF","fs"
"107","","2021","","bilanz","sv_fl","CHF","fs"
"108","","2021","","bilanz","sv_fl","CHF","fs"
"109","","2021","","bilanz","sv_fl","CHF","fs"
"140","","2021","","bilanz","sv_fl","CHF","fs"
"141","","2021","","bilanz","sv_fl","CHF","fs"
"142","","2021","","bilanz","sv_fl","CHF","fs"
"143","","2021","","bilanz","sv_fl","CHF","fs"
"144","","2021","","bilanz","sv_fl","CHF","fs"
"145","","2021","","bilanz","sv_fl","CHF","fs"
"146","","2021","","bilanz","sv_fl","CHF","fs"
"147","","2021","","bilanz","sv_fl","CHF","fs"
"148","","2021","","bilanz","sv_fl","CHF","fs"
"200","","2021","","bilanz","sv_fl","CHF","fs"
"201","","2021","","bilanz","sv_fl","CHF","fs"
"204","","2021","","bilanz","sv_fl","CHF","fs"
"205","","2021","","bilanz","sv_fl","CHF","fs"
"206","","2021","","bilanz","sv_fl","CHF","fs"
"207","","2021","","bilanz","sv_fl","CHF","fs"
"208","","2021","","bilanz","sv_fl","CHF","fs"
"209","","2021","","bilanz","sv_fl","CHF","fs"
"290","","2021","","bilanz","sv_fl","CHF","fs"
"292","","2021","","bilanz","sv_fl","CHF","fs"
"293","","2021","","bilanz","sv_fl","CHF","fs"
"294","","2021","","bilanz","sv_fl","CHF","fs"
"295","","2021","","bilanz","sv_fl","CHF","fs"
"296","","2021","","bilanz","sv_fl","CHF","fs"
"298","","2021","","bilanz","sv_fl","CHF","fs"
"299","","2021","","bilanz","sv_fl","CHF","fs"
"empty","","2021","","er","sv_fl","CHF","fs"
"empty","","2021","","er","sv_fl","CHF","fs"
"empty","","2021","","er","sv_fl","CHF","fs"
"empty","","2021","","er","sv_fl","CHF","fs"
"300","","2021","","aufwand","sv_fl","CHF","fs"
"301","","2021","","aufwand","sv_fl","CHF","fs"
"302","","2021","","aufwand","sv_fl","CHF","fs"
"303","","2021","","aufwand","sv_fl","CHF","fs"
