"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","","bilanz","sv_fl","CHF","fs"
"101","","2018","","bilanz","sv_fl","CHF","fs"
"102","","2018","","bilanz","sv_fl","CHF","fs"
"104","","2018","","bilanz","sv_fl","CHF","fs"
"106","","2018","","bilanz","sv_fl","CHF","fs"
"107","","2018","","bilanz","sv_fl","CHF","fs"
"108","","2018","","bilanz","sv_fl","CHF","fs"
"109","","2018","","bilanz","sv_fl","CHF","fs"
"140","","2018","","bilanz","sv_fl","CHF","fs"
"141","","2018","","bilanz","sv_fl","CHF","fs"
"142","","2018","","bilanz","sv_fl","CHF","fs"
"143","","2018","","bilanz","sv_fl","CHF","fs"
"144","","2018","","bilanz","sv_fl","CHF","fs"
"145","","2018","","bilanz","sv_fl","CHF","fs"
"146","","2018","","bilanz","sv_fl","CHF","fs"
"147","","2018","","bilanz","sv_fl","CHF","fs"
"148","","2018","","bilanz","sv_fl","CHF","fs"
"200","","2018","","bilanz","sv_fl","CHF","fs"
"201","","2018","","bilanz","sv_fl","CHF","fs"
"204","","2018","","bilanz","sv_fl","CHF","fs"
"205","","2018","","bilanz","sv_fl","CHF","fs"
"206","","2018","","bilanz","sv_fl","CHF","fs"
"207","","2018","","bilanz","sv_fl","CHF","fs"
"208","","2018","","bilanz","sv_fl","CHF","fs"
"209","","2018","","bilanz","sv_fl","CHF","fs"
"290","","2018","","bilanz","sv_fl","CHF","fs"
"292","","2018","","bilanz","sv_fl","CHF","fs"
"293","","2018","","bilanz","sv_fl","CHF","fs"
"294","","2018","","bilanz","sv_fl","CHF","fs"
"295","","2018","","bilanz","sv_fl","CHF","fs"
"296","","2018","","bilanz","sv_fl","CHF","fs"
"298","","2018","","bilanz","sv_fl","CHF","fs"
"299","","2018","","bilanz","sv_fl","CHF","fs"
"empty","","2018","","er","sv_fl","CHF","fs"
"empty","","2018","","er","sv_fl","CHF","fs"
"empty","","2018","","er","sv_fl","CHF","fs"
"empty","","2018","","er","sv_fl","CHF","fs"
"300","","2018","","aufwand","sv_fl","CHF","fs"
"301","","2018","","aufwand","sv_fl","CHF","fs"
"302","","2018","","aufwand","sv_fl","CHF","fs"
"303","","2018","","aufwand","sv_fl","CHF","fs"
"304","","2018","","aufwand","sv_fl","CHF","fs"
"305","","2018","","aufwand","sv_fl","CHF","fs"
"306","","2018","","aufwand","sv_fl","CHF","fs"
"309","","2018","","aufwand","sv_fl","CHF","fs"
"310","","2018","","aufwand","sv_fl","CHF","fs"
"311","","2018","","aufwand","sv_fl","CHF","fs"
"312","","2018","","aufwand","sv_fl","CHF","fs"
"313","","2018","125794.71","aufwand","sv_fl","CHF","fs"
"314","","2018","","aufwand","sv_fl","CHF","fs"
"315","","2018","","aufwand","sv_fl","CHF","fs"
"316","","2018","","aufwand","sv_fl","CHF","fs"
"317","","2018","","aufwand","sv_fl","CHF","fs"
"318","","2018","23859.95","aufwand","sv_fl","CHF","fs"
"319","","2018","","aufwand","sv_fl","CHF","fs"
"320","","2018","","aufwand","sv_fl","CHF","fs"
"331","","2018","","aufwand","sv_fl","CHF","fs"
"337","","2018","","aufwand","sv_fl","CHF","fs"
"338","","2018","","aufwand","sv_fl","CHF","fs"
"340","","2018","19413","aufwand","sv_fl","CHF","fs"
"341","","2018","","aufwand","sv_fl","CHF","fs"
"342","","2018","","aufwand","sv_fl","CHF","fs"
"343","","2018","","aufwand","sv_fl","CHF","fs"
"344","","2018","","aufwand","sv_fl","CHF","fs"
"349","","2018","","aufwand","sv_fl","CHF","fs"
"350","","2018","","aufwand","sv_fl","CHF","fs"
"351","","2018","","aufwand","sv_fl","CHF","fs"
"352","","2018","","aufwand","sv_fl","CHF","fs"
"3600","","2018","","aufwand","sv_fl","CHF","fs"
"36010","","2018","","aufwand","sv_fl","CHF","fs"
"36011","","2018","","aufwand","sv_fl","CHF","fs"
"36012","","2018","","aufwand","sv_fl","CHF","fs"
"36013","","2018","","aufwand","sv_fl","CHF","fs"
"36014","","2018","","aufwand","sv_fl","CHF","fs"
"36015","","2018","","aufwand","sv_fl","CHF","fs"
"36016","","2018","","aufwand","sv_fl","CHF","fs"
"36017","","2018","","aufwand","sv_fl","CHF","fs"
"36018","","2018","","aufwand","sv_fl","CHF","fs"
"36019","","2018","","aufwand","sv_fl","CHF","fs"
"36021","","2018","","aufwand","sv_fl","CHF","fs"
"36022","","2018","","aufwand","sv_fl","CHF","fs"
"36023","","2018","","aufwand","sv_fl","CHF","fs"
"36029","","2018","","aufwand","sv_fl","CHF","fs"
"3603","","2018","","aufwand","sv_fl","CHF","fs"
"3604","","2018","","aufwand","sv_fl","CHF","fs"
"3610","","2018","","aufwand","sv_fl","CHF","fs"
