"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","277486923.3","bilanz","gdn_ge","CHF","fs"
"101","","2020","966427016.34","bilanz","gdn_ge","CHF","fs"
"102","","2020","10738825.94","bilanz","gdn_ge","CHF","fs"
"104","","2020","91177350.41","bilanz","gdn_ge","CHF","fs"
"106","","2020","3996809.16","bilanz","gdn_ge","CHF","fs"
"107","","2020","345990861.62","bilanz","gdn_ge","CHF","fs"
"108","","2020","5469243452.92","bilanz","gdn_ge","CHF","fs"
"109","","2020","21695724.74","bilanz","gdn_ge","CHF","fs"
"140","","2020","3199584066.21","bilanz","gdn_ge","CHF","fs"
"141","","2020","","bilanz","gdn_ge","CHF","fs"
"142","","2020","22049124.11","bilanz","gdn_ge","CHF","fs"
"143","","2020","","bilanz","gdn_ge","CHF","fs"
"144","","2020","19006594.11","bilanz","gdn_ge","CHF","fs"
"145","","2020","411368646.94","bilanz","gdn_ge","CHF","fs"
"146","","2020","107631837.43","bilanz","gdn_ge","CHF","fs"
"147","","2020","","bilanz","gdn_ge","CHF","fs"
"148","","2020","-96266948.88","bilanz","gdn_ge","CHF","fs"
"200","","2020","162385766.23","bilanz","gdn_ge","CHF","fs"
"201","","2020","623979898.42","bilanz","gdn_ge","CHF","fs"
"204","","2020","110385580.88","bilanz","gdn_ge","CHF","fs"
"205","","2020","137753258.07","bilanz","gdn_ge","CHF","fs"
"206","","2020","2387368563.48","bilanz","gdn_ge","CHF","fs"
"207","","2020","","bilanz","gdn_ge","CHF","fs"
"208","","2020","130511271.82","bilanz","gdn_ge","CHF","fs"
"209","","2020","76996179.76","bilanz","gdn_ge","CHF","fs"
"290","","2020","151572350.7","bilanz","gdn_ge","CHF","fs"
"292","","2020","","bilanz","gdn_ge","CHF","fs"
"293","","2020","3426142","bilanz","gdn_ge","CHF","fs"
"294","","2020","233539261.54","bilanz","gdn_ge","CHF","fs"
"295","","2020","743378","bilanz","gdn_ge","CHF","fs"
"296","","2020","-198034720.65","bilanz","gdn_ge","CHF","fs"
"298","","2020","15801578.55","bilanz","gdn_ge","CHF","fs"
"299","","2020","7013701775.55","bilanz","gdn_ge","CHF","fs"
"empty","","2020","","er","gdn_ge","CHF","fs"
"empty","","2020","","er","gdn_ge","CHF","fs"
"empty","","2020","","er","gdn_ge","CHF","fs"
"empty","","2020","","er","gdn_ge","CHF","fs"
"300","","2020","13004724.76","aufwand","gdn_ge","CHF","fs"
"301","","2020","718861480.56","aufwand","gdn_ge","CHF","fs"
"302","","2020","","aufwand","gdn_ge","CHF","fs"
"303","","2020","3859902.38","aufwand","gdn_ge","CHF","fs"
"304","","2020","7294410.65","aufwand","gdn_ge","CHF","fs"
"305","","2020","182540258.84","aufwand","gdn_ge","CHF","fs"
"306","","2020","4266540.95","aufwand","gdn_ge","CHF","fs"
"309","","2020","6546666.85","aufwand","gdn_ge","CHF","fs"
"310","","2020","42737960.17","aufwand","gdn_ge","CHF","fs"
"311","","2020","20208341.1","aufwand","gdn_ge","CHF","fs"
"312","","2020","40488872.64","aufwand","gdn_ge","CHF","fs"
"313","","2020","177807927.18","aufwand","gdn_ge","CHF","fs"
"314","","2020","113519883.19","aufwand","gdn_ge","CHF","fs"
"315","","2020","14691565.75","aufwand","gdn_ge","CHF","fs"
"316","","2020","19275933.97","aufwand","gdn_ge","CHF","fs"
"317","","2020","4156363.94","aufwand","gdn_ge","CHF","fs"
"318","","2020","10781336.17","aufwand","gdn_ge","CHF","fs"
"319","","2020","7022853.23","aufwand","gdn_ge","CHF","fs"
