"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","138933134","bilanz","ktn_ge","CHF","fs"
"101","","2017","1295893005","bilanz","ktn_ge","CHF","fs"
"102","","2017","94486369","bilanz","ktn_ge","CHF","fs"
"104","","2017","1361476100","bilanz","ktn_ge","CHF","fs"
"106","","2017","15920160","bilanz","ktn_ge","CHF","fs"
"107","","2017","1292847379","bilanz","ktn_ge","CHF","fs"
"108","","2017","587331762","bilanz","ktn_ge","CHF","fs"
"109","","2017","","bilanz","ktn_ge","CHF","fs"
"140","","2017","12847086617","bilanz","ktn_ge","CHF","fs"
"141","","2017","984178","bilanz","ktn_ge","CHF","fs"
"142","","2017","162956209","bilanz","ktn_ge","CHF","fs"
"143","","2017","","bilanz","ktn_ge","CHF","fs"
"144","","2017","690313695","bilanz","ktn_ge","CHF","fs"
"145","","2017","1063925708","bilanz","ktn_ge","CHF","fs"
"146","","2017","946159205","bilanz","ktn_ge","CHF","fs"
"147","","2017","","bilanz","ktn_ge","CHF","fs"
"148","","2017","","bilanz","ktn_ge","CHF","fs"
"200","","2017","2677999625","bilanz","ktn_ge","CHF","fs"
"201","","2017","2385144135","bilanz","ktn_ge","CHF","fs"
"204","","2017","267866406","bilanz","ktn_ge","CHF","fs"
"205","","2017","177432212","bilanz","ktn_ge","CHF","fs"
"206","","2017","10878618541","bilanz","ktn_ge","CHF","fs"
"207","","2017","","bilanz","ktn_ge","CHF","fs"
"208","","2017","593991866","bilanz","ktn_ge","CHF","fs"
"209","","2017","284621465","bilanz","ktn_ge","CHF","fs"
"290","","2017","145449578","bilanz","ktn_ge","CHF","fs"
"292","","2017","","bilanz","ktn_ge","CHF","fs"
"293","","2017","","bilanz","ktn_ge","CHF","fs"
"294","","2017","5.99e+08","bilanz","ktn_ge","CHF","fs"
"295","","2017","","bilanz","ktn_ge","CHF","fs"
"296","","2017","243261128","bilanz","ktn_ge","CHF","fs"
"298","","2017","4313100","bilanz","ktn_ge","CHF","fs"
"299","","2017","2240615465","bilanz","ktn_ge","CHF","fs"
"empty","","2017","","er","ktn_ge","CHF","fs"
"empty","","2017","","er","ktn_ge","CHF","fs"
"empty","","2017","","er","ktn_ge","CHF","fs"
"empty","","2017","","er","ktn_ge","CHF","fs"
"300","","2017","47030331.76","aufwand","ktn_ge","CHF","fs"
"301","","2017","1440648922.28","aufwand","ktn_ge","CHF","fs"
"302","","2017","1141212365.11","aufwand","ktn_ge","CHF","fs"
"303","","2017","14763558.14","aufwand","ktn_ge","CHF","fs"
"304","","2017","52563997.36","aufwand","ktn_ge","CHF","fs"
"305","","2017","616769400.57","aufwand","ktn_ge","CHF","fs"
"306","","2017","26043270.84","aufwand","ktn_ge","CHF","fs"
"309","","2017","19751326.55","aufwand","ktn_ge","CHF","fs"
"310","","2017","78355017.86","aufwand","ktn_ge","CHF","fs"
"311","","2017","10876767.55","aufwand","ktn_ge","CHF","fs"
"312","","2017","41010180.23","aufwand","ktn_ge","CHF","fs"
"313","","2017","253494368.19","aufwand","ktn_ge","CHF","fs"
"314","","2017","83172142.56","aufwand","ktn_ge","CHF","fs"
"315","","2017","31294523.3","aufwand","ktn_ge","CHF","fs"
"316","","2017","76362752.37","aufwand","ktn_ge","CHF","fs"
"317","","2017","11619565.28","aufwand","ktn_ge","CHF","fs"
"318","","2017","182151297.68","aufwand","ktn_ge","CHF","fs"
"319","","2017","22895796.14","aufwand","ktn_ge","CHF","fs"
"320","","2017","","aufwand","ktn_ge","CHF","fs"
"331","","2017","","aufwand","ktn_ge","CHF","fs"
"337","","2017","457622678.33","aufwand","ktn_ge","CHF","fs"
"338","","2017","17487336","aufwand","ktn_ge","CHF","fs"
"340","","2017","180579381.4","aufwand","ktn_ge","CHF","fs"
"341","","2017","10251080.15","aufwand","ktn_ge","CHF","fs"
"342","","2017","931363.92","aufwand","ktn_ge","CHF","fs"
"343","","2017","","aufwand","ktn_ge","CHF","fs"
"344","","2017","4500849.33","aufwand","ktn_ge","CHF","fs"
"349","","2017","4975350.23","aufwand","ktn_ge","CHF","fs"
"350","","2017","","aufwand","ktn_ge","CHF","fs"
"351","","2017","","aufwand","ktn_ge","CHF","fs"
"352","","2017","3547073","aufwand","ktn_ge","CHF","fs"
"3600","","2017","","aufwand","ktn_ge","CHF","fs"
"36010","","2017","","aufwand","ktn_ge","CHF","fs"
"36011","","2017","","aufwand","ktn_ge","CHF","fs"
"36012","","2017","","aufwand","ktn_ge","CHF","fs"
"36013","","2017","","aufwand","ktn_ge","CHF","fs"
"36014","","2017","","aufwand","ktn_ge","CHF","fs"
"36015","","2017","","aufwand","ktn_ge","CHF","fs"
"36016","","2017","","aufwand","ktn_ge","CHF","fs"
"36017","","2017","","aufwand","ktn_ge","CHF","fs"
"36018","","2017","","aufwand","ktn_ge","CHF","fs"
"36019","","2017","","aufwand","ktn_ge","CHF","fs"
"36021","","2017","","aufwand","ktn_ge","CHF","fs"
"36022","","2017","","aufwand","ktn_ge","CHF","fs"
"36023","","2017","","aufwand","ktn_ge","CHF","fs"
"36029","","2017","260261.5","aufwand","ktn_ge","CHF","fs"
"3603","","2017","","aufwand","ktn_ge","CHF","fs"
"3604","","2017","","aufwand","ktn_ge","CHF","fs"
"3610","","2017","","aufwand","ktn_ge","CHF","fs"
"3611","","2017","34987016.86","aufwand","ktn_ge","CHF","fs"
"3612","","2017","23916589.42","aufwand","ktn_ge","CHF","fs"
"3613","","2017","","aufwand","ktn_ge","CHF","fs"
"3614","","2017","","aufwand","ktn_ge","CHF","fs"
"3620","","2017","","aufwand","ktn_ge","CHF","fs"
"36211","","2017","349636226.13","aufwand","ktn_ge","CHF","fs"
"36212","","2017","","aufwand","ktn_ge","CHF","fs"
"36213","","2017","","aufwand","ktn_ge","CHF","fs"
"36214","","2017","6094479","aufwand","ktn_ge","CHF","fs"
"36215","","2017","","aufwand","ktn_ge","CHF","fs"
"36216","","2017","","aufwand","ktn_ge","CHF","fs"
"36217","","2017","","aufwand","ktn_ge","CHF","fs"
"36219","","2017","","aufwand","ktn_ge","CHF","fs"
"36221","","2017","","aufwand","ktn_ge","CHF","fs"
"36222","","2017","","aufwand","ktn_ge","CHF","fs"
"36223","","2017","","aufwand","ktn_ge","CHF","fs"
"36224","","2017","","aufwand","ktn_ge","CHF","fs"
"36225","","2017","","aufwand","ktn_ge","CHF","fs"
"36226","","2017","","aufwand","ktn_ge","CHF","fs"
"36227","","2017","","aufwand","ktn_ge","CHF","fs"
"36228","","2017","","aufwand","ktn_ge","CHF","fs"
"3624","","2017","","aufwand","ktn_ge","CHF","fs"
"3629","","2017","12433953","aufwand","ktn_ge","CHF","fs"
"3630","","2017","1e+06","aufwand","ktn_ge","CHF","fs"
"3631","","2017","126042275.06","aufwand","ktn_ge","CHF","fs"
"3632","","2017","1589730.05","aufwand","ktn_ge","CHF","fs"
"3633","","2017","14504414.9","aufwand","ktn_ge","CHF","fs"
"3634","","2017","1293237789.21","aufwand","ktn_ge","CHF","fs"
"3635","","2017","47917893.3","aufwand","ktn_ge","CHF","fs"
"3636","","2017","597224502.93","aufwand","ktn_ge","CHF","fs"
"3637","","2017","1561246288.03","aufwand","ktn_ge","CHF","fs"
"3638","","2017","234590655.44","aufwand","ktn_ge","CHF","fs"
"3639","","2017","37848755.35","aufwand","ktn_ge","CHF","fs"
"364","","2017","","aufwand","ktn_ge","CHF","fs"
"365","","2017","","aufwand","ktn_ge","CHF","fs"
"366","","2017","79802635.42","aufwand","ktn_ge","CHF","fs"
"369","","2017","3042250.1","aufwand","ktn_ge","CHF","fs"
"380","","2017","","aufwand","ktn_ge","CHF","fs"
"381","","2017","","aufwand","ktn_ge","CHF","fs"
"383","","2017","","aufwand","ktn_ge","CHF","fs"
"384","","2017","","aufwand","ktn_ge","CHF","fs"
"3860","","2017","","aufwand","ktn_ge","CHF","fs"
"3861","","2017","","aufwand","ktn_ge","CHF","fs"
"3862","","2017","","aufwand","ktn_ge","CHF","fs"
"3863","","2017","","aufwand","ktn_ge","CHF","fs"
"3864","","2017","","aufwand","ktn_ge","CHF","fs"
"3865","","2017","","aufwand","ktn_ge","CHF","fs"
"3866","","2017","","aufwand","ktn_ge","CHF","fs"
"3867","","2017","","aufwand","ktn_ge","CHF","fs"
"3868","","2017","","aufwand","ktn_ge","CHF","fs"
"387","","2017","","aufwand","ktn_ge","CHF","fs"
"389","","2017","","aufwand","ktn_ge","CHF","fs"
"4000","","2017","2584455766.59","ertrag","ktn_ge","CHF","fs"
"4001","","2017","894208104.06","ertrag","ktn_ge","CHF","fs"
"4002","","2017","741189268.03","ertrag","ktn_ge","CHF","fs"
"4008","","2017","7263392.18","ertrag","ktn_ge","CHF","fs"
"4009","","2017","","ertrag","ktn_ge","CHF","fs"
"4010","","2017","1093237932.64","ertrag","ktn_ge","CHF","fs"
"4011","","2017","322238760.68","ertrag","ktn_ge","CHF","fs"
"4012","","2017","","ertrag","ktn_ge","CHF","fs"
"4019","","2017","4748468.78","ertrag","ktn_ge","CHF","fs"
"4020","","2017","","ertrag","ktn_ge","CHF","fs"
"4021","","2017","222390014.59","ertrag","ktn_ge","CHF","fs"
"4022","","2017","47713399.05","ertrag","ktn_ge","CHF","fs"
"4023","","2017","216777817.86","ertrag","ktn_ge","CHF","fs"
"4024","","2017","151860582.97","ertrag","ktn_ge","CHF","fs"
"4025","","2017","10354139.02","ertrag","ktn_ge","CHF","fs"
"4030","","2017","108811897.2","ertrag","ktn_ge","CHF","fs"
"4031","","2017","2198045.1","ertrag","ktn_ge","CHF","fs"
"4032","","2017","","ertrag","ktn_ge","CHF","fs"
"4033","","2017","1209340.15","ertrag","ktn_ge","CHF","fs"
"4039","","2017","","ertrag","ktn_ge","CHF","fs"
"4040","","2017","","ertrag","ktn_ge","CHF","fs"
"4041","","2017","","ertrag","ktn_ge","CHF","fs"
"4042","","2017","","ertrag","ktn_ge","CHF","fs"
"4043","","2017","","ertrag","ktn_ge","CHF","fs"
"4044","","2017","","ertrag","ktn_ge","CHF","fs"
"4045","","2017","","ertrag","ktn_ge","CHF","fs"
"4046","","2017","","ertrag","ktn_ge","CHF","fs"
"4047","","2017","","ertrag","ktn_ge","CHF","fs"
"4049","","2017","","ertrag","ktn_ge","CHF","fs"
"4050","","2017","","ertrag","ktn_ge","CHF","fs"
"4051","","2017","","ertrag","ktn_ge","CHF","fs"
"4052","","2017","","ertrag","ktn_ge","CHF","fs"
"4053","","2017","","ertrag","ktn_ge","CHF","fs"
"4059","","2017","","ertrag","ktn_ge","CHF","fs"
"4060","","2017","","ertrag","ktn_ge","CHF","fs"
"4070","","2017","","ertrag","ktn_ge","CHF","fs"
"4071","","2017","","ertrag","ktn_ge","CHF","fs"
"4072","","2017","","ertrag","ktn_ge","CHF","fs"
"4079","","2017","","ertrag","ktn_ge","CHF","fs"
"410","","2017","296796.4","ertrag","ktn_ge","CHF","fs"
"411","","2017","66978214","ertrag","ktn_ge","CHF","fs"
"412","","2017","24611679.27","ertrag","ktn_ge","CHF","fs"
"413","","2017","38642046","ertrag","ktn_ge","CHF","fs"
