"arten","funk","jahr","value","dim","unit"
"100","","2019","508810495.12","bilanz","CHF"
"101","","2019","1372440941.11","bilanz","CHF"
"102","","2019","29929956.75","bilanz","CHF"
"104","","2019","99866736.41","bilanz","CHF"
"106","","2019","1117891.88","bilanz","CHF"
"107","","2019","314725455.63","bilanz","CHF"
"108","","2019","503665618.2","bilanz","CHF"
"109","","2019","55258.15","bilanz","CHF"
"140","","2019","1019923734.68","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","2370666.45","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","30963350.46","bilanz","CHF"
"145","","2019","105021580.15","bilanz","CHF"
"146","","2019","90778831.81","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","-18144220.92","bilanz","CHF"
"200","","2019","887506134.64","bilanz","CHF"
"201","","2019","380089238.43","bilanz","CHF"
"204","","2019","98689771.83","bilanz","CHF"
"205","","2019","20311889.66","bilanz","CHF"
"206","","2019","148840438.3","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","56242516.61","bilanz","CHF"
"209","","2019","9745245.4","bilanz","CHF"
"290","","2019","273289043.42","bilanz","CHF"
"292","","2019","","bilanz","CHF"
"293","","2019","145765990.78","bilanz","CHF"
"294","","2019","240508886.23","bilanz","CHF"
"295","","2019","81956611.12","bilanz","CHF"
"296","","2019","25416072.45","bilanz","CHF"
"298","","2019","18456363.9","bilanz","CHF"
"299","","2019","1674708093.11","bilanz","CHF"
"300","","2019","15335586.33","aufwand","CHF"
"301","","2019","293278707.4","aufwand","CHF"
"302","","2019","233322473.88","aufwand","CHF"
"303","","2019","880625.95","aufwand","CHF"
"304","","2019","2998359.9","aufwand","CHF"
"305","","2019","112069885.96","aufwand","CHF"
"306","","2019","4931458.7","aufwand","CHF"
"309","","2019","11283194.63","aufwand","CHF"
"310","","2019","23136062.82","aufwand","CHF"
"311","","2019","14769495.44","aufwand","CHF"
"312","","2019","13733982.68","aufwand","CHF"
"313","","2019","86095572.61","aufwand","CHF"
"314","","2019","49892852.53","aufwand","CHF"
"315","","2019","19658886.21","aufwand","CHF"
"316","","2019","18324220.59","aufwand","CHF"
"317","","2019","6414436.04","aufwand","CHF"
"318","","2019","9302262.26","aufwand","CHF"
"319","","2019","3531004.79","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","137275652.12","aufwand","CHF"
"338","","2019","","aufwand","CHF"
"340","","2019","-5582676.11","aufwand","CHF"
"341","","2019","24496.46","aufwand","CHF"
"342","","2019","51053.96","aufwand","CHF"
"343","","2019","4055966.88","aufwand","CHF"
"344","","2019","3247910.2","aufwand","CHF"
"349","","2019","461937.5","aufwand","CHF"
"350","","2019","","aufwand","CHF"
"351","","2019","2033790.48","aufwand","CHF"
"352","","2019","","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
