"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","499935914.18","bilanz","gdn_gr","CHF","fs"
"101","","2021","508850582","bilanz","gdn_gr","CHF","fs"
"102","","2021","37105233.83","bilanz","gdn_gr","CHF","fs"
"104","","2021","257875507.82","bilanz","gdn_gr","CHF","fs"
"106","","2021","6763864.7","bilanz","gdn_gr","CHF","fs"
"107","","2021","140306599.31","bilanz","gdn_gr","CHF","fs"
"108","","2021","1224673114.1","bilanz","gdn_gr","CHF","fs"
"109","","2021","243922.05","bilanz","gdn_gr","CHF","fs"
"140","","2021","1631369366.99","bilanz","gdn_gr","CHF","fs"
"141","","2021","","bilanz","gdn_gr","CHF","fs"
"142","","2021","23748698.39","bilanz","gdn_gr","CHF","fs"
"143","","2021","1","bilanz","gdn_gr","CHF","fs"
"144","","2021","69091869.45","bilanz","gdn_gr","CHF","fs"
"145","","2021","185306794.49","bilanz","gdn_gr","CHF","fs"
"146","","2021","83527400.54","bilanz","gdn_gr","CHF","fs"
"147","","2021","","bilanz","gdn_gr","CHF","fs"
"148","","2021","-47034272.51","bilanz","gdn_gr","CHF","fs"
"200","","2021","239788197.47","bilanz","gdn_gr","CHF","fs"
"201","","2021","49974684.11","bilanz","gdn_gr","CHF","fs"
"204","","2021","52343612.26","bilanz","gdn_gr","CHF","fs"
"205","","2021","8404752.12","bilanz","gdn_gr","CHF","fs"
"206","","2021","805419039.31","bilanz","gdn_gr","CHF","fs"
"207","","2021","","bilanz","gdn_gr","CHF","fs"
"208","","2021","30398656.73","bilanz","gdn_gr","CHF","fs"
"209","","2021","36796274.03","bilanz","gdn_gr","CHF","fs"
"290","","2021","646271935.38","bilanz","gdn_gr","CHF","fs"
"292","","2021","","bilanz","gdn_gr","CHF","fs"
"293","","2021","183006379.7","bilanz","gdn_gr","CHF","fs"
"294","","2021","","bilanz","gdn_gr","CHF","fs"
"295","","2021","2000","bilanz","gdn_gr","CHF","fs"
"296","","2021","","bilanz","gdn_gr","CHF","fs"
"298","","2021","","bilanz","gdn_gr","CHF","fs"
"299","","2021","2569359065.23","bilanz","gdn_gr","CHF","fs"
"empty","","2021","","er","gdn_gr","CHF","fs"
"empty","","2021","","er","gdn_gr","CHF","fs"
"empty","","2021","","er","gdn_gr","CHF","fs"
"empty","","2021","","er","gdn_gr","CHF","fs"
"300","","2021","16227096.81","aufwand","gdn_gr","CHF","fs"
"301","","2021","246579337.01","aufwand","gdn_gr","CHF","fs"
"302","","2021","206686917.94","aufwand","gdn_gr","CHF","fs"
"303","","2021","1344364.46","aufwand","gdn_gr","CHF","fs"
"304","","2021","1690653.55","aufwand","gdn_gr","CHF","fs"
"305","","2021","80853488.57","aufwand","gdn_gr","CHF","fs"
"306","","2021","620417.6","aufwand","gdn_gr","CHF","fs"
"309","","2021","6639997.7","aufwand","gdn_gr","CHF","fs"
"310","","2021","59622106.03","aufwand","gdn_gr","CHF","fs"
"311","","2021","19762078.84","aufwand","gdn_gr","CHF","fs"
"312","","2021","33292922.53","aufwand","gdn_gr","CHF","fs"
"313","","2021","163945089.9","aufwand","gdn_gr","CHF","fs"
