"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","21514644.7","bilanz","ktn_ai","CHF","fs"
"101","","2020","80531930.88","bilanz","ktn_ai","CHF","fs"
"102","","2020","1.1e+07","bilanz","ktn_ai","CHF","fs"
"104","","2020","596393.31","bilanz","ktn_ai","CHF","fs"
"106","","2020","73395.55","bilanz","ktn_ai","CHF","fs"
"107","","2020","30153628.65","bilanz","ktn_ai","CHF","fs"
"108","","2020","16070400","bilanz","ktn_ai","CHF","fs"
"109","","2020","","bilanz","ktn_ai","CHF","fs"
"140","","2020","36083703.98","bilanz","ktn_ai","CHF","fs"
"141","","2020","","bilanz","ktn_ai","CHF","fs"
"142","","2020","","bilanz","ktn_ai","CHF","fs"
"143","","2020","","bilanz","ktn_ai","CHF","fs"
"144","","2020","30388633.1","bilanz","ktn_ai","CHF","fs"
"145","","2020","1788256","bilanz","ktn_ai","CHF","fs"
"146","","2020","3625608.25","bilanz","ktn_ai","CHF","fs"
"147","","2020","","bilanz","ktn_ai","CHF","fs"
"148","","2020","-3388753.77","bilanz","ktn_ai","CHF","fs"
"200","","2020","26729599.32","bilanz","ktn_ai","CHF","fs"
"201","","2020","2250000","bilanz","ktn_ai","CHF","fs"
"204","","2020","7334656.08","bilanz","ktn_ai","CHF","fs"
"205","","2020","","bilanz","ktn_ai","CHF","fs"
"206","","2020","27748590.7","bilanz","ktn_ai","CHF","fs"
"207","","2020","","bilanz","ktn_ai","CHF","fs"
"208","","2020","320000","bilanz","ktn_ai","CHF","fs"
"209","","2020","2466215.05","bilanz","ktn_ai","CHF","fs"
"290","","2020","38525359.96","bilanz","ktn_ai","CHF","fs"
"292","","2020","","bilanz","ktn_ai","CHF","fs"
"293","","2020","30808480.45","bilanz","ktn_ai","CHF","fs"
"294","","2020","","bilanz","ktn_ai","CHF","fs"
"295","","2020","","bilanz","ktn_ai","CHF","fs"
"296","","2020","10645695","bilanz","ktn_ai","CHF","fs"
"298","","2020","","bilanz","ktn_ai","CHF","fs"
"299","","2020","81609244.09","bilanz","ktn_ai","CHF","fs"
"empty","","2020","","er","ktn_ai","CHF","fs"
"empty","","2020","","er","ktn_ai","CHF","fs"
"empty","","2020","","er","ktn_ai","CHF","fs"
"empty","","2020","","er","ktn_ai","CHF","fs"
"300","","2020","1380091.6","aufwand","ktn_ai","CHF","fs"
"301","","2020","21558989.33","aufwand","ktn_ai","CHF","fs"
"302","","2020","4312879.4","aufwand","ktn_ai","CHF","fs"
"303","","2020","","aufwand","ktn_ai","CHF","fs"
"304","","2020","138918.45","aufwand","ktn_ai","CHF","fs"
"305","","2020","5285377.38","aufwand","ktn_ai","CHF","fs"
"306","","2020","57424.6","aufwand","ktn_ai","CHF","fs"
"309","","2020","636966.03","aufwand","ktn_ai","CHF","fs"
"310","","2020","2778984.89","aufwand","ktn_ai","CHF","fs"
"311","","2020","1172559.85","aufwand","ktn_ai","CHF","fs"
"312","","2020","479089.75","aufwand","ktn_ai","CHF","fs"
"313","","2020","5394707.74","aufwand","ktn_ai","CHF","fs"
"314","","2020","3738381.13","aufwand","ktn_ai","CHF","fs"
"315","","2020","784582.05","aufwand","ktn_ai","CHF","fs"
"316","","2020","1084397.87","aufwand","ktn_ai","CHF","fs"
"317","","2020","186226.13","aufwand","ktn_ai","CHF","fs"
"318","","2020","-65823.2","aufwand","ktn_ai","CHF","fs"
"319","","2020","608757.35","aufwand","ktn_ai","CHF","fs"
"320","","2020","","aufwand","ktn_ai","CHF","fs"
"331","","2020","","aufwand","ktn_ai","CHF","fs"
"337","","2020","3821713.95","aufwand","ktn_ai","CHF","fs"
"338","","2020","","aufwand","ktn_ai","CHF","fs"
"340","","2020","","aufwand","ktn_ai","CHF","fs"
"341","","2020","","aufwand","ktn_ai","CHF","fs"
"342","","2020","","aufwand","ktn_ai","CHF","fs"
"343","","2020","47312.74","aufwand","ktn_ai","CHF","fs"
"344","","2020","178000","aufwand","ktn_ai","CHF","fs"
"349","","2020","","aufwand","ktn_ai","CHF","fs"
"350","","2020","67926.8","aufwand","ktn_ai","CHF","fs"
"351","","2020","2301462.72","aufwand","ktn_ai","CHF","fs"
"352","","2020","","aufwand","ktn_ai","CHF","fs"
"3600","","2020","","aufwand","ktn_ai","CHF","fs"
"36010","","2020","","aufwand","ktn_ai","CHF","fs"
"36011","","2020","","aufwand","ktn_ai","CHF","fs"
"36012","","2020","","aufwand","ktn_ai","CHF","fs"
"36013","","2020","","aufwand","ktn_ai","CHF","fs"
"36014","","2020","","aufwand","ktn_ai","CHF","fs"
"36015","","2020","","aufwand","ktn_ai","CHF","fs"
"36016","","2020","","aufwand","ktn_ai","CHF","fs"
"36017","","2020","","aufwand","ktn_ai","CHF","fs"
"36018","","2020","","aufwand","ktn_ai","CHF","fs"
"36019","","2020","","aufwand","ktn_ai","CHF","fs"
"36021","","2020","446276.39","aufwand","ktn_ai","CHF","fs"
"36022","","2020","","aufwand","ktn_ai","CHF","fs"
"36023","","2020","","aufwand","ktn_ai","CHF","fs"
"36029","","2020","","aufwand","ktn_ai","CHF","fs"
"3603","","2020","","aufwand","ktn_ai","CHF","fs"
"3604","","2020","","aufwand","ktn_ai","CHF","fs"
"3610","","2020","","aufwand","ktn_ai","CHF","fs"
"3611","","2020","4791267.73","aufwand","ktn_ai","CHF","fs"
"3612","","2020","130830","aufwand","ktn_ai","CHF","fs"
"3613","","2020","","aufwand","ktn_ai","CHF","fs"
"3614","","2020","","aufwand","ktn_ai","CHF","fs"
"3620","","2020","","aufwand","ktn_ai","CHF","fs"
"36211","","2020","","aufwand","ktn_ai","CHF","fs"
"36212","","2020","","aufwand","ktn_ai","CHF","fs"
"36213","","2020","","aufwand","ktn_ai","CHF","fs"
"36214","","2020","177257","aufwand","ktn_ai","CHF","fs"
"36215","","2020","","aufwand","ktn_ai","CHF","fs"
"36216","","2020","","aufwand","ktn_ai","CHF","fs"
"36217","","2020","","aufwand","ktn_ai","CHF","fs"
"36219","","2020","","aufwand","ktn_ai","CHF","fs"
"36221","","2020","","aufwand","ktn_ai","CHF","fs"
"36222","","2020","","aufwand","ktn_ai","CHF","fs"
"36223","","2020","","aufwand","ktn_ai","CHF","fs"
"36224","","2020","","aufwand","ktn_ai","CHF","fs"
"36225","","2020","4120713","aufwand","ktn_ai","CHF","fs"
"36226","","2020","","aufwand","ktn_ai","CHF","fs"
"36227","","2020","","aufwand","ktn_ai","CHF","fs"
"36228","","2020","","aufwand","ktn_ai","CHF","fs"
"3624","","2020","","aufwand","ktn_ai","CHF","fs"
"3629","","2020","","aufwand","ktn_ai","CHF","fs"
"3630","","2020","","aufwand","ktn_ai","CHF","fs"
"3631","","2020","6492775.82","aufwand","ktn_ai","CHF","fs"
"3632","","2020","3527760.85","aufwand","ktn_ai","CHF","fs"
"3633","","2020","428234.6","aufwand","ktn_ai","CHF","fs"
"3634","","2020","21582313.63","aufwand","ktn_ai","CHF","fs"
"3635","","2020","27018192.62","aufwand","ktn_ai","CHF","fs"
"3636","","2020","12026220.8","aufwand","ktn_ai","CHF","fs"
"3637","","2020","14485455.51","aufwand","ktn_ai","CHF","fs"
"3638","","2020","","aufwand","ktn_ai","CHF","fs"
"3639","","2020","451634","aufwand","ktn_ai","CHF","fs"
"364","","2020","","aufwand","ktn_ai","CHF","fs"
"365","","2020","","aufwand","ktn_ai","CHF","fs"
"366","","2020","639813.22","aufwand","ktn_ai","CHF","fs"
"369","","2020","","aufwand","ktn_ai","CHF","fs"
"380","","2020","943068.2","aufwand","ktn_ai","CHF","fs"
"381","","2020","239670.61","aufwand","ktn_ai","CHF","fs"
"383","","2020","-377000","aufwand","ktn_ai","CHF","fs"
"384","","2020","","aufwand","ktn_ai","CHF","fs"
"3860","","2020","","aufwand","ktn_ai","CHF","fs"
"3861","","2020","","aufwand","ktn_ai","CHF","fs"
"3862","","2020","","aufwand","ktn_ai","CHF","fs"
"3863","","2020","","aufwand","ktn_ai","CHF","fs"
"3864","","2020","2e+06","aufwand","ktn_ai","CHF","fs"
"3865","","2020","","aufwand","ktn_ai","CHF","fs"
"3866","","2020","271152.83","aufwand","ktn_ai","CHF","fs"
"3867","","2020","","aufwand","ktn_ai","CHF","fs"
"3868","","2020","","aufwand","ktn_ai","CHF","fs"
"387","","2020","","aufwand","ktn_ai","CHF","fs"
"389","","2020","4900000","aufwand","ktn_ai","CHF","fs"
"4000","","2020","37618612.42","ertrag","ktn_ai","CHF","fs"
"4001","","2020","8845892.55","ertrag","ktn_ai","CHF","fs"
"4002","","2020","1305110.6","ertrag","ktn_ai","CHF","fs"
"4008","","2020","","ertrag","ktn_ai","CHF","fs"
"4009","","2020","","ertrag","ktn_ai","CHF","fs"
"4010","","2020","2731426.35","ertrag","ktn_ai","CHF","fs"
"4011","","2020","495819.1","ertrag","ktn_ai","CHF","fs"
"4012","","2020","","ertrag","ktn_ai","CHF","fs"
"4019","","2020","","ertrag","ktn_ai","CHF","fs"
"4020","","2020","","ertrag","ktn_ai","CHF","fs"
"4021","","2020","","ertrag","ktn_ai","CHF","fs"
"4022","","2020","4494376.1","ertrag","ktn_ai","CHF","fs"
"4023","","2020","2231381.93","ertrag","ktn_ai","CHF","fs"
"4024","","2020","1267716","ertrag","ktn_ai","CHF","fs"
"4025","","2020","","ertrag","ktn_ai","CHF","fs"
"4030","","2020","6761145","ertrag","ktn_ai","CHF","fs"
"4031","","2020","","ertrag","ktn_ai","CHF","fs"
"4032","","2020","","ertrag","ktn_ai","CHF","fs"
"4033","","2020","","ertrag","ktn_ai","CHF","fs"
"4039","","2020","832772.1","ertrag","ktn_ai","CHF","fs"
"4040","","2020","","ertrag","ktn_ai","CHF","fs"
"4041","","2020","","ertrag","ktn_ai","CHF","fs"
"4042","","2020","","ertrag","ktn_ai","CHF","fs"
"4043","","2020","","ertrag","ktn_ai","CHF","fs"
"4044","","2020","","ertrag","ktn_ai","CHF","fs"
"4045","","2020","","ertrag","ktn_ai","CHF","fs"
"4046","","2020","","ertrag","ktn_ai","CHF","fs"
"4047","","2020","","ertrag","ktn_ai","CHF","fs"
"4049","","2020","","ertrag","ktn_ai","CHF","fs"
"4050","","2020","","ertrag","ktn_ai","CHF","fs"
"4051","","2020","","ertrag","ktn_ai","CHF","fs"
"4052","","2020","","ertrag","ktn_ai","CHF","fs"
"4053","","2020","","ertrag","ktn_ai","CHF","fs"
"4059","","2020","","ertrag","ktn_ai","CHF","fs"
"4060","","2020","","ertrag","ktn_ai","CHF","fs"
"4070","","2020","","ertrag","ktn_ai","CHF","fs"
"4071","","2020","","ertrag","ktn_ai","CHF","fs"
"4072","","2020","","ertrag","ktn_ai","CHF","fs"
"4079","","2020","","ertrag","ktn_ai","CHF","fs"
"410","","2020","151371.85","ertrag","ktn_ai","CHF","fs"
"411","","2020","5050310","ertrag","ktn_ai","CHF","fs"
"412","","2020","300","ertrag","ktn_ai","CHF","fs"
"413","","2020","886129","ertrag","ktn_ai","CHF","fs"
"420","","2020","148800","ertrag","ktn_ai","CHF","fs"
"421","","2020","4863543.43","ertrag","ktn_ai","CHF","fs"
"422","","2020","","ertrag","ktn_ai","CHF","fs"
"423","","2020","321604.1","ertrag","ktn_ai","CHF","fs"
"424","","2020","2204434.9","ertrag","ktn_ai","CHF","fs"
"425","","2020","348789.8","ertrag","ktn_ai","CHF","fs"
"426","","2020","2327502.51","ertrag","ktn_ai","CHF","fs"
"427","","2020","338487.04","ertrag","ktn_ai","CHF","fs"
"429","","2020","130044.1","ertrag","ktn_ai","CHF","fs"
"430","","2020","224930.3","ertrag","ktn_ai","CHF","fs"
"431","","2020","3364.1","ertrag","ktn_ai","CHF","fs"
"432","","2020","","ertrag","ktn_ai","CHF","fs"
"439","","2020","209508.45","ertrag","ktn_ai","CHF","fs"
"440","","2020","156526.84","ertrag","ktn_ai","CHF","fs"
"441","","2020","95470","ertrag","ktn_ai","CHF","fs"
"442","","2020","","ertrag","ktn_ai","CHF","fs"
"443","","2020","259157.9","ertrag","ktn_ai","CHF","fs"
"444","","2020","","ertrag","ktn_ai","CHF","fs"
"445","","2020","600","ertrag","ktn_ai","CHF","fs"
"446","","2020","8214997.09","ertrag","ktn_ai","CHF","fs"
"447","","2020","2443455.5","ertrag","ktn_ai","CHF","fs"
"448","","2020","85729.5","ertrag","ktn_ai","CHF","fs"
"449","","2020","","ertrag","ktn_ai","CHF","fs"
"450","","2020","","ertrag","ktn_ai","CHF","fs"
"451","","2020","971846.9","ertrag","ktn_ai","CHF","fs"
"452","","2020","","ertrag","ktn_ai","CHF","fs"
"46000","","2020","8127211.73","ertrag","ktn_ai","CHF","fs"
"46001","","2020","607970","ertrag","ktn_ai","CHF","fs"
"46002","","2020","76788.72","ertrag","ktn_ai","CHF","fs"
"46003","","2020","50579","ertrag","ktn_ai","CHF","fs"
"46004","","2020","","ertrag","ktn_ai","CHF","fs"
"46005","","2020","1762686","ertrag","ktn_ai","CHF","fs"
"46006","","2020","","ertrag","ktn_ai","CHF","fs"
"46007","","2020","","ertrag","ktn_ai","CHF","fs"
"46008","","2020","1639069.5","ertrag","ktn_ai","CHF","fs"
"46009","","2020","-6000","ertrag","ktn_ai","CHF","fs"
"46010","","2020","","ertrag","ktn_ai","CHF","fs"
"46011","","2020","","ertrag","ktn_ai","CHF","fs"
"46012","","2020","","ertrag","ktn_ai","CHF","fs"
"46019","","2020","","ertrag","ktn_ai","CHF","fs"
"4603","","2020","","ertrag","ktn_ai","CHF","fs"
"4604","","2020","","ertrag","ktn_ai","CHF","fs"
"4610","","2020","4044161.3","ertrag","ktn_ai","CHF","fs"
"4611","","2020","122000","ertrag","ktn_ai","CHF","fs"
"4612","","2020","935471.15","ertrag","ktn_ai","CHF","fs"
"4613","","2020","377340.5","ertrag","ktn_ai","CHF","fs"
"4614","","2020","454","ertrag","ktn_ai","CHF","fs"
"46201","","2020","2367899","ertrag","ktn_ai","CHF","fs"
"46202","","2020","","ertrag","ktn_ai","CHF","fs"
"46203","","2020","8618111","ertrag","ktn_ai","CHF","fs"
"46204","","2020","","ertrag","ktn_ai","CHF","fs"
"46209","","2020","","ertrag","ktn_ai","CHF","fs"
"46211","","2020","1578599","ertrag","ktn_ai","CHF","fs"
"46212","","2020","","ertrag","ktn_ai","CHF","fs"
"46213","","2020","","ertrag","ktn_ai","CHF","fs"
"46214","","2020","","ertrag","ktn_ai","CHF","fs"
"46215","","2020","","ertrag","ktn_ai","CHF","fs"
"46216","","2020","","ertrag","ktn_ai","CHF","fs"
"46217","","2020","","ertrag","ktn_ai","CHF","fs"
"46225","","2020","","ertrag","ktn_ai","CHF","fs"
