"arten","funk","jahr","value","dim","unit"
"100","","2021","35231185104.91","bilanz","CHF"
"101","","2021","51541004780.54","bilanz","CHF"
"102","","2021","5902569786.6","bilanz","CHF"
"104","","2021","21468484422.33","bilanz","CHF"
"106","","2021","409163085.43","bilanz","CHF"
"107","","2021","57539315392.55","bilanz","CHF"
"108","","2021","34301401317.88","bilanz","CHF"
"109","","2021","503967063.99","bilanz","CHF"
"140","","2021","176191268074.47","bilanz","CHF"
"141","","2021","3874985309.8","bilanz","CHF"
"142","","2021","1820649439.34","bilanz","CHF"
"143","","2021","1170316394.73","bilanz","CHF"
"144","","2021","12325858463.97","bilanz","CHF"
"145","","2021","88677095268.69","bilanz","CHF"
"146","","2021","10698938654.06","bilanz","CHF"
"147","","2021","","bilanz","CHF"
"148","","2021","-9656973743.97","bilanz","CHF"
"200","","2021","54249543278.45","bilanz","CHF"
"201","","2021","28937710435.18","bilanz","CHF"
"204","","2021","27798982357.61","bilanz","CHF"
"205","","2021","6166431996.9","bilanz","CHF"
"206","","2021","155109306711.14","bilanz","CHF"
"207","","2021","","bilanz","CHF"
"208","","2021","47456639862.6","bilanz","CHF"
"209","","2021","14186742364.88","bilanz","CHF"
"290","","2021","70470770336.63","bilanz","CHF"
"292","","2021","9805994183.96","bilanz","CHF"
"293","","2021","8243839662.01","bilanz","CHF"
"294","","2021","1638865660.51","bilanz","CHF"
"295","","2021","9129957984.42","bilanz","CHF"
"296","","2021","-1080279083.68","bilanz","CHF"
"298","","2021","1889578509.76","bilanz","CHF"
"299","","2021","57995144554.97","bilanz","CHF"
"300","","2021","919397559.71","aufwand","CHF"
"301","","2021","28266816702.52","aufwand","CHF"
"302","","2021","16204371786.6","aufwand","CHF"
"303","","2021","248509659.58","aufwand","CHF"
"304","","2021","351972434","aufwand","CHF"
"305","","2021","9382074647.87999","aufwand","CHF"
"306","","2021","192221863.81","aufwand","CHF"
"309","","2021","497403736.99","aufwand","CHF"
"310","","2021","3086927725.07","aufwand","CHF"
"311","","2021","1180993404.99","aufwand","CHF"
"312","","2021","1408473005.45","aufwand","CHF"
"313","","2021","10585071591.79","aufwand","CHF"
"314","","2021","3689232099.73","aufwand","CHF"
"315","","2021","1331421776.45","aufwand","CHF"
"316","","2021","2022541730.08","aufwand","CHF"
"317","","2021","457214482.06","aufwand","CHF"
"318","","2021","1284440271.31","aufwand","CHF"
"319","","2021","1492097085.77","aufwand","CHF"
"320","","2021","1110500237.73","aufwand","CHF"
"331","","2021","","aufwand","CHF"
"337","","2021","10116712912.21","aufwand","CHF"
"338","","2021","518039922.5","aufwand","CHF"
"340","","2021","1805140604.93","aufwand","CHF"
"341","","2021","65884449.92","aufwand","CHF"
"342","","2021","50636449.68","aufwand","CHF"
"343","","2021","350971172.82","aufwand","CHF"
"344","","2021","326753463.61","aufwand","CHF"
"349","","2021","99453533.82","aufwand","CHF"
"350","","2021","544109553.59","aufwand","CHF"
"351","","2021","1674947832.38","aufwand","CHF"
"352","","2021","607247787.28","aufwand","CHF"
"3600","","2021","","aufwand","CHF"
"36010","","2021","","aufwand","CHF"
"36011","","2021","","aufwand","CHF"
"36012","","2021","","aufwand","CHF"
"36013","","2021","","aufwand","CHF"
"36014","","2021","","aufwand","CHF"
"36015","","2021","","aufwand","CHF"
"36016","","2021","","aufwand","CHF"
"36017","","2021","","aufwand","CHF"
"36018","","2021","","aufwand","CHF"
"36019","","2021","","aufwand","CHF"
"36021","","2021","","aufwand","CHF"
"36022","","2021","","aufwand","CHF"
"36023","","2021","","aufwand","CHF"
"36029","","2021","","aufwand","CHF"
"3603","","2021","","aufwand","CHF"
"3604","","2021","1081145","aufwand","CHF"
"3610","","2021","","aufwand","CHF"
"3611","","2021","","aufwand","CHF"
"3612","","2021","","aufwand","CHF"
"3613","","2021","","aufwand","CHF"
"3614","","2021","779613129.46","aufwand","CHF"
"3620","","2021","","aufwand","CHF"
"36211","","2021","","aufwand","CHF"
"36212","","2021","","aufwand","CHF"
"36213","","2021","","aufwand","CHF"
"36214","","2021","","aufwand","CHF"
"36215","","2021","","aufwand","CHF"
"36216","","2021","","aufwand","CHF"
"36217","","2021","","aufwand","CHF"
"36219","","2021","","aufwand","CHF"
"36221","","2021","","aufwand","CHF"
"36222","","2021","","aufwand","CHF"
"36223","","2021","","aufwand","CHF"
"36224","","2021","","aufwand","CHF"
"36225","","2021","","aufwand","CHF"
"36226","","2021","","aufwand","CHF"
"36227","","2021","","aufwand","CHF"
"36228","","2021","","aufwand","CHF"
"3624","","2021","","aufwand","CHF"
"3629","","2021","","aufwand","CHF"
"3630","","2021","","aufwand","CHF"
"3631","","2021","","aufwand","CHF"
"3632","","2021","","aufwand","CHF"
"3633","","2021","","aufwand","CHF"
"3634","","2021","15078015147.17","aufwand","CHF"
"3635","","2021","8479349364.21","aufwand","CHF"
"3636","","2021","11836395708.78","aufwand","CHF"
"3637","","2021","83113829586.03","aufwand","CHF"
"3638","","2021","3642486921.81","aufwand","CHF"
"3639","","2021","383773764.09","aufwand","CHF"
"364","","2021","152209260.99","aufwand","CHF"
"365","","2021","217957999.54","aufwand","CHF"
"366","","2021","7778597392.41","aufwand","CHF"
"369","","2021","882174831.79","aufwand","CHF"
"380","","2021","89306284.17","aufwand","CHF"
"381","","2021","1265356114.28","aufwand","CHF"
"383","","2021","534345912.66","aufwand","CHF"
"384","","2021","36318294.47","aufwand","CHF"
"3860","","2021","","aufwand","CHF"
"3861","","2021","","aufwand","CHF"
"3862","","2021","","aufwand","CHF"
"3863","","2021","","aufwand","CHF"
"3864","","2021","648707258.48","aufwand","CHF"
"3865","","2021","6507621338.08","aufwand","CHF"
"3866","","2021","613702442.44","aufwand","CHF"
"3867","","2021","6407768717.34","aufwand","CHF"
"3868","","2021","271902846.25","aufwand","CHF"
"387","","2021","45118421.05","aufwand","CHF"
"389","","2021","1770902800.51","aufwand","CHF"
"4000","","2021","59384164302.74","ertrag","CHF"
"4001","","2021","8703171700.28","ertrag","CHF"
"4002","","2021","4195752767.11","ertrag","CHF"
"4008","","2021","127613485.53","ertrag","CHF"
"4009","","2021","354383824.77","ertrag","CHF"
"4010","","2021","22875807696.53","ertrag","CHF"
"4011","","2021","1595768842.69","ertrag","CHF"
"4012","","2021","","ertrag","CHF"
"4019","","2021","284537422.88","ertrag","CHF"
"4020","","2021","4900137189.23","ertrag","CHF"
"4021","","2021","1413805728.35","ertrag","CHF"
"4022","","2021","3399166730.07","ertrag","CHF"
"4023","","2021","1719272210.14","ertrag","CHF"
"4024","","2021","1366390780.86","ertrag","CHF"
"4025","","2021","273550049.13","ertrag","CHF"
"4030","","2021","2347319231.95","ertrag","CHF"
"4031","","2021","36673099.2","ertrag","CHF"
"4032","","2021","28244761.4","ertrag","CHF"
"4033","","2021","63678548.22","ertrag","CHF"
"4039","","2021","95517051.64","ertrag","CHF"
"4040","","2021","23538542917.28","ertrag","CHF"
"4041","","2021","2607799053.1","ertrag","CHF"
"4042","","2021","2685989576.91","ertrag","CHF"
"4043","","2021","1783609380.61","ertrag","CHF"
"4044","","2021","16420288.26","ertrag","CHF"
"4045","","2021","2148896707.43","ertrag","CHF"
"4046","","2021","106937035.14","ertrag","CHF"
"4047","","2021","281602291.42","ertrag","CHF"
"4049","","2021","1288250477.32","ertrag","CHF"
"4050","","2021","310111044.32","ertrag","CHF"
"4051","","2021","357346329.23","ertrag","CHF"
"4052","","2021","1614169411.19","ertrag","CHF"
"4053","","2021","","ertrag","CHF"
"4059","","2021","","ertrag","CHF"
"4060","","2021","1276965272.6","ertrag","CHF"
"4070","","2021","1346707853.9","ertrag","CHF"
"4071","","2021","2736023.85","ertrag","CHF"
"4072","","2021","50663593549.01","ertrag","CHF"
"4079","","2021","1403332697.25","ertrag","CHF"
"410","","2021","39117768.11","ertrag","CHF"
"411","","2021","6e+09","ertrag","CHF"
"412","","2021","1246349505.74","ertrag","CHF"
"413","","2021","543581143.18","ertrag","CHF"
"420","","2021","472504690.57","ertrag","CHF"
"421","","2021","2905747453.84","ertrag","CHF"
"422","","2021","333839913.59","ertrag","CHF"
"423","","2021","922196180.66","ertrag","CHF"
"424","","2021","5851496508.27","ertrag","CHF"
"425","","2021","1164874375.09","ertrag","CHF"
"426","","2021","4904032456.41","ertrag","CHF"
"427","","2021","953091816.3","ertrag","CHF"
"429","","2021","686743603.84","ertrag","CHF"
"430","","2021","439593147.39","ertrag","CHF"
"431","","2021","355869889.83","ertrag","CHF"
"432","","2021","-3053250.59","ertrag","CHF"
"439","","2021","2606207258.75","ertrag","CHF"
"440","","2021","1105834974.42","ertrag","CHF"
"441","","2021","864325119.86","ertrag","CHF"
"442","","2021","351324645.19","ertrag","CHF"
"443","","2021","1114788363.11","ertrag","CHF"
"444","","2021","1819597933.89","ertrag","CHF"
"445","","2021","118762001.28","ertrag","CHF"
"446","","2021","2338689636.9","ertrag","CHF"
"447","","2021","1498174847.31","ertrag","CHF"
"448","","2021","42623255.27","ertrag","CHF"
"449","","2021","36637943.61","ertrag","CHF"
"450","","2021","452838229.45","ertrag","CHF"
