"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","1109830406.47","bilanz","gdn_ag","CHF","fs"
"101","","2020","885639596.57","bilanz","gdn_ag","CHF","fs"
"102","","2020","35323267.81","bilanz","gdn_ag","CHF","fs"
"104","","2020","128146387.72","bilanz","gdn_ag","CHF","fs"
"106","","2020","3248678.94","bilanz","gdn_ag","CHF","fs"
"107","","2020","393436878.63","bilanz","gdn_ag","CHF","fs"
"108","","2020","1197109384.83","bilanz","gdn_ag","CHF","fs"
"109","","2020","","bilanz","gdn_ag","CHF","fs"
"140","","2020","8711214795.28","bilanz","gdn_ag","CHF","fs"
"141","","2020","","bilanz","gdn_ag","CHF","fs"
"142","","2020","88752399.34","bilanz","gdn_ag","CHF","fs"
"143","","2020","","bilanz","gdn_ag","CHF","fs"
"144","","2020","93360963.1","bilanz","gdn_ag","CHF","fs"
"145","","2020","348006114.32","bilanz","gdn_ag","CHF","fs"
"146","","2020","900266011.98","bilanz","gdn_ag","CHF","fs"
"147","","2020","","bilanz","gdn_ag","CHF","fs"
"148","","2020","","bilanz","gdn_ag","CHF","fs"
"200","","2020","1049970987.8","bilanz","gdn_ag","CHF","fs"
"201","","2020","328859441.42","bilanz","gdn_ag","CHF","fs"
"204","","2020","127355882.71","bilanz","gdn_ag","CHF","fs"
"205","","2020","19591615.97","bilanz","gdn_ag","CHF","fs"
"206","","2020","1924144819.44","bilanz","gdn_ag","CHF","fs"
"207","","2020","","bilanz","gdn_ag","CHF","fs"
"208","","2020","43419799.8","bilanz","gdn_ag","CHF","fs"
"209","","2020","108582239.93","bilanz","gdn_ag","CHF","fs"
"290","","2020","2467813363.08","bilanz","gdn_ag","CHF","fs"
"292","","2020","13513863.89","bilanz","gdn_ag","CHF","fs"
"293","","2020","28969008.7","bilanz","gdn_ag","CHF","fs"
"294","","2020","","bilanz","gdn_ag","CHF","fs"
"295","","2020","3749458426.13","bilanz","gdn_ag","CHF","fs"
"296","","2020","31770599.46","bilanz","gdn_ag","CHF","fs"
"298","","2020","","bilanz","gdn_ag","CHF","fs"
"299","","2020","4000884836.66","bilanz","gdn_ag","CHF","fs"
"empty","","2020","","er","gdn_ag","CHF","fs"
"empty","","2020","","er","gdn_ag","CHF","fs"
"empty","","2020","","er","gdn_ag","CHF","fs"
"empty","","2020","","er","gdn_ag","CHF","fs"
"300","","2020","36172582.25","aufwand","gdn_ag","CHF","fs"
"301","","2020","500547402.38","aufwand","gdn_ag","CHF","fs"
"302","","2020","77103382.1","aufwand","gdn_ag","CHF","fs"
"303","","2020","596681.5","aufwand","gdn_ag","CHF","fs"
"304","","2020","1722021.6","aufwand","gdn_ag","CHF","fs"
"305","","2020","105667625.67","aufwand","gdn_ag","CHF","fs"
"306","","2020","2414535.25","aufwand","gdn_ag","CHF","fs"
"309","","2020","11467279.92","aufwand","gdn_ag","CHF","fs"
"310","","2020","136800629.51","aufwand","gdn_ag","CHF","fs"
"311","","2020","41593437.91","aufwand","gdn_ag","CHF","fs"
"312","","2020","70585183.47","aufwand","gdn_ag","CHF","fs"
"313","","2020","303335981.42","aufwand","gdn_ag","CHF","fs"
"314","","2020","131676011.5","aufwand","gdn_ag","CHF","fs"
"315","","2020","35757295.63","aufwand","gdn_ag","CHF","fs"
"316","","2020","35875803.56","aufwand","gdn_ag","CHF","fs"
"317","","2020","19808463.36","aufwand","gdn_ag","CHF","fs"
"318","","2020","8527266.53","aufwand","gdn_ag","CHF","fs"
"319","","2020","14641273.19","aufwand","gdn_ag","CHF","fs"
"320","","2020","","aufwand","gdn_ag","CHF","fs"
