"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","45271177.77","bilanz","ktn_gr","CHF","fs"
"101","","2021","574741439.22","bilanz","ktn_gr","CHF","fs"
"102","","2021","626947380.85","bilanz","ktn_gr","CHF","fs"
"104","","2021","77475354.83","bilanz","ktn_gr","CHF","fs"
"106","","2021","5637786.39","bilanz","ktn_gr","CHF","fs"
"107","","2021","1953842788.16","bilanz","ktn_gr","CHF","fs"
"108","","2021","91112422","bilanz","ktn_gr","CHF","fs"
"109","","2021","3015511.34","bilanz","ktn_gr","CHF","fs"
"140","","2021","640239729.72","bilanz","ktn_gr","CHF","fs"
"141","","2021","","bilanz","ktn_gr","CHF","fs"
"142","","2021","26294767.11","bilanz","ktn_gr","CHF","fs"
"143","","2021","","bilanz","ktn_gr","CHF","fs"
"144","","2021","209546905.74","bilanz","ktn_gr","CHF","fs"
"145","","2021","300891330","bilanz","ktn_gr","CHF","fs"
"146","","2021","","bilanz","ktn_gr","CHF","fs"
"147","","2021","","bilanz","ktn_gr","CHF","fs"
"148","","2021","","bilanz","ktn_gr","CHF","fs"
"200","","2021","459864114.6","bilanz","ktn_gr","CHF","fs"
"201","","2021","380157339.47","bilanz","ktn_gr","CHF","fs"
"204","","2021","278864023.98","bilanz","ktn_gr","CHF","fs"
"205","","2021","20450435.64","bilanz","ktn_gr","CHF","fs"
"206","","2021","455675690.65","bilanz","ktn_gr","CHF","fs"
"207","","2021","","bilanz","ktn_gr","CHF","fs"
"208","","2021","43567611","bilanz","ktn_gr","CHF","fs"
"209","","2021","64980066.86","bilanz","ktn_gr","CHF","fs"
"290","","2021","233975130.93","bilanz","ktn_gr","CHF","fs"
"292","","2021","","bilanz","ktn_gr","CHF","fs"
"293","","2021","264387070.45","bilanz","ktn_gr","CHF","fs"
"294","","2021","","bilanz","ktn_gr","CHF","fs"
"295","","2021","","bilanz","ktn_gr","CHF","fs"
"296","","2021","","bilanz","ktn_gr","CHF","fs"
"298","","2021","","bilanz","ktn_gr","CHF","fs"
"299","","2021","2353095109.55","bilanz","ktn_gr","CHF","fs"
"empty","","2021","","er","ktn_gr","CHF","fs"
"empty","","2021","","er","ktn_gr","CHF","fs"
"empty","","2021","","er","ktn_gr","CHF","fs"
"empty","","2021","","er","ktn_gr","CHF","fs"
"300","","2021","10538312.88","aufwand","ktn_gr","CHF","fs"
"301","","2021","315960198.71","aufwand","ktn_gr","CHF","fs"
"302","","2021","68416201.55","aufwand","ktn_gr","CHF","fs"
"303","","2021","","aufwand","ktn_gr","CHF","fs"
"304","","2021","862643.32","aufwand","ktn_gr","CHF","fs"
"305","","2021","66556501.64","aufwand","ktn_gr","CHF","fs"
"306","","2021","10871280","aufwand","ktn_gr","CHF","fs"
