"arten","funk","jahr","value","dim","unit"
"100","","2022","38455176.82","bilanz","CHF"
"101","","2022","480268874.96","bilanz","CHF"
"102","","2022","479891809","bilanz","CHF"
"104","","2022","44479228.59","bilanz","CHF"
"106","","2022","6065668.14","bilanz","CHF"
"107","","2022","2324588216.53","bilanz","CHF"
"108","","2022","97145921","bilanz","CHF"
"109","","2022","2890159.78","bilanz","CHF"
"140","","2022","634166220.52","bilanz","CHF"
"141","","2022","","bilanz","CHF"
"142","","2022","28505346.3","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","206096316.97","bilanz","CHF"
"145","","2022","300891330","bilanz","CHF"
"146","","2022","","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","480892443.51","bilanz","CHF"
"201","","2022","205863543.2","bilanz","CHF"
"204","","2022","272660877.34","bilanz","CHF"
"205","","2022","18965693.53","bilanz","CHF"
"206","","2022","451251245.69","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","41040040","bilanz","CHF"
"209","","2022","66899598.09","bilanz","CHF"
"290","","2022","232225917.05","bilanz","CHF"
"292","","2022","","bilanz","CHF"
"293","","2022","316091124.81","bilanz","CHF"
"294","","2022","","bilanz","CHF"
"295","","2022","","bilanz","CHF"
"296","","2022","","bilanz","CHF"
"298","","2022","","bilanz","CHF"
"299","","2022","2557553785.39","bilanz","CHF"
"300","","2022","11584354.26","aufwand","CHF"
"301","","2022","318141547.41","aufwand","CHF"
"302","","2022","69171582.83","aufwand","CHF"
"303","","2022","","aufwand","CHF"
"304","","2022","14870.75","aufwand","CHF"
"305","","2022","76589904.01","aufwand","CHF"
"306","","2022","807210.05","aufwand","CHF"
"309","","2022","5312960.5","aufwand","CHF"
"310","","2022","21587976.96","aufwand","CHF"
"311","","2022","14527944.12","aufwand","CHF"
"312","","2022","8268301.53","aufwand","CHF"
"313","","2022","127139317.59","aufwand","CHF"
"314","","2022","103645260.71","aufwand","CHF"
"315","","2022","16907162.4","aufwand","CHF"
"316","","2022","16387804.34","aufwand","CHF"
"317","","2022","5580819.13","aufwand","CHF"
"318","","2022","9126740.2","aufwand","CHF"
"319","","2022","10648644.99","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","87579040.94","aufwand","CHF"
"338","","2022","47599.98","aufwand","CHF"
"340","","2022","1055182.68","aufwand","CHF"
"341","","2022","1871766.37","aufwand","CHF"
"342","","2022","540475.4","aufwand","CHF"
"343","","2022","768029.26","aufwand","CHF"
