"arten","funk","jahr","value","dim","unit"
"100","","2015","265916238.31","bilanz","CHF"
"101","","2015","206989825.47","bilanz","CHF"
"102","","2015","16039415.15","bilanz","CHF"
"104","","2015","241771222.42","bilanz","CHF"
"106","","2015","","bilanz","CHF"
"107","","2015","187585835.01","bilanz","CHF"
"108","","2015","129709148.26","bilanz","CHF"
"109","","2015","","bilanz","CHF"
"140","","2015","1363336331.43","bilanz","CHF"
"141","","2015","513169.08","bilanz","CHF"
"142","","2015","3775786.48","bilanz","CHF"
"143","","2015","279598100.51","bilanz","CHF"
"144","","2015","4e+06","bilanz","CHF"
"145","","2015","47984103.16","bilanz","CHF"
"146","","2015","10018425.15","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","205461186.75","bilanz","CHF"
"201","","2015","58866228.73","bilanz","CHF"
"204","","2015","74396847.07","bilanz","CHF"
"205","","2015","530240.27","bilanz","CHF"
"206","","2015","1433878927.54","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","113083112.88","bilanz","CHF"
"209","","2015","205210883.3","bilanz","CHF"
"290","","2015","","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","119161775.51","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","","bilanz","CHF"
"296","","2015","29739543.45","bilanz","CHF"
"298","","2015","3933044","bilanz","CHF"
"299","","2015","512975810.9","bilanz","CHF"
"300","","2015","14572357.44","aufwand","CHF"
"301","","2015","206870306.82","aufwand","CHF"
"302","","2015","16161655.39","aufwand","CHF"
"303","","2015","417886.14","aufwand","CHF"
"304","","2015","4352651.72","aufwand","CHF"
"305","","2015","39791833.67","aufwand","CHF"
"306","","2015","954591.9","aufwand","CHF"
"309","","2015","2233085.14","aufwand","CHF"
"310","","2015","29334605.3","aufwand","CHF"
"311","","2015","12172562.35","aufwand","CHF"
"312","","2015","30957488.5","aufwand","CHF"
"313","","2015","117741204.32","aufwand","CHF"
"314","","2015","53064989.89","aufwand","CHF"
"315","","2015","15663772.93","aufwand","CHF"
"316","","2015","10270876.82","aufwand","CHF"
"317","","2015","10143643.76","aufwand","CHF"
"318","","2015","19756971.5","aufwand","CHF"
"319","","2015","6040913.33","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","78079541.88","aufwand","CHF"
"338","","2015","96440050.22","aufwand","CHF"
"340","","2015","31943738.65","aufwand","CHF"
"341","","2015","-8275.39","aufwand","CHF"
"342","","2015","","aufwand","CHF"
"343","","2015","13121.34","aufwand","CHF"
"344","","2015","","aufwand","CHF"
"349","","2015","2470073.72","aufwand","CHF"
"350","","2015","","aufwand","CHF"
"351","","2015","","aufwand","CHF"
"352","","2015","52471444.5","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","","aufwand","CHF"
"36022","","2015","","aufwand","CHF"
"36023","","2015","","aufwand","CHF"
"36029","","2015","","aufwand","CHF"
"3603","","2015","","aufwand","CHF"
"3604","","2015","","aufwand","CHF"
"3610","","2015","","aufwand","CHF"
"3611","","2015","258517973","aufwand","CHF"
"3612","","2015","","aufwand","CHF"
"3613","","2015","","aufwand","CHF"
"3614","","2015","","aufwand","CHF"
"3620","","2015","","aufwand","CHF"
"36211","","2015","","aufwand","CHF"
"36212","","2015","","aufwand","CHF"
"36213","","2015","","aufwand","CHF"
"36214","","2015","","aufwand","CHF"
"36215","","2015","","aufwand","CHF"
"36216","","2015","","aufwand","CHF"
"36217","","2015","","aufwand","CHF"
"36219","","2015","","aufwand","CHF"
"36221","","2015","","aufwand","CHF"
"36222","","2015","","aufwand","CHF"
"36223","","2015","","aufwand","CHF"
"36224","","2015","","aufwand","CHF"
"36225","","2015","","aufwand","CHF"
"36226","","2015","","aufwand","CHF"
"36227","","2015","","aufwand","CHF"
"36228","","2015","","aufwand","CHF"
"3624","","2015","","aufwand","CHF"
"3629","","2015","","aufwand","CHF"
"3630","","2015","","aufwand","CHF"
"3631","","2015","133252234","aufwand","CHF"
"3632","","2015","","aufwand","CHF"
"3633","","2015","","aufwand","CHF"
"3634","","2015","34135660.52","aufwand","CHF"
"3635","","2015","4610579.4","aufwand","CHF"
"3636","","2015","63290622.96","aufwand","CHF"
"3637","","2015","69875941.06","aufwand","CHF"
"3638","","2015","61961.4","aufwand","CHF"
"3639","","2015","167951.4","aufwand","CHF"
"364","","2015","","aufwand","CHF"
"365","","2015","","aufwand","CHF"
"366","","2015","","aufwand","CHF"
"369","","2015","","aufwand","CHF"
"380","","2015","","aufwand","CHF"
"381","","2015","","aufwand","CHF"
"383","","2015","","aufwand","CHF"
"384","","2015","","aufwand","CHF"
"3860","","2015","","aufwand","CHF"
"3861","","2015","","aufwand","CHF"
"3862","","2015","","aufwand","CHF"
"3863","","2015","","aufwand","CHF"
"3864","","2015","","aufwand","CHF"
"3865","","2015","","aufwand","CHF"
"3866","","2015","","aufwand","CHF"
"3867","","2015","","aufwand","CHF"
"3868","","2015","","aufwand","CHF"
"387","","2015","","aufwand","CHF"
"389","","2015","","aufwand","CHF"
"4000","","2015","590467999.88","ertrag","CHF"
"4001","","2015","68716000.28","ertrag","CHF"
"4002","","2015","26826000.08","ertrag","CHF"
"4008","","2015","","ertrag","CHF"
"4009","","2015","","ertrag","CHF"
"4010","","2015","101037000.2","ertrag","CHF"
"4011","","2015","18193000.19","ertrag","CHF"
"4012","","2015","","ertrag","CHF"
"4019","","2015","","ertrag","CHF"
"4020","","2015","","ertrag","CHF"
"4021","","2015","90311000.37","ertrag","CHF"
"4022","","2015","35107999.99","ertrag","CHF"
"4023","","2015","28470999.51","ertrag","CHF"
"4024","","2015","2670000.47","ertrag","CHF"
"4025","","2015","","ertrag","CHF"
"4030","","2015","","ertrag","CHF"
"4031","","2015","","ertrag","CHF"
"4032","","2015","920000.19","ertrag","CHF"
"4033","","2015","826000.19","ertrag","CHF"
"4039","","2015","162999.78","ertrag","CHF"
"4040","","2015","","ertrag","CHF"
"4041","","2015","","ertrag","CHF"
"4042","","2015","","ertrag","CHF"
"4043","","2015","","ertrag","CHF"
"4044","","2015","","ertrag","CHF"
"4045","","2015","","ertrag","CHF"
"4046","","2015","","ertrag","CHF"
"4047","","2015","","ertrag","CHF"
"4049","","2015","","ertrag","CHF"
"4050","","2015","","ertrag","CHF"
"4051","","2015","","ertrag","CHF"
"4052","","2015","","ertrag","CHF"
"4053","","2015","","ertrag","CHF"
"4059","","2015","","ertrag","CHF"
"4060","","2015","","ertrag","CHF"
"4070","","2015","","ertrag","CHF"
"4071","","2015","","ertrag","CHF"
"4072","","2015","","ertrag","CHF"
"4079","","2015","","ertrag","CHF"
"410","","2015","","ertrag","CHF"
"411","","2015","","ertrag","CHF"
"412","","2015","376791.55","ertrag","CHF"
"413","","2015","","ertrag","CHF"
"420","","2015","13127482.52","ertrag","CHF"
"421","","2015","6547211.31","ertrag","CHF"
"422","","2015","","ertrag","CHF"
"423","","2015","3634039.7","ertrag","CHF"
"424","","2015","134622320.07","ertrag","CHF"
"425","","2015","31409905.17","ertrag","CHF"
"426","","2015","59167871.7","ertrag","CHF"
"427","","2015","6843654.96","ertrag","CHF"
"429","","2015","","ertrag","CHF"
"430","","2015","442431","ertrag","CHF"
"431","","2015","618241.01","ertrag","CHF"
"432","","2015","","ertrag","CHF"
"439","","2015","1744686.17","ertrag","CHF"
"440","","2015","8749134.92","ertrag","CHF"
"441","","2015","1043333.38","ertrag","CHF"
"442","","2015","","ertrag","CHF"
"443","","2015","4617381.84","ertrag","CHF"
"444","","2015","","ertrag","CHF"
"445","","2015","554976.75","ertrag","CHF"
"446","","2015","9302352.17","ertrag","CHF"
"447","","2015","29676295.88","ertrag","CHF"
"448","","2015","","ertrag","CHF"
"449","","2015","","ertrag","CHF"
"450","","2015","","ertrag","CHF"
"451","","2015","","ertrag","CHF"
"452","","2015","28571845.89","ertrag","CHF"
"46000","","2015","","ertrag","CHF"
"46001","","2015","","ertrag","CHF"
"46002","","2015","","ertrag","CHF"
"46003","","2015","","ertrag","CHF"
"46004","","2015","","ertrag","CHF"
"46005","","2015","","ertrag","CHF"
"46006","","2015","","ertrag","CHF"
"46007","","2015","","ertrag","CHF"
"46008","","2015","","ertrag","CHF"
"46009","","2015","","ertrag","CHF"
"46010","","2015","20500942","ertrag","CHF"
"46011","","2015","","ertrag","CHF"
"46012","","2015","151651","ertrag","CHF"
"46019","","2015","","ertrag","CHF"
"4603","","2015","","ertrag","CHF"
"4604","","2015","","ertrag","CHF"
"4610","","2015","","ertrag","CHF"
"4611","","2015","1946606","ertrag","CHF"
"4612","","2015","","ertrag","CHF"
"4613","","2015","","ertrag","CHF"
"4614","","2015","","ertrag","CHF"
"46201","","2015","","ertrag","CHF"
"46202","","2015","","ertrag","CHF"
"46203","","2015","","ertrag","CHF"
"46204","","2015","","ertrag","CHF"
"46209","","2015","","ertrag","CHF"
"46211","","2015","","ertrag","CHF"
"46212","","2015","","ertrag","CHF"
"46213","","2015","","ertrag","CHF"
"46214","","2015","","ertrag","CHF"
"46215","","2015","","ertrag","CHF"
"46216","","2015","13190855","ertrag","CHF"
"46217","","2015","","ertrag","CHF"
"46225","","2015","","ertrag","CHF"
"46226","","2015","","ertrag","CHF"
"46227","","2015","","ertrag","CHF"
"46228","","2015","","ertrag","CHF"
"4624","","2015","","ertrag","CHF"
"4629","","2015","","ertrag","CHF"
"4630","","2015","","ertrag","CHF"
"4631","","2015","34843084","ertrag","CHF"
"4632","","2015","","ertrag","CHF"
"4633","","2015","","ertrag","CHF"
"4634","","2015","2538766.27","ertrag","CHF"
"4635","","2015","2974766.87","ertrag","CHF"
"4636","","2015","","ertrag","CHF"
"4637","","2015","","ertrag","CHF"
"4638","","2015","","ertrag","CHF"
"466","","2015","","ertrag","CHF"
"469","","2015","106006.55","ertrag","CHF"
"481","","2015","","ertrag","CHF"
"482","","2015","","ertrag","CHF"
"483","","2015","","ertrag","CHF"
"484","","2015","","ertrag","CHF"
"485","","2015","","ertrag","CHF"
"4860","","2015","","ertrag","CHF"
"4861","","2015","","ertrag","CHF"
"4862","","2015","","ertrag","CHF"
"4863","","2015","","ertrag","CHF"
"4864","","2015","","ertrag","CHF"
"4865","","2015","","ertrag","CHF"
"4866","","2015","","ertrag","CHF"
"4867","","2015","","ertrag","CHF"
"4868","","2015","","ertrag","CHF"
"4870","","2015","","ertrag","CHF"
