"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","291581673.4","bilanz","gdn_bl","CHF","fs"
"101","","2022","411351059.28","bilanz","gdn_bl","CHF","fs"
"102","","2022","111643500","bilanz","gdn_bl","CHF","fs"
"104","","2022","131535757.54","bilanz","gdn_bl","CHF","fs"
"106","","2022","2886262.75","bilanz","gdn_bl","CHF","fs"
"107","","2022","13263995.61","bilanz","gdn_bl","CHF","fs"
"108","","2022","735463062.77","bilanz","gdn_bl","CHF","fs"
"109","","2022","","bilanz","gdn_bl","CHF","fs"
"140","","2022","1225240029.73","bilanz","gdn_bl","CHF","fs"
"141","","2022","","bilanz","gdn_bl","CHF","fs"
"142","","2022","28792209","bilanz","gdn_bl","CHF","fs"
"143","","2022","","bilanz","gdn_bl","CHF","fs"
"144","","2022","12321817.6","bilanz","gdn_bl","CHF","fs"
"145","","2022","4998761.95","bilanz","gdn_bl","CHF","fs"
"146","","2022","29843103.63","bilanz","gdn_bl","CHF","fs"
"147","","2022","","bilanz","gdn_bl","CHF","fs"
"148","","2022","","bilanz","gdn_bl","CHF","fs"
"200","","2022","427552660.06","bilanz","gdn_bl","CHF","fs"
"201","","2022","65478125.52","bilanz","gdn_bl","CHF","fs"
"204","","2022","48231615.29","bilanz","gdn_bl","CHF","fs"
"205","","2022","15314597.48","bilanz","gdn_bl","CHF","fs"
"206","","2022","696378406","bilanz","gdn_bl","CHF","fs"
"207","","2022","","bilanz","gdn_bl","CHF","fs"
"208","","2022","16200552.27","bilanz","gdn_bl","CHF","fs"
"209","","2022","14671855.58","bilanz","gdn_bl","CHF","fs"
"290","","2022","559399607.02","bilanz","gdn_bl","CHF","fs"
"292","","2022","99613","bilanz","gdn_bl","CHF","fs"
"293","","2022","419466751.48","bilanz","gdn_bl","CHF","fs"
"294","","2022","142124127.23","bilanz","gdn_bl","CHF","fs"
"295","","2022","","bilanz","gdn_bl","CHF","fs"
"296","","2022","-253854.05","bilanz","gdn_bl","CHF","fs"
"298","","2022","","bilanz","gdn_bl","CHF","fs"
"299","","2022","594257176.38","bilanz","gdn_bl","CHF","fs"
"empty","","2022","","er","gdn_bl","CHF","fs"
"empty","","2022","","er","gdn_bl","CHF","fs"
"empty","","2022","","er","gdn_bl","CHF","fs"
"empty","","2022","","er","gdn_bl","CHF","fs"
"300","","2022","14214458.31","aufwand","gdn_bl","CHF","fs"
"301","","2022","203911927.1","aufwand","gdn_bl","CHF","fs"
"302","","2022","255114697.54","aufwand","gdn_bl","CHF","fs"
"303","","2022","970648.1","aufwand","gdn_bl","CHF","fs"
"304","","2022","5983379.95","aufwand","gdn_bl","CHF","fs"
"305","","2022","84897392","aufwand","gdn_bl","CHF","fs"
"306","","2022","167058.2","aufwand","gdn_bl","CHF","fs"
"309","","2022","5867799.39","aufwand","gdn_bl","CHF","fs"
"310","","2022","22923339.18","aufwand","gdn_bl","CHF","fs"
"311","","2022","14692131.73","aufwand","gdn_bl","CHF","fs"
"312","","2022","21682886.51","aufwand","gdn_bl","CHF","fs"
"313","","2022","146672438.61","aufwand","gdn_bl","CHF","fs"
"314","","2022","40238004.52","aufwand","gdn_bl","CHF","fs"
"315","","2022","15996084.23","aufwand","gdn_bl","CHF","fs"
"316","","2022","14527831.27","aufwand","gdn_bl","CHF","fs"
"317","","2022","3573277.51","aufwand","gdn_bl","CHF","fs"
"318","","2022","7559511.24","aufwand","gdn_bl","CHF","fs"
"319","","2022","4110648.65","aufwand","gdn_bl","CHF","fs"
"320","","2022","","aufwand","gdn_bl","CHF","fs"
"331","","2022","","aufwand","gdn_bl","CHF","fs"
"337","","2022","69302825.05","aufwand","gdn_bl","CHF","fs"
"338","","2022","2897961.73","aufwand","gdn_bl","CHF","fs"
"340","","2022","4884200.38","aufwand","gdn_bl","CHF","fs"
"341","","2022","64373.6","aufwand","gdn_bl","CHF","fs"
"342","","2022","65540.58","aufwand","gdn_bl","CHF","fs"
"343","","2022","4104767.98","aufwand","gdn_bl","CHF","fs"
"344","","2022","1097260.69","aufwand","gdn_bl","CHF","fs"
"349","","2022","1937772.04","aufwand","gdn_bl","CHF","fs"
"350","","2022","","aufwand","gdn_bl","CHF","fs"
"351","","2022","17318669.74","aufwand","gdn_bl","CHF","fs"
"352","","2022","","aufwand","gdn_bl","CHF","fs"
"3600","","2022","","aufwand","gdn_bl","CHF","fs"
"36010","","2022","","aufwand","gdn_bl","CHF","fs"
"36011","","2022","","aufwand","gdn_bl","CHF","fs"
"36012","","2022","","aufwand","gdn_bl","CHF","fs"
"36013","","2022","","aufwand","gdn_bl","CHF","fs"
"36014","","2022","","aufwand","gdn_bl","CHF","fs"
"36015","","2022","","aufwand","gdn_bl","CHF","fs"
"36016","","2022","","aufwand","gdn_bl","CHF","fs"
"36017","","2022","","aufwand","gdn_bl","CHF","fs"
"36018","","2022","","aufwand","gdn_bl","CHF","fs"
"36019","","2022","","aufwand","gdn_bl","CHF","fs"
"36021","","2022","","aufwand","gdn_bl","CHF","fs"
"36022","","2022","","aufwand","gdn_bl","CHF","fs"
"36023","","2022","","aufwand","gdn_bl","CHF","fs"
"36029","","2022","","aufwand","gdn_bl","CHF","fs"
"3603","","2022","","aufwand","gdn_bl","CHF","fs"
"3604","","2022","","aufwand","gdn_bl","CHF","fs"
"3610","","2022","","aufwand","gdn_bl","CHF","fs"
"3611","","2022","4340328.32","aufwand","gdn_bl","CHF","fs"
"3612","","2022","","aufwand","gdn_bl","CHF","fs"
"3613","","2022","","aufwand","gdn_bl","CHF","fs"
"3614","","2022","62900462.85","aufwand","gdn_bl","CHF","fs"
"3620","","2022","","aufwand","gdn_bl","CHF","fs"
"36211","","2022","","aufwand","gdn_bl","CHF","fs"
"36212","","2022","","aufwand","gdn_bl","CHF","fs"
"36213","","2022","","aufwand","gdn_bl","CHF","fs"
"36214","","2022","","aufwand","gdn_bl","CHF","fs"
"36215","","2022","","aufwand","gdn_bl","CHF","fs"
"36216","","2022","8550000","aufwand","gdn_bl","CHF","fs"
"36217","","2022","","aufwand","gdn_bl","CHF","fs"
"36219","","2022","","aufwand","gdn_bl","CHF","fs"
"36221","","2022","","aufwand","gdn_bl","CHF","fs"
"36222","","2022","","aufwand","gdn_bl","CHF","fs"
"36223","","2022","","aufwand","gdn_bl","CHF","fs"
"36224","","2022","","aufwand","gdn_bl","CHF","fs"
"36225","","2022","","aufwand","gdn_bl","CHF","fs"
"36226","","2022","","aufwand","gdn_bl","CHF","fs"
"36227","","2022","","aufwand","gdn_bl","CHF","fs"
"36228","","2022","","aufwand","gdn_bl","CHF","fs"
"3624","","2022","","aufwand","gdn_bl","CHF","fs"
"3629","","2022","","aufwand","gdn_bl","CHF","fs"
"3630","","2022","","aufwand","gdn_bl","CHF","fs"
"3631","","2022","35128525.51","aufwand","gdn_bl","CHF","fs"
"3632","","2022","","aufwand","gdn_bl","CHF","fs"
"3633","","2022","","aufwand","gdn_bl","CHF","fs"
"3634","","2022","1618670.92","aufwand","gdn_bl","CHF","fs"
"3635","","2022","3611347.73","aufwand","gdn_bl","CHF","fs"
"3636","","2022","65171835.38","aufwand","gdn_bl","CHF","fs"
"3637","","2022","165901775.65","aufwand","gdn_bl","CHF","fs"
"3638","","2022","180400","aufwand","gdn_bl","CHF","fs"
"3639","","2022","","aufwand","gdn_bl","CHF","fs"
"364","","2022","","aufwand","gdn_bl","CHF","fs"
"365","","2022","50","aufwand","gdn_bl","CHF","fs"
"366","","2022","1815747.11","aufwand","gdn_bl","CHF","fs"
"369","","2022","","aufwand","gdn_bl","CHF","fs"
"380","","2022","","aufwand","gdn_bl","CHF","fs"
"381","","2022","37960.55","aufwand","gdn_bl","CHF","fs"
"383","","2022","9182.2","aufwand","gdn_bl","CHF","fs"
"384","","2022","1e+05","aufwand","gdn_bl","CHF","fs"
"3860","","2022","","aufwand","gdn_bl","CHF","fs"
"3861","","2022","","aufwand","gdn_bl","CHF","fs"
"3862","","2022","","aufwand","gdn_bl","CHF","fs"
"3863","","2022","","aufwand","gdn_bl","CHF","fs"
"3864","","2022","","aufwand","gdn_bl","CHF","fs"
"3865","","2022","1347451.41","aufwand","gdn_bl","CHF","fs"
"3866","","2022","","aufwand","gdn_bl","CHF","fs"
"3867","","2022","1556000","aufwand","gdn_bl","CHF","fs"
"3868","","2022","","aufwand","gdn_bl","CHF","fs"
"387","","2022","","aufwand","gdn_bl","CHF","fs"
"389","","2022","50310666.21","aufwand","gdn_bl","CHF","fs"
"4000","","2022","654313383.48","ertrag","gdn_bl","CHF","fs"
"4001","","2022","101612030.14","ertrag","gdn_bl","CHF","fs"
"4002","","2022","29317634.4","ertrag","gdn_bl","CHF","fs"
"4008","","2022","","ertrag","gdn_bl","CHF","fs"
"4009","","2022","","ertrag","gdn_bl","CHF","fs"
"4010","","2022","107830451.34","ertrag","gdn_bl","CHF","fs"
"4011","","2022","15051114.38","ertrag","gdn_bl","CHF","fs"
"4012","","2022","","ertrag","gdn_bl","CHF","fs"
"4019","","2022","","ertrag","gdn_bl","CHF","fs"
"4020","","2022","","ertrag","gdn_bl","CHF","fs"
"4021","","2022","","ertrag","gdn_bl","CHF","fs"
"4022","","2022","22576","ertrag","gdn_bl","CHF","fs"
"4023","","2022","","ertrag","gdn_bl","CHF","fs"
"4024","","2022","","ertrag","gdn_bl","CHF","fs"
"4025","","2022","","ertrag","gdn_bl","CHF","fs"
"4030","","2022","","ertrag","gdn_bl","CHF","fs"
"4031","","2022","","ertrag","gdn_bl","CHF","fs"
"4032","","2022","","ertrag","gdn_bl","CHF","fs"
"4033","","2022","1865736.2","ertrag","gdn_bl","CHF","fs"
"4039","","2022","","ertrag","gdn_bl","CHF","fs"
"4040","","2022","","ertrag","gdn_bl","CHF","fs"
"4041","","2022","","ertrag","gdn_bl","CHF","fs"
"4042","","2022","","ertrag","gdn_bl","CHF","fs"
"4043","","2022","","ertrag","gdn_bl","CHF","fs"
"4044","","2022","","ertrag","gdn_bl","CHF","fs"
"4045","","2022","","ertrag","gdn_bl","CHF","fs"
"4046","","2022","","ertrag","gdn_bl","CHF","fs"
"4047","","2022","","ertrag","gdn_bl","CHF","fs"
"4049","","2022","","ertrag","gdn_bl","CHF","fs"
"4050","","2022","","ertrag","gdn_bl","CHF","fs"
"4051","","2022","","ertrag","gdn_bl","CHF","fs"
"4052","","2022","","ertrag","gdn_bl","CHF","fs"
"4053","","2022","","ertrag","gdn_bl","CHF","fs"
"4059","","2022","","ertrag","gdn_bl","CHF","fs"
"4060","","2022","","ertrag","gdn_bl","CHF","fs"
"4070","","2022","","ertrag","gdn_bl","CHF","fs"
"4071","","2022","","ertrag","gdn_bl","CHF","fs"
"4072","","2022","","ertrag","gdn_bl","CHF","fs"
"4079","","2022","","ertrag","gdn_bl","CHF","fs"
"410","","2022","309524.25","ertrag","gdn_bl","CHF","fs"
"411","","2022","","ertrag","gdn_bl","CHF","fs"
