"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","542926354.86","bilanz","ktn_gdn_vs","CHF","fs"
"101","","2017","1705372046.85","bilanz","ktn_gdn_vs","CHF","fs"
"102","","2017","2904915.98","bilanz","ktn_gdn_vs","CHF","fs"
"104","","2017","969019421.58","bilanz","ktn_gdn_vs","CHF","fs"
"106","","2017","25269649.93","bilanz","ktn_gdn_vs","CHF","fs"
"107","","2017","672482885.94","bilanz","ktn_gdn_vs","CHF","fs"
"108","","2017","508202742.96","bilanz","ktn_gdn_vs","CHF","fs"
"109","","2017","55063604.76","bilanz","ktn_gdn_vs","CHF","fs"
"140","","2017","2533262648.64","bilanz","ktn_gdn_vs","CHF","fs"
"141","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"142","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"143","","2017","399204123.72","bilanz","ktn_gdn_vs","CHF","fs"
"144","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"145","","2017","23013.6","bilanz","ktn_gdn_vs","CHF","fs"
"146","","2017","433071444.92","bilanz","ktn_gdn_vs","CHF","fs"
"147","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"148","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"200","","2017","1309762490.26","bilanz","ktn_gdn_vs","CHF","fs"
"201","","2017","379868965.8","bilanz","ktn_gdn_vs","CHF","fs"
"204","","2017","503802268.57","bilanz","ktn_gdn_vs","CHF","fs"
"205","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"206","","2017","2396789523.76","bilanz","ktn_gdn_vs","CHF","fs"
"207","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"208","","2017","306520100.16","bilanz","ktn_gdn_vs","CHF","fs"
"209","","2017","1087439101.84","bilanz","ktn_gdn_vs","CHF","fs"
"290","","2017","7678605","bilanz","ktn_gdn_vs","CHF","fs"
"292","","2017","13929612","bilanz","ktn_gdn_vs","CHF","fs"
"293","","2017","79383437.46","bilanz","ktn_gdn_vs","CHF","fs"
"294","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"295","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"296","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"298","","2017","","bilanz","ktn_gdn_vs","CHF","fs"
"299","","2017","1761628748.87","bilanz","ktn_gdn_vs","CHF","fs"
"empty","","2017","","er","ktn_gdn_vs","CHF","fs"
"empty","","2017","","er","ktn_gdn_vs","CHF","fs"
"empty","","2017","","er","ktn_gdn_vs","CHF","fs"
"empty","","2017","","er","ktn_gdn_vs","CHF","fs"
"300","","2017","38425483.41","aufwand","ktn_gdn_vs","CHF","fs"
"301","","2017","680207288.74","aufwand","ktn_gdn_vs","CHF","fs"
"302","","2017","454163526.27","aufwand","ktn_gdn_vs","CHF","fs"
"303","","2017","1240008.55","aufwand","ktn_gdn_vs","CHF","fs"
"304","","2017","1121508.88","aufwand","ktn_gdn_vs","CHF","fs"
"305","","2017","252548374.89","aufwand","ktn_gdn_vs","CHF","fs"
"306","","2017","13429968.99","aufwand","ktn_gdn_vs","CHF","fs"
"309","","2017","11477738.95","aufwand","ktn_gdn_vs","CHF","fs"
"310","","2017","75724110.46","aufwand","ktn_gdn_vs","CHF","fs"
"311","","2017","26623349.63","aufwand","ktn_gdn_vs","CHF","fs"
"312","","2017","81165468.76","aufwand","ktn_gdn_vs","CHF","fs"
"313","","2017","286051550.16","aufwand","ktn_gdn_vs","CHF","fs"
"314","","2017","183577544.43","aufwand","ktn_gdn_vs","CHF","fs"
"315","","2017","40728535.56","aufwand","ktn_gdn_vs","CHF","fs"
"316","","2017","42431329.32","aufwand","ktn_gdn_vs","CHF","fs"
"317","","2017","20638015.37","aufwand","ktn_gdn_vs","CHF","fs"
"318","","2017","47784460.66","aufwand","ktn_gdn_vs","CHF","fs"
"319","","2017","25353300.02","aufwand","ktn_gdn_vs","CHF","fs"
"320","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"331","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"337","","2017","446617235.91","aufwand","ktn_gdn_vs","CHF","fs"
"338","","2017","79086936.82","aufwand","ktn_gdn_vs","CHF","fs"
"340","","2017","60182857.68","aufwand","ktn_gdn_vs","CHF","fs"
"341","","2017","6350160.95","aufwand","ktn_gdn_vs","CHF","fs"
"342","","2017","19167.71","aufwand","ktn_gdn_vs","CHF","fs"
"343","","2017","2942828.95","aufwand","ktn_gdn_vs","CHF","fs"
"344","","2017","7260016.83","aufwand","ktn_gdn_vs","CHF","fs"
"349","","2017","2988443","aufwand","ktn_gdn_vs","CHF","fs"
"350","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"351","","2017","25848.11","aufwand","ktn_gdn_vs","CHF","fs"
"352","","2017","270203090.34","aufwand","ktn_gdn_vs","CHF","fs"
"3600","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36010","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36011","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36012","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36013","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36014","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36015","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36016","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36017","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36018","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36019","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36021","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36022","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36023","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36029","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3603","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3604","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3610","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3611","","2017","7991983.75","aufwand","ktn_gdn_vs","CHF","fs"
"3612","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3613","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3614","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3620","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36211","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36212","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36213","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36214","","2017","4076018","aufwand","ktn_gdn_vs","CHF","fs"
"36215","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36216","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36217","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36219","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36221","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36222","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36223","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36224","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36225","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36226","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36227","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"36228","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3624","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3629","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3630","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3631","","2017","101401307.16","aufwand","ktn_gdn_vs","CHF","fs"
"3632","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3633","","2017","9898402.3","aufwand","ktn_gdn_vs","CHF","fs"
"3634","","2017","471528097.22","aufwand","ktn_gdn_vs","CHF","fs"
"3635","","2017","236673012.38","aufwand","ktn_gdn_vs","CHF","fs"
"3636","","2017","398850374.19","aufwand","ktn_gdn_vs","CHF","fs"
"3637","","2017","412630234.2","aufwand","ktn_gdn_vs","CHF","fs"
"3638","","2017","590952.05","aufwand","ktn_gdn_vs","CHF","fs"
"3639","","2017","18298290.23","aufwand","ktn_gdn_vs","CHF","fs"
"364","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"365","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"366","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"369","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"380","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"381","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"383","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"384","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3860","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3861","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3862","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3863","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3864","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3865","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3866","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3867","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"3868","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"387","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"389","","2017","","aufwand","ktn_gdn_vs","CHF","fs"
"4000","","2017","1374548012.93","ertrag","ktn_gdn_vs","CHF","fs"
"4001","","2017","238432683.27","ertrag","ktn_gdn_vs","CHF","fs"
"4002","","2017","77214691.71","ertrag","ktn_gdn_vs","CHF","fs"
"4008","","2017","","ertrag","ktn_gdn_vs","CHF","fs"
"4009","","2017","2043895.11","ertrag","ktn_gdn_vs","CHF","fs"
"4010","","2017","245979459.7","ertrag","ktn_gdn_vs","CHF","fs"
"4011","","2017","70861886.71","ertrag","ktn_gdn_vs","CHF","fs"
"4012","","2017","","ertrag","ktn_gdn_vs","CHF","fs"
