"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","515165742.61","bilanz","gdn_sg","CHF","fs"
"101","","2021","641086732.25","bilanz","gdn_sg","CHF","fs"
"102","","2021","76316481.66","bilanz","gdn_sg","CHF","fs"
"104","","2021","66668322.16","bilanz","gdn_sg","CHF","fs"
"106","","2021","3504726.28","bilanz","gdn_sg","CHF","fs"
"107","","2021","292346819.35","bilanz","gdn_sg","CHF","fs"
"108","","2021","1457757764.99","bilanz","gdn_sg","CHF","fs"
"109","","2021","4335706.6","bilanz","gdn_sg","CHF","fs"
"140","","2021","2532484080.24","bilanz","gdn_sg","CHF","fs"
"141","","2021","","bilanz","gdn_sg","CHF","fs"
"142","","2021","21517390.56","bilanz","gdn_sg","CHF","fs"
"143","","2021","","bilanz","gdn_sg","CHF","fs"
"144","","2021","22287330.68","bilanz","gdn_sg","CHF","fs"
"145","","2021","354466561.31","bilanz","gdn_sg","CHF","fs"
"146","","2021","114006704.11","bilanz","gdn_sg","CHF","fs"
"147","","2021","","bilanz","gdn_sg","CHF","fs"
"148","","2021","","bilanz","gdn_sg","CHF","fs"
"200","","2021","709411283.13","bilanz","gdn_sg","CHF","fs"
"201","","2021","284608964.42","bilanz","gdn_sg","CHF","fs"
"204","","2021","93554112.36","bilanz","gdn_sg","CHF","fs"
"205","","2021","24557757.38","bilanz","gdn_sg","CHF","fs"
"206","","2021","2109747054.53","bilanz","gdn_sg","CHF","fs"
"207","","2021","","bilanz","gdn_sg","CHF","fs"
"208","","2021","52637922.05","bilanz","gdn_sg","CHF","fs"
"209","","2021","92683828.05","bilanz","gdn_sg","CHF","fs"
"290","","2021","589086409.31","bilanz","gdn_sg","CHF","fs"
"292","","2021","","bilanz","gdn_sg","CHF","fs"
"293","","2021","309565125.71","bilanz","gdn_sg","CHF","fs"
"294","","2021","626712886.79","bilanz","gdn_sg","CHF","fs"
"295","","2021","290133516.69","bilanz","gdn_sg","CHF","fs"
"296","","2021","","bilanz","gdn_sg","CHF","fs"
"298","","2021","","bilanz","gdn_sg","CHF","fs"
"299","","2021","919245502.38","bilanz","gdn_sg","CHF","fs"
"empty","","2021","","er","gdn_sg","CHF","fs"
"empty","","2021","","er","gdn_sg","CHF","fs"
"empty","","2021","","er","gdn_sg","CHF","fs"
"empty","","2021","","er","gdn_sg","CHF","fs"
"300","","2021","24680104.1","aufwand","gdn_sg","CHF","fs"
"301","","2021","500715068.84","aufwand","gdn_sg","CHF","fs"
"302","","2021","551789233.74","aufwand","gdn_sg","CHF","fs"
"303","","2021","144988.35","aufwand","gdn_sg","CHF","fs"
"304","","2021","2981164.68","aufwand","gdn_sg","CHF","fs"
"305","","2021","206733988.65","aufwand","gdn_sg","CHF","fs"
"306","","2021","6881443.75","aufwand","gdn_sg","CHF","fs"
"309","","2021","16115463.43","aufwand","gdn_sg","CHF","fs"
"310","","2021","57227380.24","aufwand","gdn_sg","CHF","fs"
"311","","2021","34787755.03","aufwand","gdn_sg","CHF","fs"
"312","","2021","37448463.56","aufwand","gdn_sg","CHF","fs"
"313","","2021","269087091.13","aufwand","gdn_sg","CHF","fs"
"314","","2021","143395091.12","aufwand","gdn_sg","CHF","fs"
"315","","2021","26394772.69","aufwand","gdn_sg","CHF","fs"
