"arten","funk","jahr","value","dim","unit"
"100","","2022","275512704.46","bilanz","CHF"
"101","","2022","273116120.88","bilanz","CHF"
"102","","2022","129807847.65","bilanz","CHF"
"104","","2022","100482412.36","bilanz","CHF"
"106","","2022","1788042.67","bilanz","CHF"
"107","","2022","419079134.77","bilanz","CHF"
"108","","2022","479515780.14","bilanz","CHF"
"109","","2022","","bilanz","CHF"
"140","","2022","484340775.52","bilanz","CHF"
"141","","2022","","bilanz","CHF"
"142","","2022","7949393.73","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","61633308.95","bilanz","CHF"
"145","","2022","172379691.92","bilanz","CHF"
"146","","2022","65139200.54","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","247803704.7","bilanz","CHF"
"201","","2022","84578373.26","bilanz","CHF"
"204","","2022","236259556.56","bilanz","CHF"
"205","","2022","5256653.03","bilanz","CHF"
"206","","2022","298617000","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","11475688.35","bilanz","CHF"
"209","","2022","34507318.92","bilanz","CHF"
"290","","2022","204375596.79","bilanz","CHF"
"292","","2022","","bilanz","CHF"
"293","","2022","8225483.49","bilanz","CHF"
"294","","2022","469194514.22","bilanz","CHF"
"295","","2022","5868948","bilanz","CHF"
"296","","2022","388709284.37","bilanz","CHF"
"298","","2022","","bilanz","CHF"
"299","","2022","475872291.9","bilanz","CHF"
"300","","2022","10673823.15","aufwand","CHF"
"301","","2022","173719732.3","aufwand","CHF"
"302","","2022","114183536.8","aufwand","CHF"
"303","","2022","18710.25","aufwand","CHF"
"304","","2022","2722056.5","aufwand","CHF"
"305","","2022","63022007.04","aufwand","CHF"
"306","","2022","2042393.4","aufwand","CHF"
"309","","2022","5237008.25","aufwand","CHF"
"310","","2022","21628910.65","aufwand","CHF"
"311","","2022","11853981.65","aufwand","CHF"
"312","","2022","9987265.35","aufwand","CHF"
"313","","2022","73402753.2","aufwand","CHF"
"314","","2022","26280791.84","aufwand","CHF"
"315","","2022","9433459.94","aufwand","CHF"
"316","","2022","7104793.66","aufwand","CHF"
"317","","2022","3371233.19","aufwand","CHF"
"318","","2022","1620960.37","aufwand","CHF"
"319","","2022","6758371.03","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","42454634.64","aufwand","CHF"
"338","","2022","7250000","aufwand","CHF"
"340","","2022","3270700.95","aufwand","CHF"
