"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","16019949.61","bilanz","gdn_ai","CHF","fs"
"101","","2017","10260877.44","bilanz","gdn_ai","CHF","fs"
"102","","2017","","bilanz","gdn_ai","CHF","fs"
"104","","2017","2077650.6","bilanz","gdn_ai","CHF","fs"
"106","","2017","62276","bilanz","gdn_ai","CHF","fs"
"107","","2017","4427146","bilanz","gdn_ai","CHF","fs"
"108","","2017","7167600","bilanz","gdn_ai","CHF","fs"
"109","","2017","","bilanz","gdn_ai","CHF","fs"
"140","","2017","17486156.54","bilanz","gdn_ai","CHF","fs"
"141","","2017","","bilanz","gdn_ai","CHF","fs"
"142","","2017","","bilanz","gdn_ai","CHF","fs"
"143","","2017","","bilanz","gdn_ai","CHF","fs"
"144","","2017","","bilanz","gdn_ai","CHF","fs"
"145","","2017","200","bilanz","gdn_ai","CHF","fs"
"146","","2017","17968.25","bilanz","gdn_ai","CHF","fs"
"147","","2017","","bilanz","gdn_ai","CHF","fs"
"148","","2017","","bilanz","gdn_ai","CHF","fs"
"200","","2017","4477820.62","bilanz","gdn_ai","CHF","fs"
"201","","2017","656097","bilanz","gdn_ai","CHF","fs"
"204","","2017","1824765.47","bilanz","gdn_ai","CHF","fs"
"205","","2017","2630000","bilanz","gdn_ai","CHF","fs"
"206","","2017","4900483","bilanz","gdn_ai","CHF","fs"
"207","","2017","","bilanz","gdn_ai","CHF","fs"
"208","","2017","2016687","bilanz","gdn_ai","CHF","fs"
"209","","2017","3992865.66","bilanz","gdn_ai","CHF","fs"
"290","","2017","6897529.83","bilanz","gdn_ai","CHF","fs"
"292","","2017","","bilanz","gdn_ai","CHF","fs"
"293","","2017","6926788","bilanz","gdn_ai","CHF","fs"
"294","","2017","","bilanz","gdn_ai","CHF","fs"
"295","","2017","","bilanz","gdn_ai","CHF","fs"
"296","","2017","2808612.64","bilanz","gdn_ai","CHF","fs"
"298","","2017","","bilanz","gdn_ai","CHF","fs"
"299","","2017","20388175.22","bilanz","gdn_ai","CHF","fs"
"empty","","2017","","er","gdn_ai","CHF","fs"
"empty","","2017","","er","gdn_ai","CHF","fs"
"empty","","2017","","er","gdn_ai","CHF","fs"
"empty","","2017","","er","gdn_ai","CHF","fs"
"300","","2017","539369.3","aufwand","gdn_ai","CHF","fs"
"301","","2017","4777076.6","aufwand","gdn_ai","CHF","fs"
"302","","2017","15487295","aufwand","gdn_ai","CHF","fs"
"303","","2017","2800","aufwand","gdn_ai","CHF","fs"
"304","","2017","9310","aufwand","gdn_ai","CHF","fs"
"305","","2017","3777101.3","aufwand","gdn_ai","CHF","fs"
"306","","2017","","aufwand","gdn_ai","CHF","fs"
"309","","2017","252899.3","aufwand","gdn_ai","CHF","fs"
"310","","2017","1255774.28","aufwand","gdn_ai","CHF","fs"
"311","","2017","823604.6","aufwand","gdn_ai","CHF","fs"
"312","","2017","533947.3","aufwand","gdn_ai","CHF","fs"
"313","","2017","3533607.19","aufwand","gdn_ai","CHF","fs"
"314","","2017","4468781.39","aufwand","gdn_ai","CHF","fs"
"315","","2017","318715.1","aufwand","gdn_ai","CHF","fs"
"316","","2017","2084068","aufwand","gdn_ai","CHF","fs"
"317","","2017","279583.25","aufwand","gdn_ai","CHF","fs"
"318","","2017","4162.11","aufwand","gdn_ai","CHF","fs"
"319","","2017","229102.85","aufwand","gdn_ai","CHF","fs"
"320","","2017","","aufwand","gdn_ai","CHF","fs"
"331","","2017","","aufwand","gdn_ai","CHF","fs"
"337","","2017","3959704.2","aufwand","gdn_ai","CHF","fs"
"338","","2017","1613000","aufwand","gdn_ai","CHF","fs"
"340","","2017","94283.9","aufwand","gdn_ai","CHF","fs"
"341","","2017","","aufwand","gdn_ai","CHF","fs"
"342","","2017","","aufwand","gdn_ai","CHF","fs"
"343","","2017","91289.75","aufwand","gdn_ai","CHF","fs"
"344","","2017","","aufwand","gdn_ai","CHF","fs"
"349","","2017","","aufwand","gdn_ai","CHF","fs"
"350","","2017","","aufwand","gdn_ai","CHF","fs"
"351","","2017","42897.75","aufwand","gdn_ai","CHF","fs"
"352","","2017","1062392","aufwand","gdn_ai","CHF","fs"
"3600","","2017","","aufwand","gdn_ai","CHF","fs"
"36010","","2017","","aufwand","gdn_ai","CHF","fs"
"36011","","2017","","aufwand","gdn_ai","CHF","fs"
"36012","","2017","","aufwand","gdn_ai","CHF","fs"
"36013","","2017","","aufwand","gdn_ai","CHF","fs"
"36014","","2017","","aufwand","gdn_ai","CHF","fs"
"36015","","2017","","aufwand","gdn_ai","CHF","fs"
"36016","","2017","","aufwand","gdn_ai","CHF","fs"
"36017","","2017","","aufwand","gdn_ai","CHF","fs"
"36018","","2017","","aufwand","gdn_ai","CHF","fs"
"36019","","2017","","aufwand","gdn_ai","CHF","fs"
"36021","","2017","","aufwand","gdn_ai","CHF","fs"
"36022","","2017","","aufwand","gdn_ai","CHF","fs"
"36023","","2017","","aufwand","gdn_ai","CHF","fs"
"36029","","2017","","aufwand","gdn_ai","CHF","fs"
"3603","","2017","","aufwand","gdn_ai","CHF","fs"
"3604","","2017","","aufwand","gdn_ai","CHF","fs"
"3610","","2017","","aufwand","gdn_ai","CHF","fs"
"3611","","2017","899252.35","aufwand","gdn_ai","CHF","fs"
"3612","","2017","","aufwand","gdn_ai","CHF","fs"
"3613","","2017","","aufwand","gdn_ai","CHF","fs"
"3614","","2017","","aufwand","gdn_ai","CHF","fs"
"3620","","2017","","aufwand","gdn_ai","CHF","fs"
"36211","","2017","","aufwand","gdn_ai","CHF","fs"
"36212","","2017","","aufwand","gdn_ai","CHF","fs"
"36213","","2017","","aufwand","gdn_ai","CHF","fs"
"36214","","2017","","aufwand","gdn_ai","CHF","fs"
"36215","","2017","","aufwand","gdn_ai","CHF","fs"
"36216","","2017","","aufwand","gdn_ai","CHF","fs"
"36217","","2017","","aufwand","gdn_ai","CHF","fs"
"36219","","2017","","aufwand","gdn_ai","CHF","fs"
"36221","","2017","","aufwand","gdn_ai","CHF","fs"
"36222","","2017","","aufwand","gdn_ai","CHF","fs"
"36223","","2017","","aufwand","gdn_ai","CHF","fs"
"36224","","2017","","aufwand","gdn_ai","CHF","fs"
"36225","","2017","","aufwand","gdn_ai","CHF","fs"
"36226","","2017","","aufwand","gdn_ai","CHF","fs"
"36227","","2017","","aufwand","gdn_ai","CHF","fs"
"36228","","2017","","aufwand","gdn_ai","CHF","fs"
"3624","","2017","","aufwand","gdn_ai","CHF","fs"
"3629","","2017","","aufwand","gdn_ai","CHF","fs"
"3630","","2017","","aufwand","gdn_ai","CHF","fs"
"3631","","2017","2880629","aufwand","gdn_ai","CHF","fs"
"3632","","2017","","aufwand","gdn_ai","CHF","fs"
"3633","","2017","","aufwand","gdn_ai","CHF","fs"
"3634","","2017","197857","aufwand","gdn_ai","CHF","fs"
"3635","","2017","651691","aufwand","gdn_ai","CHF","fs"
"3636","","2017","1219553.55","aufwand","gdn_ai","CHF","fs"
"3637","","2017","10117","aufwand","gdn_ai","CHF","fs"
"3638","","2017","","aufwand","gdn_ai","CHF","fs"
"3639","","2017","","aufwand","gdn_ai","CHF","fs"
"364","","2017","","aufwand","gdn_ai","CHF","fs"
"365","","2017","","aufwand","gdn_ai","CHF","fs"
"366","","2017","","aufwand","gdn_ai","CHF","fs"
"369","","2017","","aufwand","gdn_ai","CHF","fs"
"380","","2017","","aufwand","gdn_ai","CHF","fs"
"381","","2017","46217.25","aufwand","gdn_ai","CHF","fs"
"383","","2017","","aufwand","gdn_ai","CHF","fs"
"384","","2017","","aufwand","gdn_ai","CHF","fs"
"3860","","2017","","aufwand","gdn_ai","CHF","fs"
"3861","","2017","","aufwand","gdn_ai","CHF","fs"
"3862","","2017","","aufwand","gdn_ai","CHF","fs"
"3863","","2017","","aufwand","gdn_ai","CHF","fs"
"3864","","2017","","aufwand","gdn_ai","CHF","fs"
"3865","","2017","","aufwand","gdn_ai","CHF","fs"
"3866","","2017","","aufwand","gdn_ai","CHF","fs"
"3867","","2017","","aufwand","gdn_ai","CHF","fs"
"3868","","2017","","aufwand","gdn_ai","CHF","fs"
"387","","2017","","aufwand","gdn_ai","CHF","fs"
"389","","2017","120000","aufwand","gdn_ai","CHF","fs"
"4000","","2017","27538978.99","ertrag","gdn_ai","CHF","fs"
"4001","","2017","5736732.69","ertrag","gdn_ai","CHF","fs"
"4002","","2017","1021756.2","ertrag","gdn_ai","CHF","fs"
"4008","","2017","","ertrag","gdn_ai","CHF","fs"
"4009","","2017","","ertrag","gdn_ai","CHF","fs"
"4010","","2017","2379096.89","ertrag","gdn_ai","CHF","fs"
"4011","","2017","254103.87","ertrag","gdn_ai","CHF","fs"
"4012","","2017","","ertrag","gdn_ai","CHF","fs"
"4019","","2017","","ertrag","gdn_ai","CHF","fs"
"4020","","2017","","ertrag","gdn_ai","CHF","fs"
"4021","","2017","91151.45","ertrag","gdn_ai","CHF","fs"
"4022","","2017","","ertrag","gdn_ai","CHF","fs"
"4023","","2017","","ertrag","gdn_ai","CHF","fs"
"4024","","2017","","ertrag","gdn_ai","CHF","fs"
"4025","","2017","","ertrag","gdn_ai","CHF","fs"
"4030","","2017","","ertrag","gdn_ai","CHF","fs"
"4031","","2017","","ertrag","gdn_ai","CHF","fs"
"4032","","2017","","ertrag","gdn_ai","CHF","fs"
"4033","","2017","65953","ertrag","gdn_ai","CHF","fs"
"4039","","2017","","ertrag","gdn_ai","CHF","fs"
"4040","","2017","","ertrag","gdn_ai","CHF","fs"
"4041","","2017","","ertrag","gdn_ai","CHF","fs"
"4042","","2017","","ertrag","gdn_ai","CHF","fs"
"4043","","2017","","ertrag","gdn_ai","CHF","fs"
"4044","","2017","","ertrag","gdn_ai","CHF","fs"
"4045","","2017","","ertrag","gdn_ai","CHF","fs"
"4046","","2017","","ertrag","gdn_ai","CHF","fs"
"4047","","2017","","ertrag","gdn_ai","CHF","fs"
"4049","","2017","","ertrag","gdn_ai","CHF","fs"
"4050","","2017","","ertrag","gdn_ai","CHF","fs"
"4051","","2017","","ertrag","gdn_ai","CHF","fs"
"4052","","2017","","ertrag","gdn_ai","CHF","fs"
"4053","","2017","","ertrag","gdn_ai","CHF","fs"
"4059","","2017","","ertrag","gdn_ai","CHF","fs"
"4060","","2017","","ertrag","gdn_ai","CHF","fs"
"4070","","2017","","ertrag","gdn_ai","CHF","fs"
"4071","","2017","","ertrag","gdn_ai","CHF","fs"
"4072","","2017","","ertrag","gdn_ai","CHF","fs"
"4079","","2017","","ertrag","gdn_ai","CHF","fs"
"410","","2017","","ertrag","gdn_ai","CHF","fs"
"411","","2017","","ertrag","gdn_ai","CHF","fs"
"412","","2017","29533","ertrag","gdn_ai","CHF","fs"
"413","","2017","","ertrag","gdn_ai","CHF","fs"
"420","","2017","800369.45","ertrag","gdn_ai","CHF","fs"
"421","","2017","472265.4","ertrag","gdn_ai","CHF","fs"
"422","","2017","","ertrag","gdn_ai","CHF","fs"
"423","","2017","541021","ertrag","gdn_ai","CHF","fs"
"424","","2017","744275.85","ertrag","gdn_ai","CHF","fs"
"425","","2017","360","ertrag","gdn_ai","CHF","fs"
"426","","2017","952465.56","ertrag","gdn_ai","CHF","fs"
"427","","2017","66926","ertrag","gdn_ai","CHF","fs"
"429","","2017","49449.15","ertrag","gdn_ai","CHF","fs"
"430","","2017","","ertrag","gdn_ai","CHF","fs"
"431","","2017","","ertrag","gdn_ai","CHF","fs"
"432","","2017","","ertrag","gdn_ai","CHF","fs"
"439","","2017","31300","ertrag","gdn_ai","CHF","fs"
"440","","2017","11399.3","ertrag","gdn_ai","CHF","fs"
"441","","2017","13650","ertrag","gdn_ai","CHF","fs"
"442","","2017","","ertrag","gdn_ai","CHF","fs"
"443","","2017","396128.75","ertrag","gdn_ai","CHF","fs"
"444","","2017","","ertrag","gdn_ai","CHF","fs"
"445","","2017","","ertrag","gdn_ai","CHF","fs"
"446","","2017","365557","ertrag","gdn_ai","CHF","fs"
"447","","2017","2016452.55","ertrag","gdn_ai","CHF","fs"
"448","","2017","","ertrag","gdn_ai","CHF","fs"
"449","","2017","","ertrag","gdn_ai","CHF","fs"
"450","","2017","","ertrag","gdn_ai","CHF","fs"
"451","","2017","21878.4","ertrag","gdn_ai","CHF","fs"
"452","","2017","310000","ertrag","gdn_ai","CHF","fs"
"46000","","2017","","ertrag","gdn_ai","CHF","fs"
"46001","","2017","","ertrag","gdn_ai","CHF","fs"
"46002","","2017","","ertrag","gdn_ai","CHF","fs"
"46003","","2017","","ertrag","gdn_ai","CHF","fs"
"46004","","2017","","ertrag","gdn_ai","CHF","fs"
"46005","","2017","","ertrag","gdn_ai","CHF","fs"
"46006","","2017","","ertrag","gdn_ai","CHF","fs"
"46007","","2017","","ertrag","gdn_ai","CHF","fs"
"46008","","2017","","ertrag","gdn_ai","CHF","fs"
"46009","","2017","","ertrag","gdn_ai","CHF","fs"
"46010","","2017","330873","ertrag","gdn_ai","CHF","fs"
"46011","","2017","","ertrag","gdn_ai","CHF","fs"
"46012","","2017","","ertrag","gdn_ai","CHF","fs"
"46019","","2017","","ertrag","gdn_ai","CHF","fs"
"4603","","2017","","ertrag","gdn_ai","CHF","fs"
"4604","","2017","","ertrag","gdn_ai","CHF","fs"
"4610","","2017","","ertrag","gdn_ai","CHF","fs"
"4611","","2017","105000","ertrag","gdn_ai","CHF","fs"
"4612","","2017","","ertrag","gdn_ai","CHF","fs"
"4613","","2017","","ertrag","gdn_ai","CHF","fs"
"4614","","2017","","ertrag","gdn_ai","CHF","fs"
"46201","","2017","","ertrag","gdn_ai","CHF","fs"
"46202","","2017","","ertrag","gdn_ai","CHF","fs"
"46203","","2017","","ertrag","gdn_ai","CHF","fs"
"46204","","2017","","ertrag","gdn_ai","CHF","fs"
"46209","","2017","","ertrag","gdn_ai","CHF","fs"
"46211","","2017","","ertrag","gdn_ai","CHF","fs"
"46212","","2017","","ertrag","gdn_ai","CHF","fs"
"46213","","2017","","ertrag","gdn_ai","CHF","fs"
"46214","","2017","","ertrag","gdn_ai","CHF","fs"
"46215","","2017","3953389","ertrag","gdn_ai","CHF","fs"
"46216","","2017","","ertrag","gdn_ai","CHF","fs"
"46217","","2017","","ertrag","gdn_ai","CHF","fs"
"46225","","2017","","ertrag","gdn_ai","CHF","fs"
"46226","","2017","","ertrag","gdn_ai","CHF","fs"
"46227","","2017","","ertrag","gdn_ai","CHF","fs"
"46228","","2017","","ertrag","gdn_ai","CHF","fs"
"4624","","2017","","ertrag","gdn_ai","CHF","fs"
"4629","","2017","","ertrag","gdn_ai","CHF","fs"
"4630","","2017","","ertrag","gdn_ai","CHF","fs"
"4631","","2017","4018299","ertrag","gdn_ai","CHF","fs"
"4632","","2017","","ertrag","gdn_ai","CHF","fs"
"4633","","2017","","ertrag","gdn_ai","CHF","fs"
"4634","","2017","76872","ertrag","gdn_ai","CHF","fs"
"4635","","2017","","ertrag","gdn_ai","CHF","fs"
"4636","","2017","82843","ertrag","gdn_ai","CHF","fs"
"4637","","2017","","ertrag","gdn_ai","CHF","fs"
"4638","","2017","","ertrag","gdn_ai","CHF","fs"
"466","","2017","","ertrag","gdn_ai","CHF","fs"
"469","","2017","14504","ertrag","gdn_ai","CHF","fs"
"481","","2017","","ertrag","gdn_ai","CHF","fs"
"482","","2017","","ertrag","gdn_ai","CHF","fs"
"483","","2017","","ertrag","gdn_ai","CHF","fs"
"484","","2017","","ertrag","gdn_ai","CHF","fs"
"485","","2017","","ertrag","gdn_ai","CHF","fs"
"4860","","2017","","ertrag","gdn_ai","CHF","fs"
"4861","","2017","","ertrag","gdn_ai","CHF","fs"
"4862","","2017","","ertrag","gdn_ai","CHF","fs"
"4863","","2017","","ertrag","gdn_ai","CHF","fs"
"4864","","2017","","ertrag","gdn_ai","CHF","fs"
"4865","","2017","","ertrag","gdn_ai","CHF","fs"
"4866","","2017","","ertrag","gdn_ai","CHF","fs"
"4867","","2017","","ertrag","gdn_ai","CHF","fs"
"4868","","2017","","ertrag","gdn_ai","CHF","fs"
"4870","","2017","","ertrag","gdn_ai","CHF","fs"
"489","","2017","223253.25","ertrag","gdn_ai","CHF","fs"
"empty","","2017","","fir","gdn_ai","CHF","fs"
"empty","","2017","","fir","gdn_ai","CHF","fs"
"empty","","2017","","fir","gdn_ai","CHF","fs"
"empty","","2017","","fir","gdn_ai","CHF","fs"
"empty","","2017","","fir","gdn_ai","CHF","fs"
"300","","2017","539369.3","ausgaben","gdn_ai","CHF","fs"
"301","","2017","4777076.6","ausgaben","gdn_ai","CHF","fs"
"302","","2017","15487295","ausgaben","gdn_ai","CHF","fs"
"303","","2017","2800","ausgaben","gdn_ai","CHF","fs"
"304","","2017","9310","ausgaben","gdn_ai","CHF","fs"
"305","","2017","3777101.3","ausgaben","gdn_ai","CHF","fs"
"306","","2017","","ausgaben","gdn_ai","CHF","fs"
"309","","2017","252899.3","ausgaben","gdn_ai","CHF","fs"
"310","","2017","1255774.28","ausgaben","gdn_ai","CHF","fs"
"311","","2017","823604.6","ausgaben","gdn_ai","CHF","fs"
"312","","2017","533947.3","ausgaben","gdn_ai","CHF","fs"
"313","","2017","3533607.19","ausgaben","gdn_ai","CHF","fs"
"314","","2017","4468781.39","ausgaben","gdn_ai","CHF","fs"
"315","","2017","318715.1","ausgaben","gdn_ai","CHF","fs"
"316","","2017","2084068","ausgaben","gdn_ai","CHF","fs"
"317","","2017","279583.25","ausgaben","gdn_ai","CHF","fs"
"318","","2017","","ausgaben","gdn_ai","CHF","fs"
"319","","2017","229102.85","ausgaben","gdn_ai","CHF","fs"
"320","","2017","","ausgaben","gdn_ai","CHF","fs"
"340","","2017","94283.9","ausgaben","gdn_ai","CHF","fs"
"341","","2017","","ausgaben","gdn_ai","CHF","fs"
"342","","2017","","ausgaben","gdn_ai","CHF","fs"
"343","","2017","91289.75","ausgaben","gdn_ai","CHF","fs"
"349","","2017","","ausgaben","gdn_ai","CHF","fs"
"3600","","2017","","ausgaben","gdn_ai","CHF","fs"
"36010","","2017","","ausgaben","gdn_ai","CHF","fs"
"36011","","2017","","ausgaben","gdn_ai","CHF","fs"
"36012","","2017","","ausgaben","gdn_ai","CHF","fs"
"36013","","2017","","ausgaben","gdn_ai","CHF","fs"
