"arten","funk","jahr","value","dim","unit"
"100","","2018","374624397.49","bilanz","CHF"
"101","","2018","310852855.53","bilanz","CHF"
"102","","2018","341200.98","bilanz","CHF"
"104","","2018","484063728.17","bilanz","CHF"
"106","","2018","14874279.67","bilanz","CHF"
"107","","2018","266532772.34","bilanz","CHF"
"108","","2018","512253457.48","bilanz","CHF"
"109","","2018","43807933.19","bilanz","CHF"
"140","","2018","1847324986.84","bilanz","CHF"
"141","","2018","","bilanz","CHF"
"142","","2018","","bilanz","CHF"
"143","","2018","148899010.95","bilanz","CHF"
"144","","2018","","bilanz","CHF"
"145","","2018","19722.6","bilanz","CHF"
"146","","2018","64268199.87","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","","bilanz","CHF"
"200","","2018","307662963.68","bilanz","CHF"
"201","","2018","47955257.62","bilanz","CHF"
"204","","2018","227136243.63","bilanz","CHF"
"205","","2018","1839422.7","bilanz","CHF"
"206","","2018","1448945662.51","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","147909051.21","bilanz","CHF"
"209","","2018","232495298.54","bilanz","CHF"
"290","","2018","7536254.48","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","70278423.54","bilanz","CHF"
"294","","2018","","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","","bilanz","CHF"
"298","","2018","","bilanz","CHF"
"299","","2018","1576103967.18","bilanz","CHF"
"300","","2018","19418352.2","aufwand","CHF"
"301","","2018","298116738.71","aufwand","CHF"
"302","","2018","7885975.2","aufwand","CHF"
"303","","2018","380122.62","aufwand","CHF"
"304","","2018","1066757.28","aufwand","CHF"
"305","","2018","67321404.53","aufwand","CHF"
"306","","2018","2289157.56","aufwand","CHF"
"309","","2018","7022820.6","aufwand","CHF"
"310","","2018","35155699.49","aufwand","CHF"
"311","","2018","16195052.47","aufwand","CHF"
"312","","2018","58378420.32","aufwand","CHF"
"313","","2018","181033601.12","aufwand","CHF"
"314","","2018","109704517.36","aufwand","CHF"
"315","","2018","23885643.58","aufwand","CHF"
"316","","2018","15973411.76","aufwand","CHF"
"317","","2018","10412908.11","aufwand","CHF"
"318","","2018","17543756.22","aufwand","CHF"
"319","","2018","22666323.84","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","265912661.49","aufwand","CHF"
"338","","2018","64762177.9","aufwand","CHF"
"340","","2018","27767621.02","aufwand","CHF"
"341","","2018","395416.27","aufwand","CHF"
"342","","2018","20113.13","aufwand","CHF"
"343","","2018","2633305.64","aufwand","CHF"
"344","","2018","5447562.7","aufwand","CHF"
"349","","2018","2706188","aufwand","CHF"
"350","","2018","","aufwand","CHF"
"351","","2018","32026.22","aufwand","CHF"
"352","","2018","24271760.16","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","","aufwand","CHF"
"3610","","2018","","aufwand","CHF"
"3611","","2018","38820192.28","aufwand","CHF"
"3612","","2018","","aufwand","CHF"
"3613","","2018","","aufwand","CHF"
"3614","","2018","","aufwand","CHF"
"3620","","2018","","aufwand","CHF"
