"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","277825275.04","bilanz","ktn_gdn_ne","CHF","fs"
"101","","2020","757854774.35","bilanz","ktn_gdn_ne","CHF","fs"
"102","","2020","43157751.51","bilanz","ktn_gdn_ne","CHF","fs"
"104","","2020","352229839.86","bilanz","ktn_gdn_ne","CHF","fs"
"106","","2020","9823819.86","bilanz","ktn_gdn_ne","CHF","fs"
"107","","2020","118646421.65","bilanz","ktn_gdn_ne","CHF","fs"
"108","","2020","819994985.68","bilanz","ktn_gdn_ne","CHF","fs"
"109","","2020","403.24","bilanz","ktn_gdn_ne","CHF","fs"
"140","","2020","3405296322.97","bilanz","ktn_gdn_ne","CHF","fs"
"141","","2020","35864.05","bilanz","ktn_gdn_ne","CHF","fs"
"142","","2020","24968800.4","bilanz","ktn_gdn_ne","CHF","fs"
"143","","2020","","bilanz","ktn_gdn_ne","CHF","fs"
"144","","2020","135066877.91","bilanz","ktn_gdn_ne","CHF","fs"
"145","","2020","541082539.64","bilanz","ktn_gdn_ne","CHF","fs"
"146","","2020","156455635.79","bilanz","ktn_gdn_ne","CHF","fs"
"147","","2020","","bilanz","ktn_gdn_ne","CHF","fs"
"148","","2020","","bilanz","ktn_gdn_ne","CHF","fs"
"200","","2020","415812277.79","bilanz","ktn_gdn_ne","CHF","fs"
"201","","2020","715383142.23","bilanz","ktn_gdn_ne","CHF","fs"
"204","","2020","221940579.27","bilanz","ktn_gdn_ne","CHF","fs"
"205","","2020","105105028.45","bilanz","ktn_gdn_ne","CHF","fs"
"206","","2020","2931418490.47","bilanz","ktn_gdn_ne","CHF","fs"
"207","","2020","","bilanz","ktn_gdn_ne","CHF","fs"
"208","","2020","94546438.63","bilanz","ktn_gdn_ne","CHF","fs"
"209","","2020","34512321.02","bilanz","ktn_gdn_ne","CHF","fs"
"290","","2020","296704613.38","bilanz","ktn_gdn_ne","CHF","fs"
"292","","2020","4249740.9","bilanz","ktn_gdn_ne","CHF","fs"
"293","","2020","80937266.16","bilanz","ktn_gdn_ne","CHF","fs"
"294","","2020","425282108.3","bilanz","ktn_gdn_ne","CHF","fs"
"295","","2020","950948753.49","bilanz","ktn_gdn_ne","CHF","fs"
"296","","2020","266438429.35","bilanz","ktn_gdn_ne","CHF","fs"
"298","","2020","7224659.39","bilanz","ktn_gdn_ne","CHF","fs"
"299","","2020","91935463.12","bilanz","ktn_gdn_ne","CHF","fs"
"empty","","2020","","er","ktn_gdn_ne","CHF","fs"
"empty","","2020","","er","ktn_gdn_ne","CHF","fs"
"empty","","2020","","er","ktn_gdn_ne","CHF","fs"
"empty","","2020","","er","ktn_gdn_ne","CHF","fs"
"300","","2020","16826487.34","aufwand","ktn_gdn_ne","CHF","fs"
"301","","2020","481833500.08","aufwand","ktn_gdn_ne","CHF","fs"
"302","","2020","322598594.87","aufwand","ktn_gdn_ne","CHF","fs"
"303","","2020","10852658","aufwand","ktn_gdn_ne","CHF","fs"
"304","","2020","11031674.15","aufwand","ktn_gdn_ne","CHF","fs"
"305","","2020","194970559.31","aufwand","ktn_gdn_ne","CHF","fs"
"306","","2020","3729109.6","aufwand","ktn_gdn_ne","CHF","fs"
"309","","2020","4706616.11","aufwand","ktn_gdn_ne","CHF","fs"
"310","","2020","44901466.72","aufwand","ktn_gdn_ne","CHF","fs"
"311","","2020","20420795.63","aufwand","ktn_gdn_ne","CHF","fs"
"312","","2020","31409455.72","aufwand","ktn_gdn_ne","CHF","fs"
"313","","2020","148836613.19","aufwand","ktn_gdn_ne","CHF","fs"
"314","","2020","52072664.23","aufwand","ktn_gdn_ne","CHF","fs"
"315","","2020","20816052.51","aufwand","ktn_gdn_ne","CHF","fs"
"316","","2020","44110961.27","aufwand","ktn_gdn_ne","CHF","fs"
"317","","2020","6544496.78","aufwand","ktn_gdn_ne","CHF","fs"
"318","","2020","26957566.95","aufwand","ktn_gdn_ne","CHF","fs"
"319","","2020","12140013.12","aufwand","ktn_gdn_ne","CHF","fs"
"320","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"331","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"337","","2020","142738943.77","aufwand","ktn_gdn_ne","CHF","fs"
"338","","2020","411033.75","aufwand","ktn_gdn_ne","CHF","fs"
"340","","2020","43667582.96","aufwand","ktn_gdn_ne","CHF","fs"
"341","","2020","2157417.7","aufwand","ktn_gdn_ne","CHF","fs"
"342","","2020","735629.85","aufwand","ktn_gdn_ne","CHF","fs"
"343","","2020","16578701.3","aufwand","ktn_gdn_ne","CHF","fs"
"344","","2020","2578087.21","aufwand","ktn_gdn_ne","CHF","fs"
"349","","2020","536617.05","aufwand","ktn_gdn_ne","CHF","fs"
"350","","2020","259342.49","aufwand","ktn_gdn_ne","CHF","fs"
"351","","2020","50908109.47","aufwand","ktn_gdn_ne","CHF","fs"
"352","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3600","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36010","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36011","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36012","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36013","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36014","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36015","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36016","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36017","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36018","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36019","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36021","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36022","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36023","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36029","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3603","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3604","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3610","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3611","","2020","19989549.81","aufwand","ktn_gdn_ne","CHF","fs"
"3612","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3613","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3614","","2020","1220340","aufwand","ktn_gdn_ne","CHF","fs"
"3620","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36211","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36212","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36213","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36214","","2020","2018490","aufwand","ktn_gdn_ne","CHF","fs"
"36215","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36216","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36217","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36219","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36221","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36222","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36223","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36224","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36225","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36226","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36227","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"36228","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3624","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3629","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3630","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3631","","2020","69328447.49","aufwand","ktn_gdn_ne","CHF","fs"
"3632","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3633","","2020","6559057.2","aufwand","ktn_gdn_ne","CHF","fs"
"3634","","2020","307100167.52","aufwand","ktn_gdn_ne","CHF","fs"
"3635","","2020","166097696.95","aufwand","ktn_gdn_ne","CHF","fs"
"3636","","2020","308418625.61","aufwand","ktn_gdn_ne","CHF","fs"
"3637","","2020","400438368.03","aufwand","ktn_gdn_ne","CHF","fs"
"3638","","2020","53680","aufwand","ktn_gdn_ne","CHF","fs"
"3639","","2020","6444297.5","aufwand","ktn_gdn_ne","CHF","fs"
"364","","2020","-88635.32","aufwand","ktn_gdn_ne","CHF","fs"
"365","","2020","-1729662.47","aufwand","ktn_gdn_ne","CHF","fs"
"366","","2020","21868620.55","aufwand","ktn_gdn_ne","CHF","fs"
"369","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"380","","2020","1340263.75","aufwand","ktn_gdn_ne","CHF","fs"
"381","","2020","7443202.33","aufwand","ktn_gdn_ne","CHF","fs"
"383","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"384","","2020","1750623.35","aufwand","ktn_gdn_ne","CHF","fs"
"3860","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3861","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3862","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3863","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"3864","","2020","53659999.1","aufwand","ktn_gdn_ne","CHF","fs"
"3865","","2020","18335920.95","aufwand","ktn_gdn_ne","CHF","fs"
"3866","","2020","41994247.28","aufwand","ktn_gdn_ne","CHF","fs"
"3867","","2020","1127453.16","aufwand","ktn_gdn_ne","CHF","fs"
"3868","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"387","","2020","","aufwand","ktn_gdn_ne","CHF","fs"
"389","","2020","11238286.52","aufwand","ktn_gdn_ne","CHF","fs"
"4000","","2020","1006670124.73","ertrag","ktn_gdn_ne","CHF","fs"
"4001","","2020","112444276.04","ertrag","ktn_gdn_ne","CHF","fs"
"4002","","2020","92765952.63","ertrag","ktn_gdn_ne","CHF","fs"
"4008","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4009","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4010","","2020","225259660.93","ertrag","ktn_gdn_ne","CHF","fs"
"4011","","2020","14582662.84","ertrag","ktn_gdn_ne","CHF","fs"
"4012","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4019","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4020","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4021","","2020","45194375.54","ertrag","ktn_gdn_ne","CHF","fs"
"4022","","2020","23024701","ertrag","ktn_gdn_ne","CHF","fs"
"4023","","2020","24628327","ertrag","ktn_gdn_ne","CHF","fs"
"4024","","2020","18255672","ertrag","ktn_gdn_ne","CHF","fs"
"4025","","2020","2664565.36","ertrag","ktn_gdn_ne","CHF","fs"
"4030","","2020","46776886.45","ertrag","ktn_gdn_ne","CHF","fs"
"4031","","2020","2014693.35","ertrag","ktn_gdn_ne","CHF","fs"
"4032","","2020","118903.44","ertrag","ktn_gdn_ne","CHF","fs"
"4033","","2020","1130594.59","ertrag","ktn_gdn_ne","CHF","fs"
"4039","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4040","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4041","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4042","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4043","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4044","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4045","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4046","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4047","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4049","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4050","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4051","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4052","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4053","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4059","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4060","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4070","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4071","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4072","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4079","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"410","","2020","532943.6","ertrag","ktn_gdn_ne","CHF","fs"
"411","","2020","55563434","ertrag","ktn_gdn_ne","CHF","fs"
"412","","2020","13926796.05","ertrag","ktn_gdn_ne","CHF","fs"
"413","","2020","16114725.35","ertrag","ktn_gdn_ne","CHF","fs"
"420","","2020","956270.75","ertrag","ktn_gdn_ne","CHF","fs"
"421","","2020","45771005.72","ertrag","ktn_gdn_ne","CHF","fs"
"422","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"423","","2020","15902862.18","ertrag","ktn_gdn_ne","CHF","fs"
"424","","2020","145086856.2","ertrag","ktn_gdn_ne","CHF","fs"
"425","","2020","40510742.06","ertrag","ktn_gdn_ne","CHF","fs"
"426","","2020","83091044.48","ertrag","ktn_gdn_ne","CHF","fs"
"427","","2020","18311704","ertrag","ktn_gdn_ne","CHF","fs"
"429","","2020","6544775.24","ertrag","ktn_gdn_ne","CHF","fs"
"430","","2020","1361880.42","ertrag","ktn_gdn_ne","CHF","fs"
"431","","2020","2892208.78","ertrag","ktn_gdn_ne","CHF","fs"
"432","","2020","-96019.5","ertrag","ktn_gdn_ne","CHF","fs"
"439","","2020","33013345.34","ertrag","ktn_gdn_ne","CHF","fs"
"440","","2020","16074404.66","ertrag","ktn_gdn_ne","CHF","fs"
"441","","2020","1787741.21","ertrag","ktn_gdn_ne","CHF","fs"
"442","","2020","1841227.37","ertrag","ktn_gdn_ne","CHF","fs"
"443","","2020","30579444.35","ertrag","ktn_gdn_ne","CHF","fs"
"444","","2020","20936821.12","ertrag","ktn_gdn_ne","CHF","fs"
"445","","2020","3810843.64","ertrag","ktn_gdn_ne","CHF","fs"
"446","","2020","35663018.99","ertrag","ktn_gdn_ne","CHF","fs"
"447","","2020","42804055.74","ertrag","ktn_gdn_ne","CHF","fs"
"448","","2020","1183877.84","ertrag","ktn_gdn_ne","CHF","fs"
"449","","2020","1338337.39","ertrag","ktn_gdn_ne","CHF","fs"
"450","","2020","904534.15","ertrag","ktn_gdn_ne","CHF","fs"
"451","","2020","18449869.61","ertrag","ktn_gdn_ne","CHF","fs"
"452","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46000","","2020","65963749.59","ertrag","ktn_gdn_ne","CHF","fs"
"46001","","2020","6653290","ertrag","ktn_gdn_ne","CHF","fs"
"46002","","2020","700326.69","ertrag","ktn_gdn_ne","CHF","fs"
"46003","","2020","553775","ertrag","ktn_gdn_ne","CHF","fs"
"46004","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46005","","2020","6726988","ertrag","ktn_gdn_ne","CHF","fs"
"46006","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46007","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46008","","2020","11662171.5","ertrag","ktn_gdn_ne","CHF","fs"
"46009","","2020","-65670","ertrag","ktn_gdn_ne","CHF","fs"
"46010","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46011","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46012","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46019","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4603","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4604","","2020","93023.74","ertrag","ktn_gdn_ne","CHF","fs"
"4610","","2020","48656686.11","ertrag","ktn_gdn_ne","CHF","fs"
"4611","","2020","16293654.62","ertrag","ktn_gdn_ne","CHF","fs"
"4612","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"4613","","2020","13818017.57","ertrag","ktn_gdn_ne","CHF","fs"
"4614","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46201","","2020","72250016","ertrag","ktn_gdn_ne","CHF","fs"
"46202","","2020","14173235","ertrag","ktn_gdn_ne","CHF","fs"
"46203","","2020","23576616","ertrag","ktn_gdn_ne","CHF","fs"
"46204","","2020","54416363.33","ertrag","ktn_gdn_ne","CHF","fs"
"46209","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46211","","2020","48166677","ertrag","ktn_gdn_ne","CHF","fs"
"46212","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
"46213","","2020","","ertrag","ktn_gdn_ne","CHF","fs"
