"arten","funk","jahr","value","dim","unit"
"100","","2017","65328981.55","bilanz","CHF"
"101","","2017","41934810.17","bilanz","CHF"
"102","","2017","25000","bilanz","CHF"
"104","","2017","9557601.11","bilanz","CHF"
"106","","2017","357173.6","bilanz","CHF"
"107","","2017","19947376.83","bilanz","CHF"
"108","","2017","74181839.91","bilanz","CHF"
"109","","2017","","bilanz","CHF"
"140","","2017","257945527.54","bilanz","CHF"
"141","","2017","","bilanz","CHF"
"142","","2017","976825.82","bilanz","CHF"
"143","","2017","","bilanz","CHF"
"144","","2017","1259000","bilanz","CHF"
"145","","2017","3565906","bilanz","CHF"
"146","","2017","26192336.61","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","-22495454.59","bilanz","CHF"
"200","","2017","53698740.21","bilanz","CHF"
"201","","2017","24324485.45","bilanz","CHF"
"204","","2017","7886279.02","bilanz","CHF"
"205","","2017","403668.5","bilanz","CHF"
"206","","2017","180665642.95","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","4496893.23","bilanz","CHF"
"209","","2017","11320766.35","bilanz","CHF"
"290","","2017","65318601.92","bilanz","CHF"
"292","","2017","292988.01","bilanz","CHF"
"293","","2017","1040909.78","bilanz","CHF"
"294","","2017","","bilanz","CHF"
"295","","2017","5277055.59","bilanz","CHF"
"296","","2017","29805141.99","bilanz","CHF"
"298","","2017","","bilanz","CHF"
"299","","2017","94245751.55","bilanz","CHF"
"300","","2017","3856725.23","aufwand","CHF"
"301","","2017","45630421.72","aufwand","CHF"
"302","","2017","52451902.22","aufwand","CHF"
"303","","2017","140650.19","aufwand","CHF"
"304","","2017","37173.25","aufwand","CHF"
"305","","2017","17010327.12","aufwand","CHF"
"306","","2017","","aufwand","CHF"
"309","","2017","1549364.05","aufwand","CHF"
"310","","2017","8374165.55","aufwand","CHF"
"311","","2017","3628266.07","aufwand","CHF"
"312","","2017","5010733.37","aufwand","CHF"
"313","","2017","27978782.92","aufwand","CHF"
"314","","2017","18423729.79","aufwand","CHF"
"315","","2017","3374482.52","aufwand","CHF"
"316","","2017","2041202.7","aufwand","CHF"
"317","","2017","1618774.71","aufwand","CHF"
"318","","2017","347935.19","aufwand","CHF"
"319","","2017","1614058.81","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","14334666.59","aufwand","CHF"
"338","","2017","321983","aufwand","CHF"
"340","","2017","986594.01","aufwand","CHF"
"341","","2017","","aufwand","CHF"
"342","","2017","","aufwand","CHF"
"343","","2017","1326857.72","aufwand","CHF"
"344","","2017","12920.58","aufwand","CHF"
"349","","2017","4993.66","aufwand","CHF"
"350","","2017","89168.98","aufwand","CHF"
