"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","38755599.08","bilanz","gdn_bs","CHF","fs"
"101","","2022","21033163.42","bilanz","gdn_bs","CHF","fs"
"102","","2022","","bilanz","gdn_bs","CHF","fs"
"104","","2022","104106246.2","bilanz","gdn_bs","CHF","fs"
"106","","2022","82434.05","bilanz","gdn_bs","CHF","fs"
"107","","2022","6.5e+07","bilanz","gdn_bs","CHF","fs"
"108","","2022","135256359.05","bilanz","gdn_bs","CHF","fs"
"109","","2022","","bilanz","gdn_bs","CHF","fs"
"140","","2022","349033268.45","bilanz","gdn_bs","CHF","fs"
"141","","2022","","bilanz","gdn_bs","CHF","fs"
"142","","2022","14614225.25","bilanz","gdn_bs","CHF","fs"
"143","","2022","18930000","bilanz","gdn_bs","CHF","fs"
"144","","2022","","bilanz","gdn_bs","CHF","fs"
"145","","2022","130795","bilanz","gdn_bs","CHF","fs"
"146","","2022","386666.67","bilanz","gdn_bs","CHF","fs"
"147","","2022","","bilanz","gdn_bs","CHF","fs"
"148","","2022","","bilanz","gdn_bs","CHF","fs"
"200","","2022","180943932.99","bilanz","gdn_bs","CHF","fs"
"201","","2022","","bilanz","gdn_bs","CHF","fs"
"204","","2022","32093342.75","bilanz","gdn_bs","CHF","fs"
"205","","2022","60000","bilanz","gdn_bs","CHF","fs"
"206","","2022","3.7e+07","bilanz","gdn_bs","CHF","fs"
"207","","2022","","bilanz","gdn_bs","CHF","fs"
"208","","2022","1832000","bilanz","gdn_bs","CHF","fs"
"209","","2022","","bilanz","gdn_bs","CHF","fs"
"290","","2022","20735337.22","bilanz","gdn_bs","CHF","fs"
"292","","2022","","bilanz","gdn_bs","CHF","fs"
"293","","2022","13342203.25","bilanz","gdn_bs","CHF","fs"
"294","","2022","","bilanz","gdn_bs","CHF","fs"
"295","","2022","","bilanz","gdn_bs","CHF","fs"
"296","","2022","339296000","bilanz","gdn_bs","CHF","fs"
"298","","2022","43234000","bilanz","gdn_bs","CHF","fs"
"299","","2022","78791940.96","bilanz","gdn_bs","CHF","fs"
"empty","","2022","","er","gdn_bs","CHF","fs"
"empty","","2022","","er","gdn_bs","CHF","fs"
"empty","","2022","","er","gdn_bs","CHF","fs"
"empty","","2022","","er","gdn_bs","CHF","fs"
"300","","2022","996289.45","aufwand","gdn_bs","CHF","fs"
"301","","2022","33297226.26","aufwand","gdn_bs","CHF","fs"
"302","","2022","20022871.42","aufwand","gdn_bs","CHF","fs"
"303","","2022","","aufwand","gdn_bs","CHF","fs"
"304","","2022","","aufwand","gdn_bs","CHF","fs"
"305","","2022","15706460.06","aufwand","gdn_bs","CHF","fs"
"306","","2022","2141365","aufwand","gdn_bs","CHF","fs"
"309","","2022","728168.3","aufwand","gdn_bs","CHF","fs"
"310","","2022","3956569.33","aufwand","gdn_bs","CHF","fs"
"311","","2022","1003314.95","aufwand","gdn_bs","CHF","fs"
"312","","2022","2306484.89","aufwand","gdn_bs","CHF","fs"
"313","","2022","13839461.25","aufwand","gdn_bs","CHF","fs"
"314","","2022","4505411.18","aufwand","gdn_bs","CHF","fs"
"315","","2022","2521170.68","aufwand","gdn_bs","CHF","fs"
"316","","2022","1160136.36","aufwand","gdn_bs","CHF","fs"
"317","","2022","152319.78","aufwand","gdn_bs","CHF","fs"
"318","","2022","862465.55","aufwand","gdn_bs","CHF","fs"
"319","","2022","266755.1","aufwand","gdn_bs","CHF","fs"
"320","","2022","","aufwand","gdn_bs","CHF","fs"
"331","","2022","","aufwand","gdn_bs","CHF","fs"
"337","","2022","6994003.66","aufwand","gdn_bs","CHF","fs"
"338","","2022","90551.34","aufwand","gdn_bs","CHF","fs"
"340","","2022","873759.5","aufwand","gdn_bs","CHF","fs"
"341","","2022","16736.9","aufwand","gdn_bs","CHF","fs"
"342","","2022","","aufwand","gdn_bs","CHF","fs"
"343","","2022","2949223.02","aufwand","gdn_bs","CHF","fs"
"344","","2022","","aufwand","gdn_bs","CHF","fs"
"349","","2022","","aufwand","gdn_bs","CHF","fs"
"350","","2022","","aufwand","gdn_bs","CHF","fs"
"351","","2022","81999.16","aufwand","gdn_bs","CHF","fs"
"352","","2022","8509801.2","aufwand","gdn_bs","CHF","fs"
"3600","","2022","","aufwand","gdn_bs","CHF","fs"
"36010","","2022","","aufwand","gdn_bs","CHF","fs"
"36011","","2022","","aufwand","gdn_bs","CHF","fs"
"36012","","2022","","aufwand","gdn_bs","CHF","fs"
"36013","","2022","","aufwand","gdn_bs","CHF","fs"
"36014","","2022","","aufwand","gdn_bs","CHF","fs"
"36015","","2022","","aufwand","gdn_bs","CHF","fs"
"36016","","2022","","aufwand","gdn_bs","CHF","fs"
"36017","","2022","","aufwand","gdn_bs","CHF","fs"
"36018","","2022","","aufwand","gdn_bs","CHF","fs"
"36019","","2022","","aufwand","gdn_bs","CHF","fs"
"36021","","2022","","aufwand","gdn_bs","CHF","fs"
"36022","","2022","","aufwand","gdn_bs","CHF","fs"
"36023","","2022","","aufwand","gdn_bs","CHF","fs"
"36029","","2022","","aufwand","gdn_bs","CHF","fs"
"3603","","2022","","aufwand","gdn_bs","CHF","fs"
"3604","","2022","","aufwand","gdn_bs","CHF","fs"
"3610","","2022","","aufwand","gdn_bs","CHF","fs"
"3611","","2022","2584540.64","aufwand","gdn_bs","CHF","fs"
"3612","","2022","","aufwand","gdn_bs","CHF","fs"
"3613","","2022","","aufwand","gdn_bs","CHF","fs"
"3614","","2022","","aufwand","gdn_bs","CHF","fs"
"3620","","2022","","aufwand","gdn_bs","CHF","fs"
"36211","","2022","","aufwand","gdn_bs","CHF","fs"
"36212","","2022","","aufwand","gdn_bs","CHF","fs"
"36213","","2022","","aufwand","gdn_bs","CHF","fs"
"36214","","2022","","aufwand","gdn_bs","CHF","fs"
"36215","","2022","","aufwand","gdn_bs","CHF","fs"
"36216","","2022","7993007","aufwand","gdn_bs","CHF","fs"
"36217","","2022","","aufwand","gdn_bs","CHF","fs"
"36219","","2022","","aufwand","gdn_bs","CHF","fs"
"36221","","2022","","aufwand","gdn_bs","CHF","fs"
"36222","","2022","","aufwand","gdn_bs","CHF","fs"
"36223","","2022","","aufwand","gdn_bs","CHF","fs"
"36224","","2022","","aufwand","gdn_bs","CHF","fs"
"36225","","2022","","aufwand","gdn_bs","CHF","fs"
"36226","","2022","","aufwand","gdn_bs","CHF","fs"
"36227","","2022","","aufwand","gdn_bs","CHF","fs"
"36228","","2022","","aufwand","gdn_bs","CHF","fs"
"3624","","2022","","aufwand","gdn_bs","CHF","fs"
"3629","","2022","","aufwand","gdn_bs","CHF","fs"
"3630","","2022","","aufwand","gdn_bs","CHF","fs"
"3631","","2022","","aufwand","gdn_bs","CHF","fs"
"3632","","2022","","aufwand","gdn_bs","CHF","fs"
"3633","","2022","","aufwand","gdn_bs","CHF","fs"
"3634","","2022","2874864","aufwand","gdn_bs","CHF","fs"
"3635","","2022","126032.74","aufwand","gdn_bs","CHF","fs"
"3636","","2022","16143676.47","aufwand","gdn_bs","CHF","fs"
"3637","","2022","15680541.05","aufwand","gdn_bs","CHF","fs"
"3638","","2022","692618","aufwand","gdn_bs","CHF","fs"
"3639","","2022","","aufwand","gdn_bs","CHF","fs"
"364","","2022","","aufwand","gdn_bs","CHF","fs"
"365","","2022","","aufwand","gdn_bs","CHF","fs"
"366","","2022","","aufwand","gdn_bs","CHF","fs"
"369","","2022","","aufwand","gdn_bs","CHF","fs"
