"arten","funk","jahr","value","dim","unit"
"100","","2021","1367341389.47","bilanz","CHF"
"101","","2021","2466713317.13","bilanz","CHF"
"102","","2021","273824322.48","bilanz","CHF"
"104","","2021","588139998.09","bilanz","CHF"
"106","","2021","8347040.88","bilanz","CHF"
"107","","2021","598484599.71","bilanz","CHF"
"108","","2021","1260793983.2","bilanz","CHF"
"109","","2021","","bilanz","CHF"
"140","","2021","9703597033.87","bilanz","CHF"
"141","","2021","","bilanz","CHF"
"142","","2021","88821435.31","bilanz","CHF"
"143","","2021","","bilanz","CHF"
"144","","2021","158060739.65","bilanz","CHF"
"145","","2021","1101420100.77","bilanz","CHF"
"146","","2021","900734971.09","bilanz","CHF"
"147","","2021","","bilanz","CHF"
"148","","2021","","bilanz","CHF"
"200","","2021","1909049777.78","bilanz","CHF"
"201","","2021","456415408.34","bilanz","CHF"
"204","","2021","902810104.89","bilanz","CHF"
"205","","2021","169849214.61","bilanz","CHF"
"206","","2021","2620721324.8","bilanz","CHF"
"207","","2021","","bilanz","CHF"
"208","","2021","112616066.15","bilanz","CHF"
"209","","2021","153190282.39","bilanz","CHF"
"290","","2021","2551335436.66","bilanz","CHF"
"292","","2021","84572695.57","bilanz","CHF"
"293","","2021","32230277.65","bilanz","CHF"
"294","","2021","946638720.25","bilanz","CHF"
"295","","2021","3691041576.37","bilanz","CHF"
"296","","2021","35591902.9","bilanz","CHF"
"298","","2021","814532279.17","bilanz","CHF"
"299","","2021","4035683864.12","bilanz","CHF"
"300","","2021","43461928.15","aufwand","CHF"
"301","","2021","1020758187.53","aufwand","CHF"
"302","","2021","974985474.7","aufwand","CHF"
"303","","2021","2700875.91","aufwand","CHF"
"304","","2021","7632765.07","aufwand","CHF"
"305","","2021","357962060.18","aufwand","CHF"
"306","","2021","3435735.4","aufwand","CHF"
"309","","2021","34431203.57","aufwand","CHF"
"310","","2021","169173433.48","aufwand","CHF"
"311","","2021","72641823.78","aufwand","CHF"
"312","","2021","87192805.67","aufwand","CHF"
"313","","2021","489708751.83","aufwand","CHF"
"314","","2021","178061795.62","aufwand","CHF"
"315","","2021","58116019.54","aufwand","CHF"
"316","","2021","72982203.57","aufwand","CHF"
"317","","2021","28503467.13","aufwand","CHF"
"318","","2021","39914834.96","aufwand","CHF"
"319","","2021","29178136.84","aufwand","CHF"
