"arten","funk","jahr","value","dim","unit"
"100","","2019","1255546525.12","bilanz","CHF"
"101","","2019","476979240.76","bilanz","CHF"
"102","","2019","145377998.97","bilanz","CHF"
"104","","2019","115134807.64","bilanz","CHF"
"106","","2019","8383174.22","bilanz","CHF"
"107","","2019","642313144.31","bilanz","CHF"
"108","","2019","2742244854.18","bilanz","CHF"
"109","","2019","1648.41","bilanz","CHF"
"140","","2019","3842528240.38","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","17965251.07","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","524642317.12","bilanz","CHF"
"145","","2019","1840872215.56","bilanz","CHF"
"146","","2019","256970352.07","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","618703929.48","bilanz","CHF"
"201","","2019","6e+08","bilanz","CHF"
"204","","2019","965119056.85","bilanz","CHF"
"205","","2019","172441208.88","bilanz","CHF"
"206","","2019","3493958041.58","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","207909278.74","bilanz","CHF"
"209","","2019","776498619.26","bilanz","CHF"
"290","","2019","126657803.17","bilanz","CHF"
"292","","2019","6940909.55","bilanz","CHF"
"293","","2019","","bilanz","CHF"
"294","","2019","","bilanz","CHF"
"295","","2019","","bilanz","CHF"
"296","","2019","49705974","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","4851024948.3","bilanz","CHF"
"300","","2019","11448789.96","aufwand","CHF"
"301","","2019","770483367.97","aufwand","CHF"
"302","","2019","484841058.88","aufwand","CHF"
"303","","2019","1838734.66","aufwand","CHF"
"304","","2019","36003804.13","aufwand","CHF"
"305","","2019","298915772.53","aufwand","CHF"
"306","","2019","1730512","aufwand","CHF"
"309","","2019","13100145.56","aufwand","CHF"
"310","","2019","45350147.92","aufwand","CHF"
"311","","2019","27330597.3","aufwand","CHF"
"312","","2019","33850820.64","aufwand","CHF"
