"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","520020211.78","bilanz","ktn_gdn_fr","CHF","fs"
"101","","2021","841980305.32","bilanz","ktn_gdn_fr","CHF","fs"
"102","","2021","6030517.83","bilanz","ktn_gdn_fr","CHF","fs"
"104","","2021","651578025.5","bilanz","ktn_gdn_fr","CHF","fs"
"106","","2021","550512.2","bilanz","ktn_gdn_fr","CHF","fs"
"107","","2021","1399588849.99","bilanz","ktn_gdn_fr","CHF","fs"
"108","","2021","522431395.62","bilanz","ktn_gdn_fr","CHF","fs"
"109","","2021","206832.27","bilanz","ktn_gdn_fr","CHF","fs"
"140","","2021","3150777264.65","bilanz","ktn_gdn_fr","CHF","fs"
"141","","2021","47005","bilanz","ktn_gdn_fr","CHF","fs"
"142","","2021","25975293.71","bilanz","ktn_gdn_fr","CHF","fs"
"143","","2021","40316670.27","bilanz","ktn_gdn_fr","CHF","fs"
"144","","2021","161032429.65","bilanz","ktn_gdn_fr","CHF","fs"
"145","","2021","205462939.65","bilanz","ktn_gdn_fr","CHF","fs"
"146","","2021","85007502.24","bilanz","ktn_gdn_fr","CHF","fs"
"147","","2021","","bilanz","ktn_gdn_fr","CHF","fs"
"148","","2021","","bilanz","ktn_gdn_fr","CHF","fs"
"200","","2021","922213047.7","bilanz","ktn_gdn_fr","CHF","fs"
"201","","2021","336483687.7","bilanz","ktn_gdn_fr","CHF","fs"
"204","","2021","378082604.66","bilanz","ktn_gdn_fr","CHF","fs"
"205","","2021","85593675.79","bilanz","ktn_gdn_fr","CHF","fs"
"206","","2021","1934938050.88","bilanz","ktn_gdn_fr","CHF","fs"
"207","","2021","","bilanz","ktn_gdn_fr","CHF","fs"
"208","","2021","699721711.29","bilanz","ktn_gdn_fr","CHF","fs"
"209","","2021","246088629.24","bilanz","ktn_gdn_fr","CHF","fs"
"290","","2021","401775167.98","bilanz","ktn_gdn_fr","CHF","fs"
"292","","2021","1149498.4","bilanz","ktn_gdn_fr","CHF","fs"
"293","","2021","380416927","bilanz","ktn_gdn_fr","CHF","fs"
"294","","2021","78500000","bilanz","ktn_gdn_fr","CHF","fs"
"295","","2021","196406539.03","bilanz","ktn_gdn_fr","CHF","fs"
"296","","2021","19627879.1","bilanz","ktn_gdn_fr","CHF","fs"
"298","","2021","60224550.09","bilanz","ktn_gdn_fr","CHF","fs"
"299","","2021","1869783786.82","bilanz","ktn_gdn_fr","CHF","fs"
"empty","","2021","","er","ktn_gdn_fr","CHF","fs"
"empty","","2021","","er","ktn_gdn_fr","CHF","fs"
"empty","","2021","","er","ktn_gdn_fr","CHF","fs"
"empty","","2021","","er","ktn_gdn_fr","CHF","fs"
"300","","2021","34103712.34","aufwand","ktn_gdn_fr","CHF","fs"
"301","","2021","778658325.46","aufwand","ktn_gdn_fr","CHF","fs"
"302","","2021","628757479.48","aufwand","ktn_gdn_fr","CHF","fs"
"303","","2021","1534294.32","aufwand","ktn_gdn_fr","CHF","fs"
"304","","2021","18222419.71","aufwand","ktn_gdn_fr","CHF","fs"
"305","","2021","286092202.7","aufwand","ktn_gdn_fr","CHF","fs"
"306","","2021","22481561.45","aufwand","ktn_gdn_fr","CHF","fs"
"309","","2021","10874416.61","aufwand","ktn_gdn_fr","CHF","fs"
"310","","2021","74213358.74","aufwand","ktn_gdn_fr","CHF","fs"
"311","","2021","52895432.93","aufwand","ktn_gdn_fr","CHF","fs"
"312","","2021","48970782.75","aufwand","ktn_gdn_fr","CHF","fs"
"313","","2021","286506612.26","aufwand","ktn_gdn_fr","CHF","fs"
"314","","2021","103597651.62","aufwand","ktn_gdn_fr","CHF","fs"
"315","","2021","40893992.42","aufwand","ktn_gdn_fr","CHF","fs"
"316","","2021","32441456.07","aufwand","ktn_gdn_fr","CHF","fs"
"317","","2021","17273545.99","aufwand","ktn_gdn_fr","CHF","fs"
"318","","2021","17020680.04","aufwand","ktn_gdn_fr","CHF","fs"
"319","","2021","57962375.36","aufwand","ktn_gdn_fr","CHF","fs"
"320","","2021","","aufwand","ktn_gdn_fr","CHF","fs"
"331","","2021","","aufwand","ktn_gdn_fr","CHF","fs"
"337","","2021","180365411.14","aufwand","ktn_gdn_fr","CHF","fs"
"338","","2021","19669278.64","aufwand","ktn_gdn_fr","CHF","fs"
"340","","2021","16200895.48","aufwand","ktn_gdn_fr","CHF","fs"
"341","","2021","","aufwand","ktn_gdn_fr","CHF","fs"
"342","","2021","23972.1","aufwand","ktn_gdn_fr","CHF","fs"
"343","","2021","7960176.98","aufwand","ktn_gdn_fr","CHF","fs"
"344","","2021","12946424.1","aufwand","ktn_gdn_fr","CHF","fs"
"349","","2021","7912446.32","aufwand","ktn_gdn_fr","CHF","fs"
"350","","2021","2730486.7","aufwand","ktn_gdn_fr","CHF","fs"
"351","","2021","170526869.04","aufwand","ktn_gdn_fr","CHF","fs"
