"arten","funk","jahr","value","dim","unit"
"100","","2017","370381530.05","bilanz","CHF"
"101","","2017","569343511.16","bilanz","CHF"
"102","","2017","69593219.51","bilanz","CHF"
"104","","2017","168530090.67","bilanz","CHF"
"106","","2017","7468916.3","bilanz","CHF"
"107","","2017","768443410.45","bilanz","CHF"
"108","","2017","2480133026.2","bilanz","CHF"
"109","","2017","","bilanz","CHF"
"140","","2017","4149858057.59","bilanz","CHF"
"141","","2017","129100","bilanz","CHF"
"142","","2017","25234980.07","bilanz","CHF"
"143","","2017","23385256","bilanz","CHF"
"144","","2017","460783456.78","bilanz","CHF"
"145","","2017","1841595610.56","bilanz","CHF"
"146","","2017","315720892.64","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","","bilanz","CHF"
"200","","2017","722993224.32","bilanz","CHF"
"201","","2017","802097117.2","bilanz","CHF"
"204","","2017","845693548.11","bilanz","CHF"
"205","","2017","136633697.63","bilanz","CHF"
"206","","2017","3239284244.58","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","174200824.54","bilanz","CHF"
"209","","2017","663422140.69","bilanz","CHF"
"290","","2017","138151813.47","bilanz","CHF"
"292","","2017","7111469.55","bilanz","CHF"
"293","","2017","14119496.95","bilanz","CHF"
"294","","2017","","bilanz","CHF"
"295","","2017","","bilanz","CHF"
"296","","2017","417880352","bilanz","CHF"
"298","","2017","50478199","bilanz","CHF"
"299","","2017","4038534929.94","bilanz","CHF"
"300","","2017","12496803.76","aufwand","CHF"
"301","","2017","766411968.5","aufwand","CHF"
"302","","2017","494211596.94","aufwand","CHF"
"303","","2017","2149084.99","aufwand","CHF"
"304","","2017","36338609.17","aufwand","CHF"
"305","","2017","303922726.79","aufwand","CHF"
"306","","2017","1742509.15","aufwand","CHF"
"309","","2017","15008166.77","aufwand","CHF"
"310","","2017","52188288.42","aufwand","CHF"
"311","","2017","28534439.58","aufwand","CHF"
"312","","2017","44178885.34","aufwand","CHF"
"313","","2017","321064137.11","aufwand","CHF"
"314","","2017","87986663.9","aufwand","CHF"
"315","","2017","48687956.02","aufwand","CHF"
"316","","2017","208728771.76","aufwand","CHF"
"317","","2017","5917154.32","aufwand","CHF"
"318","","2017","43569184.6","aufwand","CHF"
"319","","2017","46933611.11","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","216308532.92","aufwand","CHF"
"338","","2017","3139716.27","aufwand","CHF"
"340","","2017","31963225.13","aufwand","CHF"
"341","","2017","3939689.63","aufwand","CHF"
"342","","2017","3264228.26","aufwand","CHF"
"343","","2017","61465826.04","aufwand","CHF"
"344","","2017","44585051.91","aufwand","CHF"
"349","","2017","334313.21","aufwand","CHF"
"350","","2017","29298358","aufwand","CHF"
"351","","2017","","aufwand","CHF"
"352","","2017","9535924.12","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","","aufwand","CHF"
"36022","","2017","","aufwand","CHF"
"36023","","2017","","aufwand","CHF"
"36029","","2017","","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","33077988.6","aufwand","CHF"
"3612","","2017","","aufwand","CHF"
"3613","","2017","","aufwand","CHF"
"3614","","2017","181987989.05","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","156177675.09","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","2873179","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
"36217","","2017","","aufwand","CHF"
"36219","","2017","","aufwand","CHF"
"36221","","2017","","aufwand","CHF"
"36222","","2017","","aufwand","CHF"
"36223","","2017","","aufwand","CHF"
"36224","","2017","","aufwand","CHF"
"36225","","2017","","aufwand","CHF"
"36226","","2017","","aufwand","CHF"
"36227","","2017","","aufwand","CHF"
"36228","","2017","","aufwand","CHF"
"3624","","2017","","aufwand","CHF"
"3629","","2017","","aufwand","CHF"
"3630","","2017","","aufwand","CHF"
"3631","","2017","106010380.85","aufwand","CHF"
"3632","","2017","","aufwand","CHF"
"3633","","2017","4928949.55","aufwand","CHF"
"3634","","2017","409121645.83","aufwand","CHF"
"3635","","2017","8719251.36","aufwand","CHF"
"3636","","2017","306149782.15","aufwand","CHF"
"3637","","2017","715353096.27","aufwand","CHF"
"3638","","2017","3374999.94","aufwand","CHF"
"3639","","2017","11873979.69","aufwand","CHF"
"364","","2017","5083725","aufwand","CHF"
"365","","2017","","aufwand","CHF"
"366","","2017","52683688.99","aufwand","CHF"
"369","","2017","","aufwand","CHF"
"380","","2017","","aufwand","CHF"
"381","","2017","","aufwand","CHF"
"383","","2017","","aufwand","CHF"
"384","","2017","","aufwand","CHF"
"3860","","2017","","aufwand","CHF"
"3861","","2017","","aufwand","CHF"
"3862","","2017","","aufwand","CHF"
"3863","","2017","","aufwand","CHF"
"3864","","2017","","aufwand","CHF"
"3865","","2017","","aufwand","CHF"
"3866","","2017","","aufwand","CHF"
"3867","","2017","","aufwand","CHF"
"3868","","2017","","aufwand","CHF"
"387","","2017","","aufwand","CHF"
"389","","2017","5179885","aufwand","CHF"
"4000","","2017","1432831121.13","ertrag","CHF"
"4001","","2017","344901192.1","ertrag","CHF"
"4002","","2017","130303077.48","ertrag","CHF"
"4008","","2017","","ertrag","CHF"
"4009","","2017","","ertrag","CHF"
"4010","","2017","667504207.81","ertrag","CHF"
"4011","","2017","153365942.97","ertrag","CHF"
"4012","","2017","","ertrag","CHF"
"4019","","2017","","ertrag","CHF"
"4020","","2017","","ertrag","CHF"
"4021","","2017","14799460.21","ertrag","CHF"
"4022","","2017","90873543.65","ertrag","CHF"
"4023","","2017","34246294.32","ertrag","CHF"
"4024","","2017","73488926.95","ertrag","CHF"
"4025","","2017","","ertrag","CHF"
"4030","","2017","31621557.85","ertrag","CHF"
"4031","","2017","","ertrag","CHF"
"4032","","2017","","ertrag","CHF"
"4033","","2017","798044.4","ertrag","CHF"
"4039","","2017","","ertrag","CHF"
"4040","","2017","","ertrag","CHF"
"4041","","2017","","ertrag","CHF"
"4042","","2017","","ertrag","CHF"
