"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","11036334.05","bilanz","gdn_ai","CHF","fs"
"101","","2015","8683812.2","bilanz","gdn_ai","CHF","fs"
"102","","2015","7324937.28","bilanz","gdn_ai","CHF","fs"
"104","","2015","2327090.2","bilanz","gdn_ai","CHF","fs"
"106","","2015","-11597","bilanz","gdn_ai","CHF","fs"
"107","","2015","333090","bilanz","gdn_ai","CHF","fs"
"108","","2015","","bilanz","gdn_ai","CHF","fs"
"109","","2015","","bilanz","gdn_ai","CHF","fs"
"140","","2015","19166791.95","bilanz","gdn_ai","CHF","fs"
"141","","2015","","bilanz","gdn_ai","CHF","fs"
"142","","2015","","bilanz","gdn_ai","CHF","fs"
"143","","2015","","bilanz","gdn_ai","CHF","fs"
"144","","2015","","bilanz","gdn_ai","CHF","fs"
"145","","2015","","bilanz","gdn_ai","CHF","fs"
"146","","2015","23492.25","bilanz","gdn_ai","CHF","fs"
"147","","2015","","bilanz","gdn_ai","CHF","fs"
"148","","2015","","bilanz","gdn_ai","CHF","fs"
"200","","2015","3424281.55","bilanz","gdn_ai","CHF","fs"
"201","","2015","119305","bilanz","gdn_ai","CHF","fs"
"204","","2015","2239223.35","bilanz","gdn_ai","CHF","fs"
"205","","2015","2580000","bilanz","gdn_ai","CHF","fs"
"206","","2015","11817685","bilanz","gdn_ai","CHF","fs"
"207","","2015","","bilanz","gdn_ai","CHF","fs"
"208","","2015","894985","bilanz","gdn_ai","CHF","fs"
"209","","2015","4298638.66","bilanz","gdn_ai","CHF","fs"
"290","","2015","50609.5","bilanz","gdn_ai","CHF","fs"
"292","","2015","","bilanz","gdn_ai","CHF","fs"
"293","","2015","5794834.42","bilanz","gdn_ai","CHF","fs"
"294","","2015","","bilanz","gdn_ai","CHF","fs"
"295","","2015","","bilanz","gdn_ai","CHF","fs"
"296","","2015","","bilanz","gdn_ai","CHF","fs"
"298","","2015","","bilanz","gdn_ai","CHF","fs"
"299","","2015","17664388.45","bilanz","gdn_ai","CHF","fs"
"empty","","2015","","er","gdn_ai","CHF","fs"
"empty","","2015","","er","gdn_ai","CHF","fs"
"empty","","2015","","er","gdn_ai","CHF","fs"
"empty","","2015","","er","gdn_ai","CHF","fs"
"300","","2015","607723.1","aufwand","gdn_ai","CHF","fs"
"301","","2015","4526411.6","aufwand","gdn_ai","CHF","fs"
"302","","2015","15365274","aufwand","gdn_ai","CHF","fs"
"303","","2015","2137","aufwand","gdn_ai","CHF","fs"
"304","","2015","2320","aufwand","gdn_ai","CHF","fs"
"305","","2015","3761992.65","aufwand","gdn_ai","CHF","fs"
"306","","2015","","aufwand","gdn_ai","CHF","fs"
"309","","2015","240598.7","aufwand","gdn_ai","CHF","fs"
"310","","2015","1358424.57","aufwand","gdn_ai","CHF","fs"
"311","","2015","686833.75","aufwand","gdn_ai","CHF","fs"
"312","","2015","492783.5","aufwand","gdn_ai","CHF","fs"
"313","","2015","3804661.91","aufwand","gdn_ai","CHF","fs"
"314","","2015","5053807.2","aufwand","gdn_ai","CHF","fs"
"315","","2015","271821","aufwand","gdn_ai","CHF","fs"
"316","","2015","2043101","aufwand","gdn_ai","CHF","fs"
"317","","2015","102821.8","aufwand","gdn_ai","CHF","fs"
"318","","2015","","aufwand","gdn_ai","CHF","fs"
"319","","2015","211616.74","aufwand","gdn_ai","CHF","fs"
"320","","2015","","aufwand","gdn_ai","CHF","fs"
"331","","2015","","aufwand","gdn_ai","CHF","fs"
"337","","2015","3559495.6","aufwand","gdn_ai","CHF","fs"
"338","","2015","900334","aufwand","gdn_ai","CHF","fs"
"340","","2015","78541.77","aufwand","gdn_ai","CHF","fs"
"341","","2015","","aufwand","gdn_ai","CHF","fs"
"342","","2015","","aufwand","gdn_ai","CHF","fs"
"343","","2015","28878.95","aufwand","gdn_ai","CHF","fs"
"344","","2015","1891","aufwand","gdn_ai","CHF","fs"
"349","","2015","","aufwand","gdn_ai","CHF","fs"
"350","","2015","","aufwand","gdn_ai","CHF","fs"
"351","","2015","132397.75","aufwand","gdn_ai","CHF","fs"
"352","","2015","343808","aufwand","gdn_ai","CHF","fs"
"3600","","2015","","aufwand","gdn_ai","CHF","fs"
"36010","","2015","","aufwand","gdn_ai","CHF","fs"
"36011","","2015","","aufwand","gdn_ai","CHF","fs"
"36012","","2015","","aufwand","gdn_ai","CHF","fs"
"36013","","2015","","aufwand","gdn_ai","CHF","fs"
"36014","","2015","","aufwand","gdn_ai","CHF","fs"
"36015","","2015","","aufwand","gdn_ai","CHF","fs"
"36016","","2015","","aufwand","gdn_ai","CHF","fs"
"36017","","2015","","aufwand","gdn_ai","CHF","fs"
"36018","","2015","","aufwand","gdn_ai","CHF","fs"
"36019","","2015","","aufwand","gdn_ai","CHF","fs"
"36021","","2015","","aufwand","gdn_ai","CHF","fs"
"36022","","2015","","aufwand","gdn_ai","CHF","fs"
"36023","","2015","","aufwand","gdn_ai","CHF","fs"
"36029","","2015","","aufwand","gdn_ai","CHF","fs"
"3603","","2015","","aufwand","gdn_ai","CHF","fs"
"3604","","2015","","aufwand","gdn_ai","CHF","fs"
"3610","","2015","","aufwand","gdn_ai","CHF","fs"
"3611","","2015","707695.95","aufwand","gdn_ai","CHF","fs"
"3612","","2015","","aufwand","gdn_ai","CHF","fs"
"3613","","2015","","aufwand","gdn_ai","CHF","fs"
"3614","","2015","","aufwand","gdn_ai","CHF","fs"
"3620","","2015","","aufwand","gdn_ai","CHF","fs"
"36211","","2015","","aufwand","gdn_ai","CHF","fs"
"36212","","2015","","aufwand","gdn_ai","CHF","fs"
"36213","","2015","","aufwand","gdn_ai","CHF","fs"
"36214","","2015","","aufwand","gdn_ai","CHF","fs"
"36215","","2015","","aufwand","gdn_ai","CHF","fs"
"36216","","2015","","aufwand","gdn_ai","CHF","fs"
"36217","","2015","","aufwand","gdn_ai","CHF","fs"
"36219","","2015","","aufwand","gdn_ai","CHF","fs"
"36221","","2015","","aufwand","gdn_ai","CHF","fs"
"36222","","2015","","aufwand","gdn_ai","CHF","fs"
"36223","","2015","","aufwand","gdn_ai","CHF","fs"
"36224","","2015","","aufwand","gdn_ai","CHF","fs"
"36225","","2015","","aufwand","gdn_ai","CHF","fs"
"36226","","2015","","aufwand","gdn_ai","CHF","fs"
"36227","","2015","","aufwand","gdn_ai","CHF","fs"
"36228","","2015","","aufwand","gdn_ai","CHF","fs"
"3624","","2015","","aufwand","gdn_ai","CHF","fs"
"3629","","2015","","aufwand","gdn_ai","CHF","fs"
"3630","","2015","","aufwand","gdn_ai","CHF","fs"
"3631","","2015","3063909","aufwand","gdn_ai","CHF","fs"
"3632","","2015","","aufwand","gdn_ai","CHF","fs"
"3633","","2015","","aufwand","gdn_ai","CHF","fs"
"3634","","2015","175361","aufwand","gdn_ai","CHF","fs"
"3635","","2015","747341.75","aufwand","gdn_ai","CHF","fs"
"3636","","2015","506539.4","aufwand","gdn_ai","CHF","fs"
"3637","","2015","9555","aufwand","gdn_ai","CHF","fs"
"3638","","2015","","aufwand","gdn_ai","CHF","fs"
"3639","","2015","","aufwand","gdn_ai","CHF","fs"
"364","","2015","","aufwand","gdn_ai","CHF","fs"
"365","","2015","","aufwand","gdn_ai","CHF","fs"
"366","","2015","","aufwand","gdn_ai","CHF","fs"
"369","","2015","","aufwand","gdn_ai","CHF","fs"
"380","","2015","","aufwand","gdn_ai","CHF","fs"
"381","","2015","","aufwand","gdn_ai","CHF","fs"
"383","","2015","","aufwand","gdn_ai","CHF","fs"
"384","","2015","","aufwand","gdn_ai","CHF","fs"
"3860","","2015","","aufwand","gdn_ai","CHF","fs"
"3861","","2015","","aufwand","gdn_ai","CHF","fs"
"3862","","2015","","aufwand","gdn_ai","CHF","fs"
"3863","","2015","","aufwand","gdn_ai","CHF","fs"
"3864","","2015","","aufwand","gdn_ai","CHF","fs"
"3865","","2015","","aufwand","gdn_ai","CHF","fs"
"3866","","2015","","aufwand","gdn_ai","CHF","fs"
"3867","","2015","","aufwand","gdn_ai","CHF","fs"
"3868","","2015","","aufwand","gdn_ai","CHF","fs"
"387","","2015","","aufwand","gdn_ai","CHF","fs"
"389","","2015","900","aufwand","gdn_ai","CHF","fs"
"4000","","2015","25905780.96","ertrag","gdn_ai","CHF","fs"
"4001","","2015","5096829.09","ertrag","gdn_ai","CHF","fs"
"4002","","2015","1131200","ertrag","gdn_ai","CHF","fs"
"4008","","2015","","ertrag","gdn_ai","CHF","fs"
"4009","","2015","","ertrag","gdn_ai","CHF","fs"
"4010","","2015","1883720.64","ertrag","gdn_ai","CHF","fs"
"4011","","2015","190176.35","ertrag","gdn_ai","CHF","fs"
"4012","","2015","","ertrag","gdn_ai","CHF","fs"
"4019","","2015","","ertrag","gdn_ai","CHF","fs"
"4020","","2015","","ertrag","gdn_ai","CHF","fs"
"4021","","2015","86434.65","ertrag","gdn_ai","CHF","fs"
"4022","","2015","","ertrag","gdn_ai","CHF","fs"
"4023","","2015","","ertrag","gdn_ai","CHF","fs"
"4024","","2015","","ertrag","gdn_ai","CHF","fs"
"4025","","2015","","ertrag","gdn_ai","CHF","fs"
"4030","","2015","","ertrag","gdn_ai","CHF","fs"
"4031","","2015","","ertrag","gdn_ai","CHF","fs"
"4032","","2015","","ertrag","gdn_ai","CHF","fs"
"4033","","2015","62210","ertrag","gdn_ai","CHF","fs"
"4039","","2015","","ertrag","gdn_ai","CHF","fs"
"4040","","2015","","ertrag","gdn_ai","CHF","fs"
"4041","","2015","","ertrag","gdn_ai","CHF","fs"
"4042","","2015","","ertrag","gdn_ai","CHF","fs"
"4043","","2015","","ertrag","gdn_ai","CHF","fs"
"4044","","2015","","ertrag","gdn_ai","CHF","fs"
"4045","","2015","","ertrag","gdn_ai","CHF","fs"
"4046","","2015","","ertrag","gdn_ai","CHF","fs"
"4047","","2015","","ertrag","gdn_ai","CHF","fs"
"4049","","2015","","ertrag","gdn_ai","CHF","fs"
"4050","","2015","","ertrag","gdn_ai","CHF","fs"
"4051","","2015","","ertrag","gdn_ai","CHF","fs"
"4052","","2015","","ertrag","gdn_ai","CHF","fs"
"4053","","2015","","ertrag","gdn_ai","CHF","fs"
"4059","","2015","","ertrag","gdn_ai","CHF","fs"
"4060","","2015","","ertrag","gdn_ai","CHF","fs"
"4070","","2015","","ertrag","gdn_ai","CHF","fs"
"4071","","2015","","ertrag","gdn_ai","CHF","fs"
"4072","","2015","","ertrag","gdn_ai","CHF","fs"
"4079","","2015","","ertrag","gdn_ai","CHF","fs"
"410","","2015","","ertrag","gdn_ai","CHF","fs"
"411","","2015","","ertrag","gdn_ai","CHF","fs"
"412","","2015","32782","ertrag","gdn_ai","CHF","fs"
"413","","2015","","ertrag","gdn_ai","CHF","fs"
"420","","2015","697959","ertrag","gdn_ai","CHF","fs"
"421","","2015","484522.9","ertrag","gdn_ai","CHF","fs"
"422","","2015","","ertrag","gdn_ai","CHF","fs"
"423","","2015","584230","ertrag","gdn_ai","CHF","fs"
"424","","2015","480042.45","ertrag","gdn_ai","CHF","fs"
"425","","2015","208","ertrag","gdn_ai","CHF","fs"
"426","","2015","1138669.45","ertrag","gdn_ai","CHF","fs"
"427","","2015","17349","ertrag","gdn_ai","CHF","fs"
"429","","2015","","ertrag","gdn_ai","CHF","fs"
"430","","2015","","ertrag","gdn_ai","CHF","fs"
"431","","2015","","ertrag","gdn_ai","CHF","fs"
"432","","2015","","ertrag","gdn_ai","CHF","fs"
"439","","2015","25551","ertrag","gdn_ai","CHF","fs"
"440","","2015","22226.85","ertrag","gdn_ai","CHF","fs"
"441","","2015","1400","ertrag","gdn_ai","CHF","fs"
"442","","2015","","ertrag","gdn_ai","CHF","fs"
"443","","2015","194811.05","ertrag","gdn_ai","CHF","fs"
"444","","2015","","ertrag","gdn_ai","CHF","fs"
