"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","754895765.07","bilanz","gdn_lu","CHF","fs"
"101","","2020","610245130.75","bilanz","gdn_lu","CHF","fs"
"102","","2020","12332890.07","bilanz","gdn_lu","CHF","fs"
"104","","2020","60067460","bilanz","gdn_lu","CHF","fs"
"106","","2020","2735880.21","bilanz","gdn_lu","CHF","fs"
"107","","2020","289243074.6","bilanz","gdn_lu","CHF","fs"
"108","","2020","1158131140.78","bilanz","gdn_lu","CHF","fs"
"109","","2020","15003.99","bilanz","gdn_lu","CHF","fs"
"140","","2020","3436966978.44","bilanz","gdn_lu","CHF","fs"
"141","","2020","","bilanz","gdn_lu","CHF","fs"
"142","","2020","32189623.88","bilanz","gdn_lu","CHF","fs"
"143","","2020","","bilanz","gdn_lu","CHF","fs"
"144","","2020","27314115.37","bilanz","gdn_lu","CHF","fs"
"145","","2020","279955836.71","bilanz","gdn_lu","CHF","fs"
"146","","2020","261174606.08","bilanz","gdn_lu","CHF","fs"
"147","","2020","","bilanz","gdn_lu","CHF","fs"
"148","","2020","","bilanz","gdn_lu","CHF","fs"
"200","","2020","1054259762.03","bilanz","gdn_lu","CHF","fs"
"201","","2020","233914763.67","bilanz","gdn_lu","CHF","fs"
"204","","2020","91504617.57","bilanz","gdn_lu","CHF","fs"
"205","","2020","14959020.82","bilanz","gdn_lu","CHF","fs"
"206","","2020","1616925097.86","bilanz","gdn_lu","CHF","fs"
"207","","2020","","bilanz","gdn_lu","CHF","fs"
"208","","2020","51292072.62","bilanz","gdn_lu","CHF","fs"
"209","","2020","53822189.72","bilanz","gdn_lu","CHF","fs"
"290","","2020","950022523.41","bilanz","gdn_lu","CHF","fs"
"292","","2020","","bilanz","gdn_lu","CHF","fs"
"293","","2020","550791","bilanz","gdn_lu","CHF","fs"
"294","","2020","","bilanz","gdn_lu","CHF","fs"
"295","","2020","1251681530.41","bilanz","gdn_lu","CHF","fs"
"296","","2020","","bilanz","gdn_lu","CHF","fs"
"298","","2020","","bilanz","gdn_lu","CHF","fs"
"299","","2020","1606335136.84","bilanz","gdn_lu","CHF","fs"
"empty","","2020","","er","gdn_lu","CHF","fs"
"empty","","2020","","er","gdn_lu","CHF","fs"
"empty","","2020","","er","gdn_lu","CHF","fs"
"empty","","2020","","er","gdn_lu","CHF","fs"
"300","","2020","25699220.77","aufwand","gdn_lu","CHF","fs"
"301","","2020","331410658.2","aufwand","gdn_lu","CHF","fs"
