"arten","funk","jahr","value","dim","unit"
"100","","2017","1006206754.14","bilanz","CHF"
"101","","2017","968524531.38","bilanz","CHF"
"102","","2017","50100894.87","bilanz","CHF"
"104","","2017","235555355.72","bilanz","CHF"
"106","","2017","16368070.69","bilanz","CHF"
"107","","2017","313488635.76","bilanz","CHF"
"108","","2017","211953570.21","bilanz","CHF"
"109","","2017","","bilanz","CHF"
"140","","2017","110890401.13","bilanz","CHF"
"141","","2017","","bilanz","CHF"
"142","","2017","15181815.29","bilanz","CHF"
"143","","2017","196427696.7","bilanz","CHF"
"144","","2017","447077387.91","bilanz","CHF"
"145","","2017","316140863","bilanz","CHF"
"146","","2017","16068525.9","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","","bilanz","CHF"
"200","","2017","504566906.26","bilanz","CHF"
"201","","2017","765.23","bilanz","CHF"
"204","","2017","386197374.91","bilanz","CHF"
"205","","2017","138203171.56","bilanz","CHF"
"206","","2017","1387359117.25","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","194328777.07","bilanz","CHF"
"209","","2017","30476607.15","bilanz","CHF"
"290","","2017","364027754.31","bilanz","CHF"
"292","","2017","987619.57","bilanz","CHF"
"293","","2017","20884900.68","bilanz","CHF"
"294","","2017","","bilanz","CHF"
"295","","2017","","bilanz","CHF"
"296","","2017","","bilanz","CHF"
"298","","2017","264379500","bilanz","CHF"
"299","","2017","612572008.71","bilanz","CHF"
"300","","2017","17708189.8","aufwand","CHF"
"301","","2017","454777824.29","aufwand","CHF"
"302","","2017","287726302.13","aufwand","CHF"
"303","","2017","13170112.26","aufwand","CHF"
"304","","2017","7972400.69","aufwand","CHF"
"305","","2017","121679730.3","aufwand","CHF"
"306","","2017","56496.4","aufwand","CHF"
"309","","2017","9561287.82","aufwand","CHF"
"310","","2017","61744023.69","aufwand","CHF"
"311","","2017","24921175.39","aufwand","CHF"
"312","","2017","12239508.71","aufwand","CHF"
"313","","2017","165023144.02","aufwand","CHF"
"314","","2017","78506317.14","aufwand","CHF"
"315","","2017","14525226.51","aufwand","CHF"
"316","","2017","44291238.5","aufwand","CHF"
"317","","2017","26796857.75","aufwand","CHF"
"318","","2017","23348808.66","aufwand","CHF"
"319","","2017","63264937.27","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","117684876.49","aufwand","CHF"
"338","","2017","","aufwand","CHF"
"340","","2017","27916092.53","aufwand","CHF"
"341","","2017","","aufwand","CHF"
"342","","2017","818867.63","aufwand","CHF"
"343","","2017","","aufwand","CHF"
"344","","2017","19928362.77","aufwand","CHF"
"349","","2017","2078501.56","aufwand","CHF"
"350","","2017","15298080.92","aufwand","CHF"
"351","","2017","37514755.91","aufwand","CHF"
"352","","2017","","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","352338190.33","aufwand","CHF"
"36022","","2017","","aufwand","CHF"
"36023","","2017","","aufwand","CHF"
"36029","","2017","","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","2251597.8","aufwand","CHF"
"3612","","2017","68063888.8","aufwand","CHF"
"3613","","2017","","aufwand","CHF"
"3614","","2017","","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","6694217","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
"36217","","2017","","aufwand","CHF"
"36219","","2017","","aufwand","CHF"
"36221","","2017","","aufwand","CHF"
"36222","","2017","","aufwand","CHF"
"36223","","2017","","aufwand","CHF"
"36224","","2017","","aufwand","CHF"
"36225","","2017","109203300","aufwand","CHF"
"36226","","2017","108305300","aufwand","CHF"
"36227","","2017","","aufwand","CHF"
"36228","","2017","","aufwand","CHF"
"3624","","2017","","aufwand","CHF"
"3629","","2017","4032300","aufwand","CHF"
