"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","238794423.96","bilanz","ktn_sg","CHF","fs"
"101","","2021","989915908.24","bilanz","ktn_sg","CHF","fs"
"102","","2021","105130521.99","bilanz","ktn_sg","CHF","fs"
"104","","2021","609087440.31","bilanz","ktn_sg","CHF","fs"
"106","","2021","16584980.71","bilanz","ktn_sg","CHF","fs"
"107","","2021","688049316.09","bilanz","ktn_sg","CHF","fs"
"108","","2021","203170807.06","bilanz","ktn_sg","CHF","fs"
"109","","2021","","bilanz","ktn_sg","CHF","fs"
"140","","2021","14407167.78","bilanz","ktn_sg","CHF","fs"
"141","","2021","","bilanz","ktn_sg","CHF","fs"
"142","","2021","9052539.83","bilanz","ktn_sg","CHF","fs"
"143","","2021","289217422.6","bilanz","ktn_sg","CHF","fs"
"144","","2021","645029534.78","bilanz","ktn_sg","CHF","fs"
"145","","2021","332471103","bilanz","ktn_sg","CHF","fs"
"146","","2021","24123702.5","bilanz","ktn_sg","CHF","fs"
"147","","2021","","bilanz","ktn_sg","CHF","fs"
"148","","2021","","bilanz","ktn_sg","CHF","fs"
"200","","2021","552180012.46","bilanz","ktn_sg","CHF","fs"
"201","","2021","739.38","bilanz","ktn_sg","CHF","fs"
"204","","2021","398402084.26","bilanz","ktn_sg","CHF","fs"
"205","","2021","193292781.94","bilanz","ktn_sg","CHF","fs"
"206","","2021","899433725.52","bilanz","ktn_sg","CHF","fs"
"207","","2021","","bilanz","ktn_sg","CHF","fs"
"208","","2021","154668926.53","bilanz","ktn_sg","CHF","fs"
"209","","2021","26515268.07","bilanz","ktn_sg","CHF","fs"
"290","","2021","347049388.37","bilanz","ktn_sg","CHF","fs"
"292","","2021","1473988.87","bilanz","ktn_sg","CHF","fs"
"293","","2021","42878508.61","bilanz","ktn_sg","CHF","fs"
"294","","2021","","bilanz","ktn_sg","CHF","fs"
"295","","2021","","bilanz","ktn_sg","CHF","fs"
"296","","2021","","bilanz","ktn_sg","CHF","fs"
"298","","2021","170837500","bilanz","ktn_sg","CHF","fs"
"299","","2021","1378301944.84","bilanz","ktn_sg","CHF","fs"
"empty","","2021","","er","ktn_sg","CHF","fs"
"empty","","2021","","er","ktn_sg","CHF","fs"
"empty","","2021","","er","ktn_sg","CHF","fs"
