"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","24204251","bilanz","ktn_lu","CHF","fs"
"101","","2021","1737248008","bilanz","ktn_lu","CHF","fs"
"102","","2021","","bilanz","ktn_lu","CHF","fs"
"104","","2021","405407374","bilanz","ktn_lu","CHF","fs"
"106","","2021","3857328","bilanz","ktn_lu","CHF","fs"
"107","","2021","582529784","bilanz","ktn_lu","CHF","fs"
"108","","2021","155610974","bilanz","ktn_lu","CHF","fs"
"109","","2021","","bilanz","ktn_lu","CHF","fs"
"140","","2021","3198972008","bilanz","ktn_lu","CHF","fs"
"141","","2021","","bilanz","ktn_lu","CHF","fs"
"142","","2021","36722484","bilanz","ktn_lu","CHF","fs"
"143","","2021","","bilanz","ktn_lu","CHF","fs"
"144","","2021","324921959","bilanz","ktn_lu","CHF","fs"
"145","","2021","677207794","bilanz","ktn_lu","CHF","fs"
"146","","2021","367294453","bilanz","ktn_lu","CHF","fs"
"147","","2021","","bilanz","ktn_lu","CHF","fs"
"148","","2021","","bilanz","ktn_lu","CHF","fs"
"200","","2021","784721439","bilanz","ktn_lu","CHF","fs"
"201","","2021","184855220","bilanz","ktn_lu","CHF","fs"
"204","","2021","271289986","bilanz","ktn_lu","CHF","fs"
"205","","2021","80816130","bilanz","ktn_lu","CHF","fs"
"206","","2021","1679761537","bilanz","ktn_lu","CHF","fs"
"207","","2021","","bilanz","ktn_lu","CHF","fs"
"208","","2021","44214954","bilanz","ktn_lu","CHF","fs"
"209","","2021","48702398","bilanz","ktn_lu","CHF","fs"
"290","","2021","159971825","bilanz","ktn_lu","CHF","fs"
"292","","2021","","bilanz","ktn_lu","CHF","fs"
"293","","2021","","bilanz","ktn_lu","CHF","fs"
"294","","2021","","bilanz","ktn_lu","CHF","fs"
"295","","2021","2545037413","bilanz","ktn_lu","CHF","fs"
"296","","2021","607019720","bilanz","ktn_lu","CHF","fs"
"298","","2021","","bilanz","ktn_lu","CHF","fs"
"299","","2021","1107585795","bilanz","ktn_lu","CHF","fs"
"empty","","2021","","er","ktn_lu","CHF","fs"
"empty","","2021","","er","ktn_lu","CHF","fs"
"empty","","2021","","er","ktn_lu","CHF","fs"
"empty","","2021","","er","ktn_lu","CHF","fs"
"300","","2021","26759589.75","aufwand","ktn_lu","CHF","fs"
"301","","2021","387127673.82","aufwand","ktn_lu","CHF","fs"
"302","","2021","227679447.22","aufwand","ktn_lu","CHF","fs"
"303","","2021","184657.96","aufwand","ktn_lu","CHF","fs"
"304","","2021","1399847.28","aufwand","ktn_lu","CHF","fs"
"305","","2021","123109131.04","aufwand","ktn_lu","CHF","fs"
"306","","2021","959728.5","aufwand","ktn_lu","CHF","fs"
"309","","2021","11192224.98","aufwand","ktn_lu","CHF","fs"
"310","","2021","26718950.65","aufwand","ktn_lu","CHF","fs"
"311","","2021","17713989.8","aufwand","ktn_lu","CHF","fs"
"312","","2021","8240889.64","aufwand","ktn_lu","CHF","fs"
"313","","2021","106159845.86","aufwand","ktn_lu","CHF","fs"
"314","","2021","46056781.04","aufwand","ktn_lu","CHF","fs"
"315","","2021","23460180.43","aufwand","ktn_lu","CHF","fs"
"316","","2021","39738838.21","aufwand","ktn_lu","CHF","fs"
"317","","2021","5965971.78","aufwand","ktn_lu","CHF","fs"
"318","","2021","13344337.34","aufwand","ktn_lu","CHF","fs"
"319","","2021","3032388.77","aufwand","ktn_lu","CHF","fs"
"320","","2021","","aufwand","ktn_lu","CHF","fs"
"331","","2021","","aufwand","ktn_lu","CHF","fs"
"337","","2021","131188168.43","aufwand","ktn_lu","CHF","fs"
"338","","2021","655094.88","aufwand","ktn_lu","CHF","fs"
"340","","2021","7509694.1","aufwand","ktn_lu","CHF","fs"
"341","","2021","20515.94","aufwand","ktn_lu","CHF","fs"
"342","","2021","292932.68","aufwand","ktn_lu","CHF","fs"
"343","","2021","1077919.9","aufwand","ktn_lu","CHF","fs"
"344","","2021","","aufwand","ktn_lu","CHF","fs"
"349","","2021","1435547.15","aufwand","ktn_lu","CHF","fs"
"350","","2021","14100226.41","aufwand","ktn_lu","CHF","fs"
"351","","2021","","aufwand","ktn_lu","CHF","fs"
"352","","2021","","aufwand","ktn_lu","CHF","fs"
"3600","","2021","","aufwand","ktn_lu","CHF","fs"
"36010","","2021","","aufwand","ktn_lu","CHF","fs"
"36011","","2021","","aufwand","ktn_lu","CHF","fs"
"36012","","2021","","aufwand","ktn_lu","CHF","fs"
"36013","","2021","","aufwand","ktn_lu","CHF","fs"
"36014","","2021","","aufwand","ktn_lu","CHF","fs"
"36015","","2021","","aufwand","ktn_lu","CHF","fs"
"36016","","2021","","aufwand","ktn_lu","CHF","fs"
"36017","","2021","","aufwand","ktn_lu","CHF","fs"
"36018","","2021","","aufwand","ktn_lu","CHF","fs"
"36019","","2021","","aufwand","ktn_lu","CHF","fs"
"36021","","2021","","aufwand","ktn_lu","CHF","fs"
"36022","","2021","","aufwand","ktn_lu","CHF","fs"
"36023","","2021","","aufwand","ktn_lu","CHF","fs"
"36029","","2021","","aufwand","ktn_lu","CHF","fs"
"3603","","2021","","aufwand","ktn_lu","CHF","fs"
"3604","","2021","","aufwand","ktn_lu","CHF","fs"
"3610","","2021","","aufwand","ktn_lu","CHF","fs"
"3611","","2021","19730973.18","aufwand","ktn_lu","CHF","fs"
"3612","","2021","2588471.31","aufwand","ktn_lu","CHF","fs"
"3613","","2021","","aufwand","ktn_lu","CHF","fs"
"3614","","2021","2312767.66","aufwand","ktn_lu","CHF","fs"
"3620","","2021","","aufwand","ktn_lu","CHF","fs"
"36211","","2021","","aufwand","ktn_lu","CHF","fs"
"36212","","2021","","aufwand","ktn_lu","CHF","fs"
"36213","","2021","","aufwand","ktn_lu","CHF","fs"
"36214","","2021","3904859","aufwand","ktn_lu","CHF","fs"
"36215","","2021","","aufwand","ktn_lu","CHF","fs"
"36216","","2021","","aufwand","ktn_lu","CHF","fs"
"36217","","2021","","aufwand","ktn_lu","CHF","fs"
"36219","","2021","","aufwand","ktn_lu","CHF","fs"
"36221","","2021","","aufwand","ktn_lu","CHF","fs"
"36222","","2021","","aufwand","ktn_lu","CHF","fs"
"36223","","2021","","aufwand","ktn_lu","CHF","fs"
"36224","","2021","","aufwand","ktn_lu","CHF","fs"
"36225","","2021","98012877","aufwand","ktn_lu","CHF","fs"
"36226","","2021","65980000","aufwand","ktn_lu","CHF","fs"
"36227","","2021","","aufwand","ktn_lu","CHF","fs"
"36228","","2021","","aufwand","ktn_lu","CHF","fs"
"3624","","2021","","aufwand","ktn_lu","CHF","fs"
"3629","","2021","","aufwand","ktn_lu","CHF","fs"
"3630","","2021","","aufwand","ktn_lu","CHF","fs"
"3631","","2021","144569933.46","aufwand","ktn_lu","CHF","fs"
"3632","","2021","401460904.84","aufwand","ktn_lu","CHF","fs"
"3633","","2021","8560134.3","aufwand","ktn_lu","CHF","fs"
"3634","","2021","349140563.14","aufwand","ktn_lu","CHF","fs"
"3635","","2021","341865842.83","aufwand","ktn_lu","CHF","fs"
"3636","","2021","316241369.83","aufwand","ktn_lu","CHF","fs"
"3637","","2021","551539090.45","aufwand","ktn_lu","CHF","fs"
"3638","","2021","180076","aufwand","ktn_lu","CHF","fs"
"3639","","2021","8025778.25","aufwand","ktn_lu","CHF","fs"
"364","","2021","","aufwand","ktn_lu","CHF","fs"
"365","","2021","","aufwand","ktn_lu","CHF","fs"
"366","","2021","23826488.28","aufwand","ktn_lu","CHF","fs"
"369","","2021","","aufwand","ktn_lu","CHF","fs"
"380","","2021","9186327.26","aufwand","ktn_lu","CHF","fs"
"381","","2021","26633322.39","aufwand","ktn_lu","CHF","fs"
"383","","2021","","aufwand","ktn_lu","CHF","fs"
"384","","2021","","aufwand","ktn_lu","CHF","fs"
"3860","","2021","597553","aufwand","ktn_lu","CHF","fs"
"3861","","2021","4092280.5","aufwand","ktn_lu","CHF","fs"
"3862","","2021","","aufwand","ktn_lu","CHF","fs"
"3863","","2021","","aufwand","ktn_lu","CHF","fs"
