"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","1390338684.92","bilanz","ktn_zh","CHF","fs"
"101","","2020","3897616167.41","bilanz","ktn_zh","CHF","fs"
"102","","2020","15855051.4","bilanz","ktn_zh","CHF","fs"
"104","","2020","947928935.91","bilanz","ktn_zh","CHF","fs"
"106","","2020","51825231.5","bilanz","ktn_zh","CHF","fs"
"107","","2020","21238564.28","bilanz","ktn_zh","CHF","fs"
"108","","2020","1356829517.82","bilanz","ktn_zh","CHF","fs"
"109","","2020","","bilanz","ktn_zh","CHF","fs"
"140","","2020","7716546293.29","bilanz","ktn_zh","CHF","fs"
"141","","2020","","bilanz","ktn_zh","CHF","fs"
"142","","2020","70181271.27","bilanz","ktn_zh","CHF","fs"
"143","","2020","","bilanz","ktn_zh","CHF","fs"
"144","","2020","465002386.17","bilanz","ktn_zh","CHF","fs"
"145","","2020","3903025677.27","bilanz","ktn_zh","CHF","fs"
"146","","2020","2875578396.91","bilanz","ktn_zh","CHF","fs"
"147","","2020","","bilanz","ktn_zh","CHF","fs"
"148","","2020","","bilanz","ktn_zh","CHF","fs"
"200","","2020","2971828959.38","bilanz","ktn_zh","CHF","fs"
"201","","2020","1390952880.7","bilanz","ktn_zh","CHF","fs"
"204","","2020","2096390558.43","bilanz","ktn_zh","CHF","fs"
"205","","2020","179024614.77","bilanz","ktn_zh","CHF","fs"
"206","","2020","4929885210.88","bilanz","ktn_zh","CHF","fs"
"207","","2020","","bilanz","ktn_zh","CHF","fs"
"208","","2020","416031866.44","bilanz","ktn_zh","CHF","fs"
"209","","2020","752334238.37","bilanz","ktn_zh","CHF","fs"
"290","","2020","2894822308.53","bilanz","ktn_zh","CHF","fs"
"292","","2020","36636372.48","bilanz","ktn_zh","CHF","fs"
"293","","2020","","bilanz","ktn_zh","CHF","fs"
"294","","2020","","bilanz","ktn_zh","CHF","fs"
"295","","2020","","bilanz","ktn_zh","CHF","fs"
"296","","2020","","bilanz","ktn_zh","CHF","fs"
"298","","2020","197471523.66","bilanz","ktn_zh","CHF","fs"
"299","","2020","6846587644.51","bilanz","ktn_zh","CHF","fs"
"empty","","2020","","er","ktn_zh","CHF","fs"
"empty","","2020","","er","ktn_zh","CHF","fs"
"empty","","2020","","er","ktn_zh","CHF","fs"
"empty","","2020","","er","ktn_zh","CHF","fs"
"300","","2020","67303628.55","aufwand","ktn_zh","CHF","fs"
"301","","2020","1884121218.13","aufwand","ktn_zh","CHF","fs"
"302","","2020","2724586981.52","aufwand","ktn_zh","CHF","fs"
"303","","2020","8716599.28","aufwand","ktn_zh","CHF","fs"
"304","","2020","25441444.23","aufwand","ktn_zh","CHF","fs"
"305","","2020","931271126.96","aufwand","ktn_zh","CHF","fs"
"306","","2020","5133155.67","aufwand","ktn_zh","CHF","fs"
"309","","2020","28389899.08","aufwand","ktn_zh","CHF","fs"
"310","","2020","197512131.78","aufwand","ktn_zh","CHF","fs"
"311","","2020","66046840.95","aufwand","ktn_zh","CHF","fs"
"312","","2020","40692736.4","aufwand","ktn_zh","CHF","fs"
"313","","2020","584137713.18","aufwand","ktn_zh","CHF","fs"
"314","","2020","184210802.81","aufwand","ktn_zh","CHF","fs"
"315","","2020","92767106.76","aufwand","ktn_zh","CHF","fs"
"316","","2020","184607931.02","aufwand","ktn_zh","CHF","fs"
"317","","2020","19562114.02","aufwand","ktn_zh","CHF","fs"
"318","","2020","64238327.53","aufwand","ktn_zh","CHF","fs"
"319","","2020","53345373.3","aufwand","ktn_zh","CHF","fs"
"320","","2020","","aufwand","ktn_zh","CHF","fs"
"331","","2020","","aufwand","ktn_zh","CHF","fs"
